"Country","CSCC_mean","CSCC_std","CSCC_skew","CSCC_median","CSCC_min","CSCC_q17","CSCC_q83","CSCC_max","Fa_mean","Fa_std","Fa_skew","Fa_median","Fa_min","Fa_q17","Fa_q83","Fa_max","FaWdom_mean","FaWdom_std","FaWdom_skew","FaWdom_median","FaWdom_min","FaWdom_q17","FaWdom_q83","Fadom_max","FaWout_mean","FaWout_std","FaWout_skew","FaWout_median","FaWout_min","FaWout_q17","FaWout_q83","FaWin_max","FaWin_mean","FaWin_std","FaWin_skew","FaWin_median","FaWin_min","FaWin_q17","FaWin_q83","FaWin_max","FaWnet_mean","FaWnet_std","FaWnet_skew","FaWnet_median","FaWnet_min","FaWnet_q17","FaWnet_q83","FaWnet_max"
"AFG",0.27080709619247845,0.5245208074717174,0.33482350394721266,0.24854188692268095,-1.9255950244795896,-0.23245111619094946,0.7450973392896276,3.3191098343717287,0.003730100362296,0.010394712738110417,0.09390342374903217,0.003166856,-0.031656284,-0.004112668,0.012105897,0.03387492,0.004059046598262536,0.023730859086801753,1.2010041131628584,0.0006011766594545907,-0.19809711484882012,-0.007640391290657861,0.016331796132803923,0.20841625167980524,2.3913932356598346,8.543460227682896,1.338338420393832,0.7788696524097941,-54.40039320976628,-2.1596091327843143,7.2522845767276545,75.55998528248071,3.2012619400889535,6.8072262927373535,0.5457737544233833,2.681245725724252,-26.39213272568022,-2.5664377475668885,8.796237058344195,"{-0.8098687044291197, 10.821225343904034, 0.5510368835082942, -1.034648622408068, -56.64372612839345, -9.499947051564895, 7.042285307302778, 86.43000099183774}","{-0.8098687044291197, 10.821225343904034, 0.5510368835082942, -1.034648622408068, -56.64372612839345, -9.499947051564895, 7.042285307302778, 86.43000099183774}","{-0.8098687044291197, 10.821225343904034, 0.5510368835082942, -1.034648622408068, -56.64372612839345, -9.499947051564895, 7.042285307302778, 86.43000099183774}","{-0.8098687044291197, 10.821225343904034, 0.5510368835082942, -1.034648622408068, -56.64372612839345, -9.499947051564895, 7.042285307302778, 86.43000099183774}","{-0.8098687044291197, 10.821225343904034, 0.5510368835082942, -1.034648622408068, -56.64372612839345, -9.499947051564895, 7.042285307302778, 86.43000099183774}","{-0.8098687044291197, 10.821225343904034, 0.5510368835082942, -1.034648622408068, -56.64372612839345, -9.499947051564895, 7.042285307302778, 86.43000099183774}","{-0.8098687044291197, 10.821225343904034, 0.5510368835082942, -1.034648622408068, -56.64372612839345, -9.499947051564895, 7.042285307302778, 86.43000099183774}",0,0
"AGO",0.7851051280946686,0.4867861932919126,0.42978123682499947,0.7512472151191256,-0.8696194166553104,0.3360208730715627,1.2291838281980834,3.558942041759127,0.0541140333824,0.03841865257262576,-0.7733665441388435,0.059589405,-0.13170363,0.022872027,0.088175714,0.1595384,0.15510304410498407,0.15919026572670605,0.7051626173573285,0.13116174784828039,-0.8188924996678052,0.022837514534627578,0.290438606507585,1.1419875718460852,34.33386250118355,40.9296727087248,0.7472149005253503,27.141723865377514,-243.20223513227492,1.2480035353643426,70.38237615801508,272.89129963997726,9.638122386221818,6.981500412671879,1.0499588306698453,8.571082197055912,-7.538028841525794,3.483522610135064,15.675464377952277,"{24.695740114961737, 41.70556523026935, 0.7119180863095563, 18.081339752371917, -258.7069699100611, -9.114325850720869, 61.2942432681329, 266.09186358184394}","{24.695740114961737, 41.70556523026935, 0.7119180863095563, 18.081339752371917, -258.7069699100611, -9.114325850720869, 61.2942432681329, 266.09186358184394}","{24.695740114961737, 41.70556523026935, 0.7119180863095563, 18.081339752371917, -258.7069699100611, -9.114325850720869, 61.2942432681329, 266.09186358184394}","{24.695740114961737, 41.70556523026935, 0.7119180863095563, 18.081339752371917, -258.7069699100611, -9.114325850720869, 61.2942432681329, 266.09186358184394}","{24.695740114961737, 41.70556523026935, 0.7119180863095563, 18.081339752371917, -258.7069699100611, -9.114325850720869, 61.2942432681329, 266.09186358184394}","{24.695740114961737, 41.70556523026935, 0.7119180863095563, 18.081339752371917, -258.7069699100611, -9.114325850720869, 61.2942432681329, 266.09186358184394}","{24.695740114961737, 41.70556523026935, 0.7119180863095563, 18.081339752371917, -258.7069699100611, -9.114325850720869, 61.2942432681329, 266.09186358184394}",0,0
"ALB",0.015839194340245884,0.027783558412876982,0.4448081418189853,0.014331716204393406,-0.10073138635657336,-0.010698747238286045,0.040565907444736864,0.2077752170849502,0.0010455077414688,0.0023791432520438747,0.08752052064811092,0.000945965,-0.006111376,-0.000915127,0.003023517,0.009093029,0.000053589974542113496,0.0002790957317197407,0.8485155738616897,0.000013172733998152802,-0.002407555892645273,-0.00009432263136836689,0.00021658850714825138,0.0025419419502416708,0.6362984350449282,2.0171028864883946,0.9317742922575364,0.33272676950910934,-12.256781059649681,-0.4252540859829763,1.8986008253575473,16.193135286000096,0.18949021387324497,0.35855311257699857,0.7457049483047571,0.15228247389701055,-1.3094297752770183,-0.11045482528989593,0.4820734406334375,"{0.4468082211716832, 2.0514975499214025, 0.9106355770977441, 0.18813378645349838, -12.738224072274628, -0.7554254483201186, 1.7290659934268933, 16.318946195997643}","{0.4468082211716832, 2.0514975499214025, 0.9106355770977441, 0.18813378645349838, -12.738224072274628, -0.7554254483201186, 1.7290659934268933, 16.318946195997643}","{0.4468082211716832, 2.0514975499214025, 0.9106355770977441, 0.18813378645349838, -12.738224072274628, -0.7554254483201186, 1.7290659934268933, 16.318946195997643}","{0.4468082211716832, 2.0514975499214025, 0.9106355770977441, 0.18813378645349838, -12.738224072274628, -0.7554254483201186, 1.7290659934268933, 16.318946195997643}","{0.4468082211716832, 2.0514975499214025, 0.9106355770977441, 0.18813378645349838, -12.738224072274628, -0.7554254483201186, 1.7290659934268933, 16.318946195997643}","{0.4468082211716832, 2.0514975499214025, 0.9106355770977441, 0.18813378645349838, -12.738224072274628, -0.7554254483201186, 1.7290659934268933, 16.318946195997643}","{0.4468082211716832, 2.0514975499214025, 0.9106355770977441, 0.18813378645349838, -12.738224072274628, -0.7554254483201186, 1.7290659934268933, 16.318946195997643}",0,0
"ARE",2.0688965971751494,1.1298116338084871,0.4122371254900839,1.9870737649447303,-1.8599036145161798,1.0445450827301956,3.1001963998839805,8.554272483192136,0.00008871669926785599,0.0005116639876672378,2.3118366313759426,8.4619586e-7,-0.001881039,-0.000063,0.000229636,0.003796128,0.0006917383431968948,0.004686237842708644,4.080040528750817,3.5096792825653785e-6,-0.02822199087177231,-0.0004718041869588731,0.0014838973375930064,0.07014435085491542,0.054080993630170895,0.41936179014871566,3.7675777993453456,0.00011311548548221257,-3.4436540390372876,-0.04115860711537295,0.11286825118923278,7.4597261055297945,25.19114110649541,16.80700181008203,1.0938495044866727,22.81379046464503,-18.63227974151999,10.335467901466737,40.20602338709063,"{-25.137060112865246, 16.8036472218633, -1.093198516138008, -22.743464814633747, -188.88356929095346, -40.01123733468081, -10.309587789808813, 18.981023000240402}","{-25.137060112865246, 16.8036472218633, -1.093198516138008, -22.743464814633747, -188.88356929095346, -40.01123733468081, -10.309587789808813, 18.981023000240402}","{-25.137060112865246, 16.8036472218633, -1.093198516138008, -22.743464814633747, -188.88356929095346, -40.01123733468081, -10.309587789808813, 18.981023000240402}","{-25.137060112865246, 16.8036472218633, -1.093198516138008, -22.743464814633747, -188.88356929095346, -40.01123733468081, -10.309587789808813, 18.981023000240402}","{-25.137060112865246, 16.8036472218633, -1.093198516138008, -22.743464814633747, -188.88356929095346, -40.01123733468081, -10.309587789808813, 18.981023000240402}","{-25.137060112865246, 16.8036472218633, -1.093198516138008, -22.743464814633747, -188.88356929095346, -40.01123733468081, -10.309587789808813, 18.981023000240402}","{-25.137060112865246, 16.8036472218633, -1.093198516138008, -22.743464814633747, -188.88356929095346, -40.01123733468081, -10.309587789808813, 18.981023000240402}",0,0
"ARG",0.9395621322046168,0.9024277989144321,0.765868655966928,0.828900036514751,-2.203353525367623,0.1201387671445039,1.74410729648592,7.2336278829434315,0.051084091892799985,0.1392983465671916,-0.4774824613707923,0.055107854,-0.46299377,-0.054149423,0.16611797,0.5489252,0.17362623625274673,0.663029171880273,0.2647544060699604,0.07415534499231158,-4.678228824761275,-0.15106828111119178,0.5979685379351571,7.4185704753933255,33.348000127881555,110.14859438510655,0.39753020481122514,18.46647815421013,-601.6398009610145,-29.375909690724008,109.67772420987805,936.009001070438,11.047051467292773,11.918088445757206,1.2559088922352064,8.818514663758489,-30.782565017673928,1.1270964158555454,20.97919587837657,"{22.300948660588787, 111.09361858635077, 0.38543547160255104, 8.56202023590085, -627.5755763172638, -42.69442659879215, 99.96642605480568, 934.4646021207758}","{22.300948660588787, 111.09361858635077, 0.38543547160255104, 8.56202023590085, -627.5755763172638, -42.69442659879215, 99.96642605480568, 934.4646021207758}","{22.300948660588787, 111.09361858635077, 0.38543547160255104, 8.56202023590085, -627.5755763172638, -42.69442659879215, 99.96642605480568, 934.4646021207758}","{22.300948660588787, 111.09361858635077, 0.38543547160255104, 8.56202023590085, -627.5755763172638, -42.69442659879215, 99.96642605480568, 934.4646021207758}","{22.300948660588787, 111.09361858635077, 0.38543547160255104, 8.56202023590085, -627.5755763172638, -42.69442659879215, 99.96642605480568, 934.4646021207758}","{22.300948660588787, 111.09361858635077, 0.38543547160255104, 8.56202023590085, -627.5755763172638, -42.69442659879215, 99.96642605480568, 934.4646021207758}","{22.300948660588787, 111.09361858635077, 0.38543547160255104, 8.56202023590085, -627.5755763172638, -42.69442659879215, 99.96642605480568, 934.4646021207758}",0,0
"ARM",-0.01800567840987528,0.02053045858897304,-0.3307442993763248,-0.017402701302374056,-0.17409600996610078,-0.036357661416021814,0.0011461883577782769,0.07358455963195104,0.0001499018848108,0.0020153668349897932,-0.03932662548767491,0.000182294,-0.007259619,-0.001707819,0.001700936,0.007073357,-0.000011569097800753141,0.00019517862868789255,-0.13608527513259874,-3.2248113484868577e-6,-0.0015103823478758074,-0.00012623932311288836,0.00009123480811604167,0.0015440297401093856,0.08376001273581239,1.6152161673173755,0.08132088398985715,0.039529228525625286,-12.138429907589897,-0.7769050502853437,1.0502888085498072,13.358159678594316,-0.2244880299752005,0.2810961199567983,-0.8099298097355543,-0.19415885979827924,-2.41244615646177,-0.4624204379482472,0.02227654819931882,"{0.30824804271101286, 1.6388813838004361, 0.07792336738895479, 0.2873071716931801, -11.410152105519046, -0.6083973301911223, 1.3184876013302143, 13.322230567983826}","{0.30824804271101286, 1.6388813838004361, 0.07792336738895479, 0.2873071716931801, -11.410152105519046, -0.6083973301911223, 1.3184876013302143, 13.322230567983826}","{0.30824804271101286, 1.6388813838004361, 0.07792336738895479, 0.2873071716931801, -11.410152105519046, -0.6083973301911223, 1.3184876013302143, 13.322230567983826}","{0.30824804271101286, 1.6388813838004361, 0.07792336738895479, 0.2873071716931801, -11.410152105519046, -0.6083973301911223, 1.3184876013302143, 13.322230567983826}","{0.30824804271101286, 1.6388813838004361, 0.07792336738895479, 0.2873071716931801, -11.410152105519046, -0.6083973301911223, 1.3184876013302143, 13.322230567983826}","{0.30824804271101286, 1.6388813838004361, 0.07792336738895479, 0.2873071716931801, -11.410152105519046, -0.6083973301911223, 1.3184876013302143, 13.322230567983826}","{0.30824804271101286, 1.6388813838004361, 0.07792336738895479, 0.2873071716931801, -11.410152105519046, -0.6083973301911223, 1.3184876013302143, 13.322230567983826}",0,0
"AUS",0.905645084761203,0.9612939586097895,0.41028884599207166,0.862626335744802,-2.539525055537025,-0.033461442632286745,1.7751536165674302,6.954137507967895,0.034672318747400004,0.2711660045706948,0.06828103816774732,0.026110973,-0.67274386,-0.22745365,0.25281855,0.8233858,0.11313609883092401,1.3119926783076907,0.08828925648600885,0.01574064595629045,-10.01450542487943,-0.6440608256202864,0.926880767328521,8.631519298552808,19.875378812550537,221.3922181350987,0.3058273198994727,3.1689574942275303,-1775.3400289500212,-115.61338437888784,160.53349640697158,1546.718982560022,10.765197602548639,12.746541044882935,0.7591498681922823,9.178371237153952,-34.726717351459406,-0.14625068444852973,21.502285488958574,"{9.1101812100019, 222.15323068142368, 0.30036391492131576, -4.472848908590459, -1783.1885149995967, -126.68432305343133, 151.63169229161178, 1521.6449751961484}","{9.1101812100019, 222.15323068142368, 0.30036391492131576, -4.472848908590459, -1783.1885149995967, -126.68432305343133, 151.63169229161178, 1521.6449751961484}","{9.1101812100019, 222.15323068142368, 0.30036391492131576, -4.472848908590459, -1783.1885149995967, -126.68432305343133, 151.63169229161178, 1521.6449751961484}","{9.1101812100019, 222.15323068142368, 0.30036391492131576, -4.472848908590459, -1783.1885149995967, -126.68432305343133, 151.63169229161178, 1521.6449751961484}","{9.1101812100019, 222.15323068142368, 0.30036391492131576, -4.472848908590459, -1783.1885149995967, -126.68432305343133, 151.63169229161178, 1521.6449751961484}","{9.1101812100019, 222.15323068142368, 0.30036391492131576, -4.472848908590459, -1783.1885149995967, -126.68432305343133, 151.63169229161178, 1521.6449751961484}","{9.1101812100019, 222.15323068142368, 0.30036391492131576, -4.472848908590459, -1783.1885149995967, -126.68432305343133, 151.63169229161178, 1521.6449751961484}",0,0
"AUT",-0.2543721680569325,0.24651793208462422,-0.47664786216207267,-0.24216554812859076,-2.3303816510150512,-0.47397361073974886,-0.023509833596660566,0.7128751495867693,0.002640357969826399,0.004638869386947003,-0.36445434020459694,0.002785259,-0.018500283,-0.000537616,0.006309861,0.022478117,-0.0025090777628324814,0.0062660841241574715,-0.7991220657224389,-0.00142074509505148,-0.06781488024868199,-0.0067468241707781115,0.0009812024180989398,0.04052835272094799,1.666419350341046,4.021178708072075,0.5347342965996186,1.1100168035958138,-38.30285296023196,-0.47225444084520285,4.411225345214924,38.673071103955905,-3.18376414237932,3.4905731567324776,-0.9422786086578117,-2.745310423235982,-25.62324686843145,-6.211946193488344,-0.06157697800372567,"{4.850183492720366, 5.339286111627267, 0.3746277218117975, 4.396928019978603, -36.22542821634883, 0.6969808254874726, 9.21457968909666, 40.74452558837025}","{4.850183492720366, 5.339286111627267, 0.3746277218117975, 4.396928019978603, -36.22542821634883, 0.6969808254874726, 9.21457968909666, 40.74452558837025}","{4.850183492720366, 5.339286111627267, 0.3746277218117975, 4.396928019978603, -36.22542821634883, 0.6969808254874726, 9.21457968909666, 40.74452558837025}","{4.850183492720366, 5.339286111627267, 0.3746277218117975, 4.396928019978603, -36.22542821634883, 0.6969808254874726, 9.21457968909666, 40.74452558837025}","{4.850183492720366, 5.339286111627267, 0.3746277218117975, 4.396928019978603, -36.22542821634883, 0.6969808254874726, 9.21457968909666, 40.74452558837025}","{4.850183492720366, 5.339286111627267, 0.3746277218117975, 4.396928019978603, -36.22542821634883, 0.6969808254874726, 9.21457968909666, 40.74452558837025}","{4.850183492720366, 5.339286111627267, 0.3746277218117975, 4.396928019978603, -36.22542821634883, 0.6969808254874726, 9.21457968909666, 40.74452558837025}",0,0
"AZE",0.0351803078451447,0.0858790653667196,0.29970457172786497,0.03236008183204392,-0.34916370986889067,-0.048519521577450014,0.11360371735204947,0.581233813154059,0.0007070323772688002,0.003956922247182448,-0.13076727672177604,0.000753959,-0.009626833,-0.002963328,0.004260394,0.010445928,0.00008314056583447366,0.0013476983014783306,0.11059316492254642,0.000023269621479715513,-0.008002779862372196,-0.0006745323473169348,0.0008854411383027663,0.009674739258890518,0.4965700218354542,3.2515587709083635,0.28356243129850334,0.24500720722715577,-19.4951381114944,-1.5224150908430554,2.6710881402323516,22.963315296834445,0.421769057227941,1.1272892798960197,0.4134723724367718,0.3237657156713497,-6.389896730350055,-0.560491952946417,1.390719911634003,"{0.07480096460751319, 3.450743908095003, 0.2644382061636657, -0.04976247883669553, -20.498380288887248, -2.342973267931766, 2.43356456026885, 22.21552436384445}","{0.07480096460751319, 3.450743908095003, 0.2644382061636657, -0.04976247883669553, -20.498380288887248, -2.342973267931766, 2.43356456026885, 22.21552436384445}","{0.07480096460751319, 3.450743908095003, 0.2644382061636657, -0.04976247883669553, -20.498380288887248, -2.342973267931766, 2.43356456026885, 22.21552436384445}","{0.07480096460751319, 3.450743908095003, 0.2644382061636657, -0.04976247883669553, -20.498380288887248, -2.342973267931766, 2.43356456026885, 22.21552436384445}","{0.07480096460751319, 3.450743908095003, 0.2644382061636657, -0.04976247883669553, -20.498380288887248, -2.342973267931766, 2.43356456026885, 22.21552436384445}","{0.07480096460751319, 3.450743908095003, 0.2644382061636657, -0.04976247883669553, -20.498380288887248, -2.342973267931766, 2.43356456026885, 22.21552436384445}","{0.07480096460751319, 3.450743908095003, 0.2644382061636657, -0.04976247883669553, -20.498380288887248, -2.342973267931766, 2.43356456026885, 22.21552436384445}",0,0
"BDI",0.17562429908500338,0.11368952641389246,0.40434768153080425,0.16861985090048554,-0.21134907883443804,0.07015823530578523,0.27923440458957205,0.8351620505874746,0.0014903531482884,0.0018952172211096757,-0.7325687996593961,0.001591699,-0.007173766,0,0.003196762,0.00603888,0.0009370243865663248,0.0015424426805971808,0.2673747516436086,0.0006988576524822236,-0.012023132501096786,-0.00003501306018512235,0.0021148014401627378,0.00954119894713069,0.9553539507373231,1.7224562112418085,0.5615370866890596,0.5940673622756224,-12.101708488597158,-0.11352103188769659,2.299191910418082,10.36763396382525,2.147147311469052,1.630131179902148,0.9747949890978301,1.8752057001556128,-2.1666049309101933,0.7112602346145632,3.605095658440553,"{-1.1917933607317286, 2.383878968537607, -0.11753670635780908, -1.166848709085467, -13.811229911275667, -3.2143790004261037, 0.7981376411720981, 8.937307125599682}","{-1.1917933607317286, 2.383878968537607, -0.11753670635780908, -1.166848709085467, -13.811229911275667, -3.2143790004261037, 0.7981376411720981, 8.937307125599682}","{-1.1917933607317286, 2.383878968537607, -0.11753670635780908, -1.166848709085467, -13.811229911275667, -3.2143790004261037, 0.7981376411720981, 8.937307125599682}","{-1.1917933607317286, 2.383878968537607, -0.11753670635780908, -1.166848709085467, -13.811229911275667, -3.2143790004261037, 0.7981376411720981, 8.937307125599682}","{-1.1917933607317286, 2.383878968537607, -0.11753670635780908, -1.166848709085467, -13.811229911275667, -3.2143790004261037, 0.7981376411720981, 8.937307125599682}","{-1.1917933607317286, 2.383878968537607, -0.11753670635780908, -1.166848709085467, -13.811229911275667, -3.2143790004261037, 0.7981376411720981, 8.937307125599682}","{-1.1917933607317286, 2.383878968537607, -0.11753670635780908, -1.166848709085467, -13.811229911275667, -3.2143790004261037, 0.7981376411720981, 8.937307125599682}",0,0
