"Country","CSCC_mean","CSCC_std","CSCC_skew","CSCC_median","CSCC_min","CSCC_q17","CSCC_q83","CSCC_max","F_mean","F_std","F_skew","F_median","F_min","F_q17","F_q83","F_max","FWglob_mean","FWglob_std","FWglob_skew","FWglob_median","FWglob_min","FWglob_q17","FWglob_q83","FWglob_max","FWdom_mean","FWdom_std","FWdom_skew","FWdom_median","FWdom_min","FWdom_q17","FWdom_q83","FWdom_max","FWout_mean","FWout_std","FWout_skew","FWout_median","FWout_min","FWout_q17","FWout_q83","FWout_max","FWin_mean","FWin_std","FWin_skew","FWin_median","FWin_min","FWin_q17","FWin_q83","FWin_max","FWnet_mean","FWnet_std","FWnet_skew","FWnet_median","FWnet_min","FWnet_q17","FWnet_q83","FWnet_max","Fabmean"
"AFG",0.27070551147910943,0.5243240500874676,0.33482350394721244,0.24844865429806284,-1.9248726984350477,-0.23236391950983373,0.7448178395988588,3.3178647753392823,-0.000729550255583308,0.0010209485994100138,-1.620404554275189,-0.00054725,-0.004856584000000001,-0.00132477522,0.00005147,0.001324115,-0.46483724149602385,0.9281617514218081,-3.316624197765335,-0.17248091409042932,-10.956376122952815,-0.9543584770954014,0.061575757719965964,2.215636767014137,-0.0007566908284063264,0.0026530545636645267,-2.7703087951433663,-0.00013789590789808757,-0.03144779232216774,-0.0019798034372365565,0.00048662214240420093,0.02496757899082807,-0.4641004174158695,0.9257776409317264,-3.314692755394731,-0.1725326245540329,-10.91982613474229,-0.9515678466624505,0.060990549781641756,2.2070045608077518,0.5329947089014414,1.9504849759016447,1.2476683222339093,0.1823294561093199,-11.292907494653226,-0.7394260863780141,1.879722219362615,18.18684781194231,-0.9970951263173109,2.1523157900906273,-1.1693602106394014,-0.6487498072026336,-19.85207123020172,-2.6280975668436746,0.5265561793100928,10.93538255161325,-0.000729550255583308
"AGO",0.7848106207478398,0.486603590854189,0.4297812368249996,0.7509654084970313,-0.8692932064472947,0.33589482547326516,1.2287227387782678,3.5576070172627516,0.010753485012099998,0.028249139966416363,-0.24172249182017302,0.010710683999999998,-0.11551478400000001,-0.013508326000000005,0.035186129999999996,0.11338416,6.630959790283114,23.78238121161409,0.33025345678829005,3.2248711840274087,-255.65322021390622,-7.582969466222298,23.13261163170975,235.17744348848422,0.031086851321269773,0.09827298330232632,0.3035400900911898,0.019640700472357147,-0.8019121122233083,-0.033090120254753316,0.10310270321288532,0.7873214980013304,6.600612888181148,23.68656138774148,0.33078513418956557,3.2080423276281653,-254.73284714024607,-7.556412734444872,23.016795790563954,234.27122401477428,1.541931262777421,2.7280058933902027,0.9780095379845662,1.1417671848208493,-10.433076651836924,-0.4786017460722685,3.7642570482648625,25.731666922592616,5.058681625403727,23.522584499626642,0.3305385658964175,2.019595612189198,-257.93580656831205,-9.368188616307494,21.568721384894502,230.91431001706098,0.010753485012099998
"ALB",0.01583325276766646,0.0277731362900544,0.4448081418189856,0.014326340114537641,-0.10069360016428308,-0.010694733941784993,0.04055069042812885,0.20769727678659936,0.0005282932228769999,0.0013248298563583762,-0.15367305622025815,0.0005591535,-0.005120574,-0.000552381,0.0016432970000000002,0.0053146899999999995,0.3314334250486594,1.1097613035538096,0.5912421179105867,0.18920881249285,-9.236300638755152,-0.2979975611555438,1.059480129519906,8.71413352220579,0.000029636703302924944,0.00016822096712699365,0.1967082930916549,0.00001029189764910471,-0.0024397965333581395,-0.000058472316836647655,0.00012296002623226373,0.0015947794991444518,0.33140304327321085,1.1096133842342386,0.5911826951748004,0.1891967351110092,-9.234847850371894,-0.2980434472477564,1.0593488352258735,8.712801898763624,0.030977027144628848,0.10482264227812861,1.3574561906269467,0.010783931467627798,-0.6151245677735665,-0.0369543744472425,0.10210921446657324,1.0308164983400545,0.30042601612858205,1.1109046502511137,0.5913127416100313,0.1599867574050668,-9.287235832026994,-0.3369796199230414,1.031184371918019,8.753373397677903,0.0005282932228769999
"ARE",2.0681205160799006,1.129387820723102,0.41223712549008396,1.986328377095988,-1.8592059305255049,1.0441532546934784,3.099033459299713,8.551063618540864,0.000125104867,0.00014534316889443667,0.8441394970692864,0.000039149999999999996,6.910000000000001e-6,0.00001473,0.00033552,0.00038309,0.07768320892006339,0.13230801947589296,2.0913585911090036,0.02244246056677694,-0.2729818381134792,0.0038223121989707856,0.18468144477765333,1.0624710751683284,0.000952307440752087,0.0013523663397917276,1.8020728960236259,0.0002875350082185903,-0.0013506672566253328,0.00008274282766242871,0.0023425202367225112,0.010990322240153503,0.07674932031089216,0.13103443895326222,2.093361984065433,0.022163324159159052,-0.2713363653401562,0.003681568935766787,0.1821414071523786,1.0539721116319538,4.132725723627332,6.871307396572205,0.7700498514458438,3.3090846711789643,-27.18782026878262,-1.1504389446290488,9.92419280002451,62.045014569742456,-4.05597640331644,6.848888651483296,-0.772714694247865,-3.2242985178392125,-62.035148765751536,-9.849067418036249,1.192255260521025,27.22376852634963,0.000125104867
"ARG",0.9392096851999617,0.9020892816799215,0.7658686559669274,0.828589100893769,-2.202527007010194,0.12009370088739146,1.7434530498199743,7.2309144163266454,-0.008936818875040001,0.04986266618216055,-0.5477615755530093,-0.0037252115000000023,-0.21884254000000003,-0.054185224,0.035250988000000004,0.12225433,-5.284584383504938,40.52137483934073,-1.2628053285790541,-0.7015041084304894,-385.76914571915944,-30.7761792795215,21.87470457128738,247.21102388668285,-0.0315070741579341,0.24343843808956492,-1.6168659995037404,-0.0036190436835230634,-2.450218926667711,-0.16512143811318022,0.11272507065789676,1.545522504255605,-5.255519985237351,40.287653467257655,-1.2609125695052885,-0.7018044210787405,-383.07152700544543,-30.58952350606706,21.76774472001463,245.5872298966794,1.914798867091893,4.089516645087199,1.5296553529983585,0.9987925285507977,-18.600930922789505,-0.6990401936550154,4.857938841865055,46.03764267454053,-7.170318852329244,40.64831244341216,-1.2072956796044623,-3.1020454609776933,-384.4343084683864,-32.76774340118301,20.243530512760692,243.54039507206386,-0.008936818875040001
"ARM",-0.01799892414934814,0.02052275723704977,-0.33074429937632477,-0.017396173229629643,-0.17403070335663687,-0.03634402298975587,0.0011457584014830805,0.07355695671273771,-0.00018204418100000003,0.00017405981020730252,-0.5132114008145489,-0.00011432,-0.0004942,-0.00040700999999999997,-0.00001754,-2.19e-6,-0.11498809314505788,0.17166524040575398,-1.8448935435782907,-0.036053346276452417,-1.2105469164531157,-0.26066266906541924,-0.002344762118092731,0.369817552818852,0.000011597409554061557,0.000021869877064362923,1.627740836503775,3.209720134210051e-6,-0.00010211970149280493,-1.259632696610583e-7,0.000028965851143864588,0.00018291316343418677,-0.11499980266247493,0.17166424137224512,-1.844825992734483,-0.0360552935801484,-1.2105450510359645,-0.2606772100140966,-0.002344874758317037,0.36975951387889816,-0.03629348273266467,0.08489932829170041,-1.3275528955251197,-0.018344618720009045,-0.8102992353765153,-0.09945898128240989,0.01995507629504342,0.37549014780009105,-0.07870631992981028,0.19779997333835556,-1.1393657227208984,-0.0306848009152504,-1.2548603987942257,-0.24582185943387613,0.06989845835043629,0.775274192318585,-0.00018204418100000003
"AUS",0.9037552969201829,0.9608716759583152,0.4061392081747385,0.8622268841753686,-2.434683854500962,-0.0340355697974405,1.7729344424311106,6.95152888332176,0.0018302914406,0.03745791627722128,0.09673445297951519,0.001380244000000001,-0.130470515,-0.028077196,0.032302695,0.12614316,1.1095437076194747,30.41352139083207,0.41537820272146275,0.19985121699125633,-212.63571331097478,-16.44284544438778,17.723082129934074,284.6411710083068,0.0049984035410707,0.17991613024752906,0.11696888200378987,0.0014844230609553353,-1.436262753197245,-0.0891492079379732,0.09574158749337619,1.368040820056221,1.1061532762629795,30.319392579520507,0.41738669003699824,0.19500484117124883,-211.94221224323647,-16.382558456619147,17.643926064424154,284.26575004887127,1.7361528181379122,4.03353383928087,1.189185277425382,0.8364822608831044,-15.264405831658808,-0.9450901019948031,4.804977474922835,29.99165987039928,-0.6299995418749329,30.52265796810279,0.4087409025738086,-0.8067208284721159,-213.8297159160878,-18.968827708748005,16.426827861675015,282.40024165220996,0.0018302914406
"AUT",-0.2542767483868262,0.24642545868262242,-0.47664786216207333,-0.2420747073857137,-2.3295074820756576,-0.4737958145369593,-0.023501014626475334,0.7126077370309063,0.0039129474793073,0.004100313017208173,-0.20196982340396738,0.003885407,-0.013586994,0.000811208,0.007078062,0.020174077000000002,2.458232409197918,3.909048863968897,1.1561763843009216,1.7285362557650028,-32.96358709728389,-0.19715414719637056,5.340854171398484,36.74954976610581,-0.0036006970987041568,0.00638216878917654,-0.763900113212288,-0.00247910048755081,-0.05558111961753959,-0.008311381906471146,0.0005984429504708562,0.08787567623902134,2.461824781298972,3.909738024304368,1.1545978899913756,1.7325842375906064,-32.969518834356805,-0.1957011589446178,5.343484514677951,36.7336581729103,-0.5090766052151696,1.079347258254837,-1.3610578572080743,-0.2804273167018857,-10.88703965687301,-1.3231322363999254,0.2099052399994973,5.330754191243194,2.9709013865141416,4.173545009872076,1.0592618796820186,2.2731250292999823,-32.71630229524518,-0.0954712599283389,6.203195370688207,38.41828823007555,0.0039129474793073
"AZE",0.035167111065817526,0.08584685055269758,0.29970457172786497,0.032347942971269125,-0.34903273215122893,-0.04850132101416512,0.11356110251208729,0.5810157816802172,-0.0005227594531908,0.0011194777254407199,0.4960556535470092,-0.00050225795,-0.004530458,-0.001493637,0.0003423619999999998,0.005111332,-0.3210507991404902,0.9458310648975271,-0.2644725893723152,-0.17044663016240463,-7.277671718620773,-0.9482349588141229,0.20669437613746755,7.539710475090597,-0.00006755152050872288,0.00041831522999682947,-0.3912239628098341,-0.00002288823069402341,-0.004476551841585415,-0.00031673336185767683,0.000157812593595484,0.00476440963932111,-0.3209893652976238,0.9454857695040617,-0.26418304007123355,-0.17039275010545368,-7.27422940545757,-0.948070480748827,0.2066165460787405,7.5356987794159895,0.06929043189263695,0.3107123386868684,1.1540267477291286,0.020110329761019084,-1.8698223485431678,-0.13229419993478458,0.28254824028990183,3.096042988139066,-0.3902797971902608,0.9831781920290478,-0.25702097742803326,-0.2638798061653166,-7.3156363304980925,-1.0787982829203926,0.23727746103156913,7.554821817993903,-0.0005227594531908
"BDI",0.17555841918623397,0.11364687938537586,0.4043476815308052,0.16855659849882068,-0.21126979791493455,0.0701319176637285,0.2791296586381113,0.8348487659700533,0.0001374385999931,0.0015004979710622898,-0.6692444576863206,0.0001906029999999999,-0.00888277,-0.00112017,0.0014766990000000002,0.004812337,0.0711735368171745,1.2507922001209153,-1.377123987910125,0.03918442489869782,-20.067700447590685,-0.6218488533808131,0.8578785502893916,8.503282831166931,0.00009566579424823332,0.001159386459492193,-0.5770784620530982,0.000052362366136335095,-0.011178634925149668,-0.0006473048759884755,0.0008912417678289973,0.008451633134160303,0.07109809300382892,1.249632512604863,-1.3770346476978212,0.03902939065176721,-20.049805532956356,-0.6212807989666794,0.8570979988241405,8.496875856241191,0.35144407703193536,0.6254085309225178,0.9995111740233792,0.25291076008338575,-2.3494529545696947,-0.10421336932587008,0.8609782792842507,6.001117459789082,-0.28034598402810645,1.3549496038475966,-1.1222432317001092,-0.21949640650432817,-20.221706750762902,-1.2515175968496746,0.666249750321522,8.248723645153198,0.0001374385999931
