"Country","CSCC_mean","CSCC_std","CSCC_skew","CSCC_median","CSCC_min","CSCC_q17","CSCC_q83","CSCC_max","F_mean","F_std","F_skew","F_median","F_min","F_q17","F_q83","F_max","FWglob_mean","FWglob_std","FWglob_skew","FWglob_median","FWglob_min","FWglob_q17","FWglob_q83","FWglob_max","FWdom_mean","FWdom_std","FWdom_skew","FWdom_median","FWdom_min","FWdom_q17","FWdom_q83","FWdom_max","FWout_mean","FWout_std","FWout_skew","FWout_median","FWout_min","FWout_q17","FWout_q83","FWout_max","FWin_mean","FWin_std","FWin_skew","FWin_median","FWin_min","FWin_q17","FWin_q83","FWin_max","FWnet_mean","FWnet_std","FWnet_skew","FWnet_median","FWnet_min","FWnet_q17","FWnet_q83","FWnet_max","Fabmean"
"Total",172.55877497744066,140.10191431656486,0.39013867999497864,166.268109868995,-309.157663486625,39.53217073669721,300.4943756352405,1028.0981319122768,-8.404240394875199,0.9828044079173323,-0.16188562739884965,-8.320982827999998,-11.791126838,-9.335230466,-7.53680381,-5.050477382,-5272.439840427706,4423.39186490893,-0.5143914674546198,-5022.205815152769,-28604.018725619102,-9175.595346766022,-1177.0539212247513,9277.597161985126,-5272.439840427706,4423.39186490893,-0.5143914674546198,-5022.205815152769,-28604.018725619102,-9175.595346766022,-1177.0539212247513,9277.597161985126,-5272.439840427706,4423.39186490893,-0.5143914674546198,-5022.205815152769,-28604.018725619102,-9175.595346766022,-1177.0539212247513,9277.597161985126,0.,0.,"Indeterminate",0.,0.,0.,0.,0.,-5272.439840427706,4423.39186490893,-0.5143914674546198,-5022.205815152769,-28604.018725619102,-9175.595346766022,-1177.0539212247513,9277.597161985126,-8.404240394875199
"ROW",0,0,0,0,0,0,0,0,-0.12062295915630998,0.01271072036958146,0.02074376528358341,-0.1209078244,-0.18513051679999998,-0.13088514049999997,-0.1102659828,-0.0605137944,-75.65750747228459,63.18678531348462,-0.4866504498198951,-72.81269321306608,-401.7775037952875,-131.01074306988443,-16.81334070902271,137.80186274795463,0.,0.,"Indeterminate",0.,0.,0.,0.,0.,0.,0.,"Indeterminate",0.,0.,0.,0.,0.,0.,0.,"Indeterminate",0.,0.,0.,0.,0.,0.,0.,"Indeterminate",0.,0.,0.,0.,0.,-0.12062295915630998
"COD",2.1494249603509137,1.2480512850070924,0.3637100511377047,2.072006966952582,-2.1743297730037314,1.0043568859727088,3.292782541175367,9.055029379761983,0.0345189865475202,0.08335866285680493,-0.2598156023606281,0.03392016256199999,-0.32971462456600004,-0.03599623374800001,0.11108616920599998,0.28477070836999996,21.782133783923772,70.60529414460864,0.28094510423920843,10.071866843349616,-539.1905229247086,-19.58901524745054,71.47924932819255,523.7897008302263,0.2740888883787644,0.776330326039626,0.33751206224343555,0.1763095222554142,-4.1179848209126115,-0.23497199539613578,0.8538050038528014,5.295832621850877,21.510872278318597,69.84673005342441,0.28289144699144775,9.87627684999201,-533.7453289963472,-19.359314590631296,70.7044769556877,519.0501166561085,-66.94660839153376,39.546134460275596,-0.48855433304342755,-63.67190110711353,-272.5967692695233,-102.88999715604636,-31.194354910771946,50.986677529008354,88.45748066985237,77.4495255915976,0.2305935037393212,82.07707675152004,-469.93344010882004,29.302561463128928,149.97859523029592,545.268619262338,0.0345189865475202
"PER",0.5788410285998842,0.6162334183017656,0.47994111387355565,0.5394560903969892,-1.6849740298734195,-0.011032967361157347,1.1386622980375847,4.497220943952103,0.027727138705377,0.04528459244564572,-0.26778769764383176,0.025311719389999997,-0.18379106259,-0.007395062800000001,0.06570071961,0.16910938111999999,17.371781287034707,40.07654018773814,0.691774703472982,9.028523802438372,-442.249892393327,-5.573966224067955,44.59234404078878,392.61332457747363,0.0605210767507113,0.15681498388247597,0.9793786975647905,0.025265050251612707,-1.3297026537153274,-0.02638034803688955,0.16218911213949083,1.5458051555544745,17.313333080698,39.92174523474582,0.6909739066560545,9.005732428250932,-440.323054607601,-5.552600914414129,44.467946484842095,390.9398660040221,-18.219059594543303,19.414033032475324,-0.6036907161620971,-16.60694033958108,-135.4061855274732,-35.49716872836137,0.029157918154335445,43.197539373467635,35.532392675241304,43.66584623874978,0.46146471470042283,30.761010964869726,-409.05282858041414,2.7701502173127786,68.18369268690456,398.1781065684594,0.027727138705377
"CAF",0.09561346986444395,0.05299112357083909,0.3364687263223041,0.09259857762934971,-0.09213462081004188,0.04707414278479151,0.14422876011426206,0.3911010662597401,0.026510189938159998,0.025324532803237102,-0.9075720565549065,0.027571186499999997,-0.13380315,0.005553091,0.046131875,0.09881838,16.52032156094772,24.71025694299626,0.5784919447847444,11.89571154319119,-321.8618582197349,-0.6678144708783914,34.518692247908014,215.20150570178794,0.009302380663680908,0.011570928134001306,-0.22720150181521534,0.007795497535105946,-0.1119212054070822,0.000477413052332259,0.017958020658781118,0.0815138125722591,16.51110849587683,24.699446499799553,0.5786667298593151,11.88884723468215,-321.7332823748552,-0.6670398374408438,34.50261443705191,215.11067755756036,-2.9735435596798747,1.6823653269410161,-0.47174380258467724,-2.8382753457255943,-11.764070535907308,-4.498780440932942,-1.4496812114691946,2.1055944247009575,19.4846520555567,24.700481604074884,0.5838525792200299,14.937817246108768,-317.52130838726885,2.049570360494882,37.68623120541811,220.23577266385385,0.026510189938159998
"PNG",0.19772200963321235,0.12975979524625336,0.5960228952517783,0.18576652293099516,-0.2351732596546136,0.07937108867206188,0.3143499913630928,1.0279087197403083,0.0227843430464722,0.018902608579407697,0.26096308484243236,0.020928932244499997,-0.053349513835,0.005723465962000001,0.045231374962,0.073919333112,14.157060924957655,19.257579836893893,1.548249626016357,8.681689980084336,-91.06974087652168,0.1277345659420687,29.220268587002938,170.28898019831405,0.01660019934966533,0.019739015044387333,1.5304243098845771,0.011122235339495572,-0.12656229738357389,0.0014288098356290972,0.032108232214808345,0.17067165742428714,14.140803866126392,19.238417220900107,1.548187491156737,8.667433410946018,-90.97889566755644,0.12513995686084145,29.184070101380364,170.1042378430073,-6.1606401318518,4.108928407004767,-0.720534513631878,-5.674292829858995,-30.887383095126857,-9.817693198341434,-2.477143699091106,4.719155796207137,20.301443997978193,19.421689993269087,1.4792880023845263,15.53751198499171,-79.29009687574506,5.447534367948411,35.54539321302641,182.2337034247697,0.0227843430464722
"COG",0.2760273305356377,0.15714100323754224,0.41674897439849656,0.26496611923830704,-0.27149823275538193,0.13244968070833482,0.41960222955834725,1.1908207380971736,0.019333724748351797,0.015884579698160293,0.4531384099978263,0.0187762718825,-0.019772367857999996,0.006180384536,0.032821115142,0.085234163821,12.154952019513491,16.200201469710716,1.606818077530191,8.610038694973813,-76.45209159289729,-0.3466182175976347,24.699766563194284,165.66794198456074,0.01969519590452833,0.021371318283320853,1.3795594524912522,0.015811353412206422,-0.0390181943063549,0.0019333422770036058,0.0362557849015286,0.17942892191819337,12.135505605562313,16.179651617838754,1.6069375089557156,8.597278480690347,-76.42302136432684,-0.34577089875988404,24.66932024411323,165.47679516549414,-8.576878635384011,4.9792572166027576,-0.5448931500084491,-8.142158681395266,-35.71549321090237,-13.098757685242186,-4.099153024608495,6.007493813945155,20.712384240946324,16.56208758948961,1.4383861083383007,17.678477737703233,-64.07223016948319,7.1607770123419705,33.67653176899143,169.73736995520608,0.019333724748351797
"GAB",0.1031523341356294,0.05974744814855544,0.48302620518347494,0.09849027366981211,-0.0996738522435279,0.048723405405021604,0.15733948598621111,0.47005734375340963,0.015172275275320399,0.011874668336722434,0.4406961283047821,0.014151948482,-0.023591276518,0.005485305694,0.02443468083,0.06139327751800001,9.479211074721476,12.385019851739088,1.6276750754008038,6.880609869693211,-54.75472005228766,0.07656420751936392,18.62192556164615,117.44866783630451,0.00578924955705165,0.006120280164698684,1.4602754379886813,0.0046228202594825515,-0.018615353214666928,0.0009276301869816727,0.010567479019639395,0.050249299654677095,9.473538710919199,12.37910060793277,1.627668796643649,6.873841584201775,-54.72659195329124,0.07534919656031068,18.61210561878202,117.39263326816955,-3.2043076832739503,1.8899241428015974,-0.6114793159591904,-3.0129120491925034,-14.095253340104856,-4.903572580803165,-1.5095027276503659,2.0511673342607475,12.67784639419315,12.38087515920402,1.5900650654049007,10.223648850449791,-50.84114768916094,3.0935219438897152,21.919247395538513,121.17715060112823,0.015172275275320399
"CMR",0.7422480620056359,0.4306112824864594,0.441745510079685,0.7109532340091651,-0.7649635236933376,0.34895499670473207,1.1344578631671134,3.295053181517417,0.012842165350136298,0.016096238952401355,-0.1267748131847618,0.014121873487000001,-0.043222173448,-0.0018590716989999988,0.026238775295,0.07505536529500001,8.088875347756598,14.713404966679294,1.040493206284262,5.2775266363471385,-88.62382734101806,-2.0069454059562437,19.27119645265407,143.67409542298984,0.03538934437973801,0.05413789290031618,0.7232496974680542,0.0289484768848903,-0.2568947140782449,-0.004822112698104229,0.07790277489686738,0.44076382367108946,8.054047572368656,14.660632737364944,1.0411803155248511,5.254752884916405,-88.36408923679821,-2.0021260293891854,19.20096469717047,143.22973510908048,-23.06349205050898,13.636702385809516,-0.5734081817187242,-21.7698479304256,-98.81382220936683,-35.253594945214104,-10.820298508018503,16.858765128451655,31.117539622877636,19.120953260127038,0.4810161001842935,29.563628005084297,-62.53035323482993,14.358853874142975,48.008054241265384,155.82841640305608,0.012842165350136298
"GUY",0.015829339117404216,0.008724349680224081,0.4412818117275559,0.015240648897511524,-0.015562948312018638,0.007914111057140932,0.023707378134286923,0.07111887960925944,0.012332539584199099,0.01629703759098856,-0.20344266029279004,0.013118743562,-0.053942503938,-0.002789829745,0.025423074761,0.06402600225499999,7.742924352522408,14.885048014504834,1.0224961153003915,5.495750204514922,-103.40108125404481,-2.4398699632068577,18.52923342902602,138.36183602617888,0.0007155029798819881,0.0011345739307523964,0.6059087097653036,0.000609294848524335,-0.0077410667795574616,-0.00014190078253676922,0.0015868993731463776,0.009264462882947752,7.742213821572869,14.883944277549094,1.0225199096752815,5.495171238750708,-103.39480972661363,-2.439668896523294,18.52793101929658,138.35417715007802,-0.49065469888717417,0.2756524259766099,-0.5816494272560451,-0.4675969532077934,-2.2056242394347683,-0.7322185741470276,-0.24552255542298476,0.32235824699972376,8.232868520460043,14.862791042466444,1.0215997882137056,5.970989134624995,-102.96422650341383,-1.9034236559442252,18.9531210271217,138.8706252864251,0.012332539584199099
