iso,non_na_count
AFG,210000
AGO,210000
ALB,210000
ARE,210000
ARG,210000
ARM,210000
AUT,210000
AZE,210000
BDI,210000
CZE,210000
BEL,210000
BEN,210000
BFA,210000
BGD,210000
BGR,210000
BHS,210000
BIH,210000
BLR,210000
BLZ,210000
BOL,210000
BRA,210000
BRN,210000
BTN,210000
CAF,210000
CAN,210000
DEU,210000
CHE,210000
CHN,210000
CIV,210000
COD,210000
CMR,210000
COG,210000
COL,210000
CYP,210000
COM,210000
CRI,210000
CUB,210000
ECU,210000
DZA,210000
DOM,210000
DNK,210000
TUR,210000
TZA,210000
UGA,210000
SUR,210000
ERI,210000
EGY,210000
ESP,210000
EST,210000
GBR,210000
ETH,210000
FIN,210000
FRA,210000
GEO,210000
GAB,210000
GIN,210000
GHA,210000
HND,210000
HRV,210000
GMB,210000
GNB,210000
GNQ,210000
GRC,210000
GTM,210000
GUY,210000
IDN,210000
IND,210000
HTI,210000
HUN,210000
IRN,210000
ITA,210000
ISR,210000
IRQ,210000
MDG,210000
LKA,210000
LSO,210000
JAM,210000
JPN,210000
JOR,210000
KAZ,210000
KEN,210000
KWT,210000
KGZ,210000
KHM,210000
KOR,210000
LBN,210000
LAO,210000
LBR,210000
LBY,210000
MMR,210000
MEX,210000
MKD,210000
LTU,210000
LUX,210000
LVA,210000
MAR,210000
MDA,210000
MNG,210000
MNE,210000
MOZ,210000
MLI,210000
NAM,210000
MYS,210000
MWI,210000
MRT,210000
ZMB,210000
VNM,210000
WSM,210000
UKR,210000
NGA,210000
NER,210000
NLD,210000
NIC,210000
OMN,210000
PAK,210000
NOR,210000
NPL,210000
PAN,210000
PNG,210000
PHL,210000
PER,210000
RUS,210000
RWA,210000
SAU,210000
POL,210000
PRT,210000
PRY,210000
QAT,210000
ROU,210000
SEN,210000
SLB,210000
SLE,210000
SDN,210000
SLV,210000
STP,210000
SRB,210000
SOM,210000
ZWE,210000
ZAF,210000
YEM,210000
VEN,210000
SVK,210000
SVN,210000
SWE,210000
SWZ,210000
SYR,210000
TCD,210000
TGO,210000
THA,210000
TJK,210000
TKM,210000
TTO,210000
TUN,210000
USA,210000
UZB,210000
VCT,210000
AUS,195000
CPV,195000
CHL,195000
BWA,195000
IRL,195000
NCL,195000
DJI,195000
FJI,195000
NZL,195000
URY,195000
MUS,195000
VUT,195000
ISL,150000
