Country,ISO,Numeric,Land_Sink,Land_Sink_Gt_per_yr
Afghanistan,AFG,4,118.31474458830644,0.003731173785336832
Angola,AGO,24,1640.0459091307503,0.051720487790347346
Albania,ALB,8,27.756500649250185,0.0008753290044747538
Andorra,AND,20,2.270332424874442e-14,7.159720335084041e-19
United Arab Emirates,ARE,784,3.2582488373133542,0.00010275213533351395
Argentina,ARG,32,1693.5488572680943,0.05340775676280662
Armenia,ARM,51,4.035850248319698,0.00012727457343100998
Antigua and Barbuda,ATG,28,-2.5909636212771785,-8.170862876059709e-05
Australia,AUS,36,1066.5970152803513,0.03363620347388116
Austria,AUT,40,86.8449528276038,0.0027387424323713134
Azerbaijan,AZE,31,21.42777381918353,0.0006757462751617718
Burundi,BDI,108,47.688410419278085,0.0015039017109823537
Belgium,BEL,56,7.754357350851745,0.00024454141341646065
Benin,BEN,204,51.51154292261673,0.001624468017607641
Burkina Faso,BFA,854,115.94632993589362,0.003656483460858341
Bangladesh,BGD,50,213.18264606734874,0.0067229279263799095
Bulgaria,BGR,100,120.933234028877,0.0038137504683346648
Bahrain,BHR,48,0.38402272002753624,1.2110540498788383e-05
Bahamas,BHS,44,54.31679265655107,0.0017129343732169946
Bosnia and Herzegovina,BIH,70,54.099198468845195,0.001706072322913502
Belarus,BLR,112,211.44976074249703,0.006668279654775387
Belize,BLZ,84,55.28122923750656,0.001743348845234007
Bolivia,BOL,68,937.1765911748704,0.029554800979290714
Brazil,BRA,76,9155.320284408366,0.28872218048910225
Barbados,BRB,52,0.0,0.0
Brunei,BRN,96,17.961697587736133,0.0005664400951268467
Bhutan,BTN,64,51.53347782375006,0.0016251597566497818
Botswana,BWA,72,180.79498628594533,0.005701550687513572
Central African Republic,CAF,140,957.0503455079115,0.030181539695937495
Canada,CAN,124,7008.2169238831875,0.2210111289115802
Switzerland,CHE,756,28.927594872553357,0.0009122606319008427
Chile,CHL,152,354.3128760387516,0.01117361085875807
China,CHN,156,7846.6854732568245,0.24745307308462722
Ivory Coast,CIV,384,364.78849733868776,0.011503970052072857
Cameroon,CMR,120,765.0582555400808,0.02412687714671199
Democratic Republic of The Congo,COD,180,5984.870794486775,0.18873888537493494
Congo,COG,178,736.3780961827364,0.023222419641218774
Cook Islands,COK,184,1.1422805266004787,3.60229586868727e-05
Colombia,COL,170,1875.1312785734042,0.05913414000109087
Comoros,COM,174,0.45431727367677477,1.432734954267077e-05
Cape Verde,CPV,132,1.7458261898625345,5.505637472350489e-05
Costa Rica,CRI,188,140.255913528138,0.00442311048902336
Cuba,CUB,192,175.29893559449377,0.005528227232907955
Cyprus,CYP,196,5.121850039379962,0.00016152266284188646
Czechia,CZE,203,31.090232114616214,0.0009804615599665369
Germany,DEU,276,67.6111686579959,0.002132185814798559
Djibouti,DJI,262,0.747431797534337,2.3571009167042852e-05
Dominica,DMA,212,1.615240503692749,5.0938224524454536e-05
Denmark,DNK,208,70.99028801503282,0.0022387497228420748
Dominican Republic,DOM,214,80.75024190471883,0.002546539628707213
Algeria,DZA,12,-75.3710783082424,-0.002376902325528732
Ecuador,ECU,218,510.12695672326936,0.016087363707225022
Egypt,EGY,818,18.406004261284064,0.0005804517503838543
Eritrea,ERI,232,67.79009978839272,0.002137828586926753
Spain,ESP,724,247.79317061461768,0.007814405428502584
Estonia,EST,233,61.47294038426664,0.0019386106479582328
Ethiopia,ETH,231,1642.2979818058084,0.05179150915422797
Finland,FIN,246,321.48779757935006,0.010138439184462384
Fiji,FJI,242,60.287613544164245,0.0019012301807287636
France,FRA,250,336.11657017713026,0.01059977215710598
Micronesia,FSM,583,11.076927052734526,0.000349321971535036
Gabon,GAB,266,588.5181108615781,0.018559507144130724
United Kingdom,GBR,826,179.50319279893668,0.005660812688107268
Georgia,GEO,268,51.83994476678468,0.0016348244981653217
Ghana,GHA,288,233.7371584447128,0.007371135028712463
Guinea,GIN,324,261.88548294996286,0.008258820590310028
Gambia,GMB,270,5.352717156905512,0.00016880328826017222
Guinea-Bissau,GNB,624,27.887244051529567,0.0008794521284090364
Equatorial Guinea,GNQ,226,64.268707868292,0.0020267779713344564
Greece,GRC,300,188.14736402055397,0.005933415271752189
Grenada,GRD,308,0.5840156620744049,1.8417517919178434e-05
Guatemala,GTM,320,263.1426658817284,0.008298467111246186
Guyana,GUY,328,484.16168147086285,0.015268522786865132
Honduras,HND,340,240.29717100620076,0.007578011584851547
Croatia,HRV,191,62.7625561584344,0.0019792799710123873
Haiti,HTI,332,35.09265847170194,0.0011066820775635924
Hungary,HUN,348,37.25548518741408,0.0011748889808702904
Indonesia,IDN,360,5604.781296930276,0.17675238297999318
India,IND,356,4124.881092457392,0.1300822501317363
Ireland,IRL,372,55.78659243502179,0.001759285979030847
Iran,IRN,364,84.141732163921,0.002653493665521413
Iraq,IRQ,368,41.32303021450492,0.0013031630808446272
Iceland,ISL,352,42.47884161587041,0.001339612749198089
Israel,ISR,376,4.799436163964761,0.0001513550188667927
Italy,ITA,380,96.01737092122805,0.0030280038093718474
Jamaica,JAM,388,15.892462114077048,0.0005011846852295338
Jordan,JOR,400,6.936487480142188,0.00021874906917376404
Japan,JPN,392,767.2083157839672,0.02419468144656319
Kazakhstan,KAZ,398,701.4712457427413,0.022121597205743092
Kenya,KEN,404,1183.611705701458,0.037326378751001185
Kyrgyzstan,KGZ,417,105.54311433008635,0.0033284076535136033
Cambodia,KHM,116,390.40908794688926,0.012311940997493099
Kiribati,KIR,296,10.035804091892564,0.00031648911784192387
Saint Kitts and Nevis,KNA,659,-0.9270611527251951,-2.923580051234175e-05
South Korea,KOR,410,210.32248875115727,0.006632730005256496
Kuwait,KWT,414,-0.21813306858413706,-6.879044450869346e-06
Laos,LAO,418,520.0279830930275,0.016399602474821712
Lebanon,LBN,422,4.5000127378770785,0.00014191240170169153
Liberia,LBR,430,203.4828277346766,0.006417034455440761
Libya,LBY,434,6.105253148050115,0.0001925352632769084
Saint Lucia,LCA,662,5.207873121104321,0.0001642354867471459
Liechtenstein,LIE,438,5.3065944940785055e-27,1.6734876396525974e-31
Sri Lanka,LKA,144,181.1442736437838,0.005712565813630366
Lesotho,LSO,426,17.712268301871212,0.0005585740931678105
Lithuania,LTU,440,81.23571801460172,0.0025618496033084797
Luxembourg,LUX,442,-0.12259151921658992,-3.86604615001438e-06
Latvia,LVA,428,84.01712644999546,0.002649564099727057
Morocco,MAR,504,-94.28678160479681,-0.002973427944688872
Monaco,MCO,492,0.0,0.0
Moldova,MDA,498,11.528530565440072,0.00036356373991171807
Madagascar,MDG,450,591.9274788332174,0.018667024972484344
Maldives,MDV,462,4.262416095875357,0.00013441955399952528
Mexico,MEX,484,2038.1018049673105,0.0642735785214491
Marshall Islands,MHL,584,15.98947272080758,0.0005042440117233878
North Macedonia,MKD,807,33.35984117331896,0.0010520359512417867
Mali,MLI,466,176.37644169955436,0.005562207465437146
Malta,MLT,470,0.0,0.0
Myanmar/Burma,MMR,104,1376.9582151601103,0.04342375427328924
Montenegro,MNE,499,18.517958268834036,0.0005839823319659501
Mongolia,MNG,496,457.076475411145,0.014414363728565869
Mozambique,MOZ,508,764.7506145483209,0.024117175380395848
Mauritania,MRT,478,36.39924122609057,0.0011478864713059922
Mauritius,MUS,480,2.7157143268518418,8.564276701159968e-05
Malawi,MWI,454,128.68942805482567,0.004058349803136982
Malaysia,MYS,458,874.8101838237675,0.02758801395706633
Namibia,NAM,516,90.7641628591593,0.0028623386399264476
Niger,NER,562,111.04778933072352,0.0035020030843336968
Nigeria,NGA,566,711.7288371637637,0.02244508060879645
Nicaragua,NIC,558,289.4169158639522,0.009127051858685595
Niue,NIU,570,0.0,0.0
Netherlands,NLD,528,21.546173294705618,0.0006794801210218364
Norway,NOR,578,289.2617173529396,0.009122157518442305
Nepal,NPL,524,235.06990891828846,0.007413164647647145
