Country,iso,Fc_mean,Fc_std,Fc_skew,Fc_median,Fc_q17,Fc_q83,Fc_min,Fc_max
Aruba,ABW,-0.00023972327433345643,3.517802743022679e-06,0.033292244223022904,-0.000241,-0.000243,-0.000235,-0.000245,-0.000234841900433697
Afghanistan,AFG,-0.0028212803124841165,0.0002662153509328028,-0.07231973681528399,-0.00295252407723201,-0.0031210450198039,-0.0025028136919793,-0.00324455946180832,-0.00247478120738994
Angola,AGO,-0.004453510205969837,0.0004929225884823148,-0.3326885630686819,-0.00428554388895248,-0.00497115023415707,-0.00405441238204539,-0.00539555925858848,-0.0036189238341081003
Anguilla,AIA,-3.68726801262122e-05,2.6036822214434738e-06,0.6591230812665467,-3.8e-05,-3.94914913214303e-05,-3.3e-05,-4e-05,-3.2e-05
Albania,ALB,-0.0013730479899449603,0.00010390407746502112,-1.355875471089803,-0.00133218010232531,-0.00144302407899203,-0.00127641168314593,-0.00163430381071933,-0.0012533138310350201
Andorra,AND,-0.00012332793472173052,9.93290916132862e-06,0.9555401911573081,-0.000127,-0.000132,-0.000111234474,-0.000135,-0.000102
United Arab Emirates,ARE,-0.05899578102794768,0.001759391901644483,-0.17798363320995614,-0.0588991600301383,-0.0614190258419975,-0.0568345849490616,-0.0614463848049493,-0.056612341008371606
Argentina,ARG,-0.05046806297583011,0.002459922742214796,0.6916498219956212,-0.0512688548565162,-0.0519998759584158,-0.04823764874840181,-0.0546132127949192,-0.045004094553348306
Armenia,ARM,-0.0016658709613048771,0.00021125509845987782,-0.671117993718058,-0.0015900070908959202,-0.00197884670056208,-0.00149271925458088,-0.00204883883422811,-0.00142003639553552
Antigua and Barbuda,ATG,-0.00016538963969849372,7.641787157889196e-06,0.3637931444249491,-0.00016800000000000002,-0.00017433022500000002,-0.000155,-0.000175,-0.000152
Australia,AUS,-0.10975982656070674,0.002949024256637928,0.13534424303475032,-0.10894757330761501,-0.113425537523178,-0.106173454555487,-0.113474291053437,-0.104902332638081
Austria,AUT,-0.017983038207907726,0.0006682237704078747,0.511704679291281,-0.0181664007257912,-0.0185442127302592,-0.0169693568505466,-0.0189952184428831,-0.016781962703010203
Azerbaijan,AZE,-0.009709912546670297,0.0006203114811874189,-0.846393633674595,-0.00938228383399815,-0.0104864452535707,-0.00921548436343954,-0.0110083232043441,-0.00893421099771828
Burundi,BDI,-0.00015308166579658267,4.6139986135559096e-05,0.051239587652619045,-0.000176058510638298,-0.000200809424382627,-9.7e-05,-0.00021830363340627303,-9.5e-05
Belgium,BEL,-0.026604672379551816,0.001160462165681712,0.8190450901867655,-0.027206383038840102,-0.0276405625714529,-0.0248985457397821,-0.028046275365976002,-0.0242909545847085
Benin,BEN,-0.001852343230221666,0.00038768163416014255,0.18862389974269902,-0.00194217879464427,-0.0023846632761645903,-0.0013089519650655,-0.00239142174168883,-0.00124617217716781
"Bonaire, Saint Eustatius and Saba",BES,-2.7780684202886637e-05,2.893281927186132e-06,0.47786116844471416,-2.8e-05,-3.1e-05,-2.3e-05,-3.13906725888293e-05,-2.3e-05
Burkina Faso,BFA,-0.0012490779892952999,0.00030666658408945593,0.21203022450713532,-0.0013673771890120201,-0.00164355872122371,-0.000794620003335741,-0.00165680529307624,-0.0007816157699098881
Bangladesh,BGD,-0.023418494408418276,0.004618047866065141,-0.2906147251649951,-0.022526407365921798,-0.029551661588803298,-0.0180072785363768,-0.0312252069599095,-0.0168618129892153
Bulgaria,BGR,-0.012028757098918647,0.0008807871814427716,0.8699362868356607,-0.011893272691048002,-0.0129695785152838,-0.0115358795742358,-0.0131560691157205,-0.010001157789301302
Bahrain,BHR,-0.009264983104491994,0.00074053723691339,-0.2719352070311107,-0.00886856614925414,-0.0101699336860394,-0.00846061206062553,-0.0102145798291861,-0.008410941538066392
The Bahamas,BHS,-0.0006322431789165428,4.522437677286979e-05,0.26492743944709746,-0.000613,-0.000681543556581957,-0.000583,-0.0006850000000000001,-0.000554
Bosnia and Herzegovina,BIH,-0.0056656323489080365,0.000319292672262075,0.5232724180554851,-0.00568553807305947,-0.00602484598211113,-0.0052706838200443605,-0.006046990805048061,-0.00503834348404267
Belarus,BLR,-0.01658461784113492,0.0005517789409907537,-0.36172665495118117,-0.0166316039611922,-0.017371417491370403,-0.016047737845892703,-0.017501516411098098,-0.0158663982241854
Belize,BLZ,-0.00016307968359649308,2.0955002388347964e-05,0.9835586894099185,-0.00016700039403287802,-0.000176128415465315,-0.000128,-0.000193,-0.00012
Bermuda,BMU,-0.00015776227217736125,1.9836653162912382e-05,-0.09608579934635544,-0.000162,-0.000183,-0.000140942611650312,-0.00019,-0.000125
Bolivia,BOL,-0.0056847939284771255,0.0004771722469355573,0.5961672770976791,-0.00578051601186907,-0.00615468892931428,-0.00497714199375351,-0.00619440571307793,-0.00482624809844107
Brazil,BRA,-0.13609695870912517,0.008523026008191251,-0.29209252737323194,-0.13448362445414802,-0.14531058951965098,-0.12920027446096502,-0.15226555676855902,-0.121508758423853
Barbados,BRB,-0.0004257588400404213,5.716513831450915e-05,0.6989715475635654,-0.00045185307959482005,-0.00046225973951679,-0.000337488913950003,-0.000497294013710339,-0.000336667206956389
Brunei,BRN,-0.002439595551503797,0.0004117738687809929,0.17282846341783759,-0.00243803239389046,-0.0029243450525180997,-0.0019500100835424302,-0.00295207800260679,-0.0017841082735309
Bhutan,BTN,-0.00031537120020933734,5.495342160367393e-05,-0.4544138814574267,-0.000288657498696616,-0.000398096424560168,-0.000251370746724891,-0.00040331242895549804,-0.00025060083070685
Botswana,BWA,-0.0017405271785039457,0.0001815497720777125,-0.03968600045481161,-0.00173258750588402,-0.00193158635248148,-0.0015149999999999999,-0.0020481057568321,-0.00147958770292037
Central African Republic,CAF,-5.5843453692444765e-05,1.3295340617919245e-05,0.563560708511522,-6e-05,-6.6531825e-05,-3.4000000000000007e-05,-7.62412294655167e-05,-3.2e-05
Canada,CAN,-0.15303663066358414,0.004488274924083241,0.7318509102518088,-0.15437884293704202,-0.158045536016823,-0.147464964673734,-0.158849611580535,-0.143717693657372
Switzerland,CHE,-0.010227119070555542,0.0007545576949092391,-0.26048805671054875,-0.0100597820142198,-0.010704437336277201,-0.00934176573163717,-0.0117825950498292,-0.00895712025858705
Chile,CHL,-0.022802212550885118,0.0009842189932092514,-0.7027849645951699,-0.022966786106164802,-0.0231935146069902,-0.0218751003887697,-0.025090389217473,-0.0211588996812071
China,CHN,-2.8503764496928023,0.16842168188352338,-0.5925944722179612,-2.8192195458643603,-3.11199898632864,-2.6909437891174197,-3.14165853116649,-2.66366657188286
Ivory Coast,CIV,-0.002937116254524659,0.00026232692215751567,0.08537197724840151,-0.00298218208229524,-0.0032370386291474297,-0.00260004185858235,-0.0032396764020483602,-0.0025670407361038203
Cameroon,CMR,-0.0021027407252349668,0.00017245691476484577,0.617403157155839,-0.00213325669921065,-0.0022281883273512003,-0.00193394436883196,-0.00240446947496261,-0.00171615432815649
Democratic Republic of the Congo,COD,-0.0009210305161608052,0.000193918844836521,-0.22130369706035244,-0.000892957303763242,-0.0011740050429961799,-0.0007506860085705321,-0.0012687137483154301,-0.000590591630110755
Republic of the Congo,COG,-0.00103854602658128,0.0001478545746215482,-0.5591708394827115,-0.0009890441851435011,-0.00125453490166121,-0.0008762911195904521,-0.00131013835401462,-0.0008473531171373681
Cook Islands,COK,-2.0893808512321642e-05,1.8493654552915616e-06,0.441238142815576,-2.2e-05,-2.3e-05,-1.83783848055795e-05,-2.3e-05,-1.8e-05
Colombia,COL,-0.02539390122460189,0.0012395830151069797,0.19423448618479797,-0.0256619996125905,-0.026904335267965204,-0.023592768128442198,-0.0271939480393118,-0.023490192022335703
Comoros,COM,-8.08825937305013e-05,3.104933561505803e-05,-0.541522875237481,-8e-05,-0.00012677816098304701,-4.9000000000000005e-05,-0.00013676922,-4.4e-05
Cabo Verde,CPV,-0.00014236141864462017,8.160119968322892e-06,-0.40841030179435944,-0.00014099999999999998,-0.000153,-0.000134,-0.000156251363968265,-0.000133
Costa Rica,CRI,-0.0021000207866156057,9.892152223410357e-05,1.5606722608507537,-0.0021333737626768098,-0.0021867837664924,-0.00202129404954316,-0.0021913231772355403,-0.00184584613509747
Cuba,CUB,-0.006811804292939291,0.0007698745055780799,-0.24194299837526884,-0.0063063552435465905,-0.00766642844539533,-0.00610944154098995,-0.00800075193471864,-0.00579869405690099
Curaçao,CUW,-0.001174883248774939,0.0005793733539275414,0.025305976901694772,-0.001177,-0.001855,-0.0004930000000000001,-0.002,-0.000480892747857133
Cyprus,CYP,-0.001949922633657209,6.96334808184875e-05,0.7054924408805109,-0.0019643896102565298,-0.00201282045825213,-0.0018974056352515502,-0.00204832733326303,-0.0017969036746382301
Czechia,CZE,-0.027861421985683397,0.001482107953776133,0.7275748674489825,-0.0284514301981731,-0.029127316580567202,-0.025957358422594598,-0.0294066156747678,-0.0250201324880579
Germany,DEU,-0.20394774757289486,0.016803619486108787,0.3282431122145119,-0.20743622259726002,-0.218571095412219,-0.183261879844823,-0.227004048325592,-0.17695328915306002
Djibouti,DJI,-0.00011707566980601141,1.3627262696341061e-05,-1.407755237661845,-0.000115306839062748,-0.000123976115763265,-0.000104381639703667,-0.00015193511290773003,-0.00010374838817282
Dominica,DMA,-4.46414072826697e-05,1.9249105209978773e-06,-0.49055559669711624,-4.4e-05,-4.7000000000000004e-05,-4.2999999999999995e-05,-4.8e-05,-4.2000000000000004e-05
Denmark,DNK,-0.00921591094037523,0.0011431621255740966,-0.24598357891931644,-0.00944369684803916,-0.010252410006581,-0.00775969805592334,-0.0113961083387104,-0.0077221729940526495
Dominican Republic,DOM,-0.006622485829422776,0.0005206409205214969,-0.45284010933012697,-0.00669720116849912,-0.0070295416806371,-0.00594994846287973,-0.0077441847597635,-0.0058043014239324495
Algeria,DZA,-0.04089487117808423,0.0035778116691092677,0.22731143616703434,-0.0415895969224604,-0.044919125659250804,-0.0368303257179005,-0.0464306801732084,-0.034227128161391694
Ecuador,ECU,-0.010233154464762197,0.0007317770222237558,1.005223596594029,-0.010185843724328,-0.010723278626963999,-0.00984630036094971,-0.0114208029128565,-0.00845062854105959
Egypt,EGY,-0.06505088599086514,0.005405609127359308,-0.12827426884806847,-0.0638995351185238,-0.070616874622588,-0.0598178762753803,-0.0743606947196031,-0.0564829796672018
Eritrea,ERI,-0.00016531917690731793,1.3068350853072543e-05,-0.4688632761948158,-0.00017003622977774998,-0.00017688031579925502,-0.00015203622977775,-0.00019084354219327902,-0.00015129515726939599
Spain,ESP,-0.06832724712200978,0.005165231298830807,0.6506372021413497,-0.0687613939776549,-0.07389198723974541,-0.06251893479669711,-0.0746669868504205,-0.0578173055284373
Estonia,EST,-0.004134011216867721,0.0010064391150653065,0.3491677652571861,-0.00430666572931472,-0.005126624638429411,-0.0028359021507996397,-0.00535857642154222,-0.00251043966427487
Ethiopia,ETH,-0.004149110479735343,0.0007602184921815869,0.507700393010128,-0.004361692013436821,-0.00488676631656167,-0.00327962505730287,-0.005185420413319651,-0.00266949480994503
Finland,FIN,-0.01188185584061136,0.001291698745605742,0.07987332731249887,-0.012061135371179001,-0.0129972707423581,-0.0102893013100437,-0.0141154475982533,-0.00992549126637555
Fiji,FJI,-0.00032506670218070783,3.241169654440647e-05,0.008901505241602192,-0.000321,-0.0003699609375,-0.000283,-0.000370961038961039,-0.00027400000000000005
France,FRA,-0.08742909095986852,0.00590562232433493,0.2197604577287457,-0.08786555141080829,-0.0920035153087737,-0.0800884818331646,-0.0978992953992555,-0.0765529190785552
Faroe Islands,FRO,-0.00019176777743254737,2.0107944328719417e-05,0.015981522593404143,-0.00019800000000000002,-0.0002155125825,-0.00016600000000000002,-0.00022346725731085202,-0.000163
Micronesia (Federated States of),FSM,-3.895216217865789e-05,1.131261445703225e-06,0.502359263278178,-3.9e-05,-4e-05,-3.7e-05,-4.06781068229331e-05,-3.7e-05
Gabon,GAB,-0.000883249419764012,8.381287223930847e-05,0.06495793423327029,-0.00086568917033177,-0.000980456518496002,-0.000801116181745666,-0.00101372430554348,-0.000733856482075296
United Kingdom,GBR,-0.10512706183150876,0.013269163858538704,-0.29734822977019265,-0.10363803358830001,-0.119761757931342,-0.089045632967835,-0.13035242021847002,-0.085653596906008
Georgia,GEO,-0.0027613621070929845,0.0002712620263680051,0.6367655792372322,-0.00274641199793812,-0.0030229511153314704,-0.0024384285484869103,-0.0031675411522611202,-0.00218594471416192
Ghana,GHA,-0.0042144648891500845,0.0007564615618712995,-0.40079484185330455,-0.0040509854272889004,-0.00532335982474424,-0.00339695634157844,-0.0053932158474712805,-0.00322889728086885
Guinea,GIN,-0.0008955345641001623,0.00023410738700748766,-0.03323716835325104,-0.000863,-0.00118032615347638,-0.0005909999999999999,-0.001228,-0.000576
Gambia,GMB,-0.00017059936619289554,2.7361470866470643e-05,0.5093000247606475,-0.000177,-0.00019909017000000002,-0.00013800000000000002,-0.000207317856216522,-0.00011600000000000001
Guinea-Bissau,GNB,-8.04080624079475e-05,6.507215228650905e-06,0.8978864201019651,-8.300000000000001e-05,-8.65578359076596e-05,-7.099999999999999e-05,-8.8e-05,-6.7e-05
Equatorial Guinea,GNQ,-0.001581690904902104,0.00026581902619221597,0.09414968552104569,-0.00147116886017626,-0.00189034694956883,-0.00128622186070086,-0.0019891567765073703,-0.00112014582275364
Greece,GRC,-0.018818220049520808,0.00240911108952694,0.26894885063415225,-0.0194758738133323,-0.0214617078427878,-0.0156984723907205,-0.0223016538946484,-0.015163256926666601
Grenada,GRD,-7.953122724750384e-05,8.044990716047895e-06,0.4001512860355684,-8.300000000000001e-05,-8.9863864446146e-05,-7.099999999999999e-05,-8.999999999999999e-05,-6.4e-05
Greenland,GRL,-0.00014937721460252194,5.419505655813843e-06,-0.5385001012175715,-0.000148648717248908,-0.000154671233624454,-0.000143480349344978,-0.00016038022449544302,-0.000142634170305677
Guatemala,GTM,-0.004641552898712332,0.000591576198167535,0.6914845814116222,-0.00470079328618307,-0.005277542533406011,-0.00376234217382792,-0.00529081910730923,-0.00348898534043
Guyana,GUY,-0.0006904335611961356,0.00013826696074908633,-0.5396304928059988,-0.000683123938357839,-0.000914898768192775,-0.000538215238723697,-0.000932588313310457,-0.0005200000000000001
Hong Kong S.A.R.,HKG,-0.01094537799896829,0.0013273332897109599,0.768386294851453,-0.0115720313532092,-0.012092492086169101,-0.0091422277607028,-0.0124158716773184,-0.00858645462773663
