Country,iso,Fc_mean,Fc_std,Fc_skew,Fc_median,Fc_q17,Fc_q83,Fc_min,Fc_max
Aruba,ABW,-0.0002397301059533697,3.7180508252300248e-06,0.033489244705798345,-0.0002395,-0.000243,-0.00023577335432300002,-0.000245,-0.000234841900433697
Afghanistan,AFG,-0.002820021169116525,0.00027967976371226245,-0.08284599727876275,-0.00282287352879068,-0.003069854913552785,-0.002514414766016297,-0.00324455946180832,-0.00247478120738994
Angola,AGO,-0.004457126746684716,0.0005198193590782394,-0.32717010233791083,-0.004351890611097385,-0.00496487649458849,-0.00411358756046606,-0.00539555925858848,-0.0036189238341081003
Anguilla,AIA,-3.685337168111426e-05,2.750328552841479e-06,0.6441661560272707,-3.8e-05,-3.9231000921072244e-05,-3.406e-05,-4e-05,-3.2e-05
Albania,ALB,-0.0013738480371962391,0.00010979284496780788,-1.3427369835417744,-0.001342300079255695,-0.0014394186622157248,-0.0012974875876929253,-0.00163430381071933,-0.0012533138310350201
Andorra,AND,-0.00012335746668316422,1.0418052833729329e-05,0.9640304637643934,-0.000127,-0.00013094000000000002,-0.00011341050498077027,-0.000135,-0.000102
United Arab Emirates,ARE,-0.05898735792730155,0.0018523722803241724,-0.187054841946165,-0.058868954493996206,-0.06125187289752418,-0.05723440820352423,-0.0614463848049493,-0.056612341008371606
Argentina,ARG,-0.05048134715909393,0.002580265052678113,0.6992383841288754,-0.0511543043555489,-0.051790494372519896,-0.04859915395904984,-0.0546132127949192,-0.045004094553348306
Armenia,ARM,-0.001665242057802542,0.00022241264830497626,-0.682513603643064,-0.0015597569109310951,-0.001913035333737795,-0.001502220003801485,-0.00204883883422811,-0.00142003639553552
Antigua and Barbuda,ATG,-0.0001653468121192552,8.06966656705326e-06,0.3541620116741765,-0.0001665,-0.00017369829073205257,-0.00015712000000000001,-0.000175,-0.000152
Australia,AUS,-0.10975505897688512,0.0031071278979337394,0.1314067305013442,-0.109263173058857,-0.11316900274324238,-0.10671001456574326,-0.113474291053437,-0.104902332638081
Austria,AUT,-0.017986785492697898,0.0007051948078400464,0.5092613389611352,-0.0181385307401714,-0.018518288901786317,-0.01725722665695953,-0.0189952184428831,-0.016781962703010203
Azerbaijan,AZE,-0.009707946937085637,0.0006541109507407749,-0.8505958815912831,-0.009374943859645109,-0.010326930704474246,-0.00927918127357917,-0.0110083232043441,-0.00893421099771828
Burundi,BDI,-0.00015280523171050302,4.866084755590624e-05,0.04085703784524911,-0.000158029255319149,-0.00019925722625908565,-9.753000000000001e-05,-0.00021830363340627303,-9.5e-05
Belgium,BEL,-0.026609250746868714,0.0012214439066874424,0.8252042722338322,-0.0271392223754304,-0.027479067888336036,-0.02542765264003275,-0.028046275365976002,-0.0242909545847085
