Country,iso,Fc_mean,Fc_std,Fc_skew,Fc_median,Fc_q17,Fc_q83,Fc_min,Fc_max
Afghanistan,AFG,-0.0028206961975728085,0.00026519687181611755,-0.0817627454427628,-0.00269322298034935,-0.0031210450198039,-0.0025028136919793,-0.00324455946180832,-0.00247478120738994
Angola,AGO,-0.004454293102808647,0.0004921890246477231,-0.33156946973113943,-0.00428554388895248,-0.00497115023415707,-0.00405441238204539,-0.00539555925858848,-0.0036189238341081003
Albania,ALB,-0.0013737136477831166,0.0001039083321955632,-1.34442677531961,-0.0013524200561860799,-0.00144302407899203,-0.00127641168314593,-0.00163430381071933,-0.0012533138310350201
Andorra,AND,-0.00012332675533908538,9.88833042519181e-06,0.9616162549737264,-0.000127,-0.000132,-0.000111234474,-0.000135,-0.000102
United Arab Emirates,ARE,-0.0589917250335741,0.0017551564915692826,-0.18511759264945304,-0.0588991600301383,-0.0614190258419975,-0.0568345849490616,-0.0614463848049493,-0.056612341008371606
Argentina,ARG,-0.05047948474919982,0.002451974455805258,0.6986080751792323,-0.0510397538545816,-0.0519998759584158,-0.04823764874840181,-0.0546132127949192,-0.045004094553348306
Armenia,ARM,-0.0016655483065994765,0.00021110043232411445,-0.6787214547518393,-0.00152950673096627,-0.00197884670056208,-0.00149271925458088,-0.00204883883422811,-0.00142003639553552
Antigua and Barbuda,ATG,-0.000165377992109151,7.63553374893343e-06,0.35811843007995514,-0.000165,-0.00017433022500000002,-0.000155,-0.000175,-0.000152
Australia,AUS,-0.10976008182184385,0.002949639228343537,0.13590992705779217,-0.10957877281009899,-0.113425537523178,-0.106173454555487,-0.113474291053437,-0.104902332638081
Austria,AUT,-0.017987698815653128,0.0006711678104728632,0.5044503998861422,-0.0181106607545516,-0.0185442127302592,-0.0169693568505466,-0.0189952184428831,-0.016781962703010203
Azerbaijan,AZE,-0.009709768268119836,0.0006201830675698513,-0.8493943375122527,-0.00938228383399815,-0.0104864452535707,-0.00921548436343954,-0.0110083232043441,-0.00893421099771828
Burundi,BDI,-0.00015292290096460107,4.611216285768677e-05,0.043948679103959075,-0.00014000000000000001,-0.000200809424382627,-9.7e-05,-0.00021830363340627303,-9.5e-05
Belgium,BEL,-0.026605902857368614,0.0011588371078990862,0.8235754732170267,-0.0270720617120207,-0.0276405625714529,-0.0248985457397821,-0.028046275365976002,-0.0242909545847085
Benin,BEN,-0.0018514281979794091,0.0003876037938587106,0.18186785553816956,-0.0018570281234325202,-0.0023846632761645903,-0.0013089519650655,-0.00239142174168883,-0.00124617217716781
Burkina Faso,BFA,-0.0012488420849800215,0.00030636216127358527,0.20882868233651133,-0.0012333622977775001,-0.00164355872122371,-0.000794620003335741,-0.00165680529307624,-0.0007816157699098881
Bangladesh,BGD,-0.023415892209346995,0.004615928195479879,-0.29427871651283605,-0.0220331899106151,-0.029551661588803298,-0.0180072785363768,-0.0312252069599095,-0.0168618129892153
Bulgaria,BGR,-0.01203821793549148,0.0008820467818613281,0.8738870261544675,-0.012350298736353701,-0.0129695785152838,-0.0115358795742358,-0.0131560691157205,-0.010001157789301302
Bahrain,BHR,-0.009264775386536741,0.0007391411518279244,-0.27526920823539236,-0.008894097918870261,-0.0101699336860394,-0.00846061206062553,-0.0102145798291861,-0.008410941538066392
Bahamas,BHS,-0.0006326000221110862,4.528353236583075e-05,0.2745051433480613,-0.000661,-0.000681543556581957,-0.000583,-0.0006850000000000001,-0.000554
Bosnia and Herzegovina,BIH,-0.005664334486363078,0.00032085895664741974,0.5157147236140901,-0.005679688152550441,-0.00602484598211113,-0.0052706838200443605,-0.006046990805048061,-0.00503834348404267
Belarus,BLR,-0.01658261725932615,0.0005504780674471563,-0.37544854386589205,-0.0162075226875098,-0.017371417491370403,-0.016047737845892703,-0.017501516411098098,-0.0158663982241854
Belize,BLZ,-0.00016311685471650844,2.0928273381656665e-05,0.9872223901297291,-0.00016800000000000002,-0.000176128415465315,-0.000128,-0.000193,-0.00012
Bolivia,BOL,-0.005686032366494787,0.0004763009222005287,0.599514650989923,-0.0059437178181447,-0.00615468892931428,-0.00497714199375351,-0.00619440571307793,-0.00482624809844107
Brazil,BRA,-0.1361469406585845,0.008511007856237726,-0.28464198220917863,-0.135921634633926,-0.14531058951965098,-0.12920027446096502,-0.15226555676855902,-0.121508758423853
Barbados,BRB,-0.0004258105882378208,5.7052636973203995e-05,0.7035883519236913,-0.00045185307959482005,-0.00046225973951679,-0.000337488913950003,-0.000497294013710339,-0.000336667206956389
Brunei,BRN,-0.002439275843434147,0.0004113567473795134,0.1749354439841941,-0.00238815277084081,-0.0029243450525180997,-0.0019500100835424302,-0.00295207800260679,-0.0017841082735309
Bhutan,BTN,-0.00031536773337226053,5.480464197999341e-05,-0.4533050016184797,-0.000288657498696616,-0.000398096424560168,-0.000251370746724891,-0.00040331242895549804,-0.00025060083070685
Botswana,BWA,-0.0017406826112348198,0.0001815558671996286,-0.027769945370856395,-0.00179374572923658,-0.00193158635248148,-0.0015149999999999999,-0.0020481057568321,-0.00147958770292037
Central African Republic,CAF,-5.584566540309667e-05,1.3283772106078339e-05,0.5624153686306959,-5.9e-05,-6.6531825e-05,-3.4000000000000007e-05,-7.62412294655167e-05,-3.2e-05
Canada,CAN,-0.15304882697150524,0.004472851585018119,0.7407815426298616,-0.15437884293704202,-0.158045536016823,-0.147464964673734,-0.158849611580535,-0.143717693657372
Switzerland,CHE,-0.010227655579585784,0.0007526342431729837,-0.2546008609971915,-0.0104161565674043,-0.010704437336277201,-0.00934176573163717,-0.0117825950498292,-0.00895712025858705
Chile,CHL,-0.022801550950046694,0.0009836481514468075,-0.7033311416608325,-0.0229477335153205,-0.0231935146069902,-0.0218751003887697,-0.025090389217473,-0.0211588996812071
China,CHN,-2.861322996891581,0.16714949480707372,-0.5982946663315413,-2.7423027843433103,-3.120880957597013,-2.702998820470629,-3.1511705663948817,-2.675988211269322
Ivory Coast,CIV,-0.002937680485519993,0.0002630825179795414,0.09064336985459041,-0.00298218208229524,-0.0032370386291474297,-0.00260004185858235,-0.0032396764020483602,-0.0025670407361038203
Cameroon,CMR,-0.00210270023066493,0.0001721101920303274,0.6117849206436761,-0.00213325669921065,-0.0022281883273512003,-0.00193394436883196,-0.00240446947496261,-0.00171615432815649
Democratic Republic of the Congo,COD,-0.000921185625040619,0.00019355666982175958,-0.23322930415411358,-0.000877418866662097,-0.0011740050429961799,-0.0007506860085705321,-0.0012687137483154301,-0.000590591630110755
Congo,COG,-0.0010382438697604565,0.00014793882076466196,-0.5639987326439339,-0.0009890441851435011,-0.00125453490166121,-0.0008762911195904521,-0.00131013835401462,-0.0008473531171373681
Cook Islands,COK,-2.090339126983521e-05,1.8467472155446897e-06,0.45443140625452827,-2.2e-05,-2.3e-05,-1.83783848055795e-05,-2.3e-05,-1.8e-05
Colombia,COL,-0.02539558218844363,0.0012321795795069807,0.19444091849826356,-0.0255173264869121,-0.026904335267965204,-0.023592768128442198,-0.0271939480393118,-0.023490192022335703
Comoros,COM,-8.083923376498978e-05,3.104872239393736e-05,-0.5447045175033856,-7.3e-05,-0.00012677816098304701,-4.9000000000000005e-05,-0.00013676922,-4.4e-05
Cape Verde,CPV,-0.00014234127126737728,8.156531794471792e-06,-0.4158564521250668,-0.00013900000000000002,-0.000153,-0.000134,-0.000156251363968265,-0.000133
Costa Rica,CRI,-0.002100303798006036,9.872119909767943e-05,1.558294831920131,-0.0021333737626768098,-0.0021867837664924,-0.00202129404954316,-0.0021913231772355403,-0.00184584613509747
Cuba,CUB,-0.006813494258109956,0.0007687002202385195,-0.24202941514067838,-0.00680681348701125,-0.00766642844539533,-0.00610944154098995,-0.00800075193471864,-0.00579869405690099
