Country,iso,Fab_mean,Fab_std,Fab_skew,Fab_median,Fab_q17,Fab_q83,Fab_min,Fab_max
Afghanistan,AFG,0.003044203466674541,0.010639804120184199,0.07644891716814232,0.002019813093485236,-0.004750476094761239,0.01171600794645369,-0.035833403885240554,0.03392639150068283
Angola,AGO,0.02839779032230022,0.040202350625878236,-0.6733614054853586,0.031245977308893204,-0.006590728775005342,0.06487343341421127,-0.17561785008975983,0.1524135731534195
Albania,ALB,0.000954584614987942,0.0024466823266277487,0.061365567271236814,0.0009101252733771503,-0.000906948181209215,0.00294364517624259,-0.006602045987529755,0.009311629424548148
United Arab Emirates,ARE,0.00017971578584521252,0.0005409060611596134,1.9846479062488875,4.769605263525969e-05,-2.8706465090604954e-05,0.0003825130920492555,-0.001874129352156222,0.004179217857640386
Argentina,ARG,0.032534316435480215,0.1421622554832289,-0.42580885774594396,0.03986906430669784,-0.07737211418376923,0.15025729115242004,-0.5201161308377839,0.5548689409663391
Armenia,ARM,-2.3722588261179932e-05,0.002012410312162864,0.00884307655179676,-1.8694211190491914e-05,-0.001841464354169768,0.0015845700851084801,-0.007753818490934372,0.007071166769979
Australia,AUS,0.021154706296158964,0.2703239549679078,0.1131417149406094,0.010580632285128832,-0.23697725048459853,0.23724578438858032,-0.7159882869068909,0.8287975650892639
Austria,AUT,0.003779290480287429,0.004914128972407835,-0.20387978934050818,0.0037473630333566665,1.5693741047233343e-05,0.007768406478784085,-0.01887208336048126,0.026529766676211358
Azerbaijan,AZE,-0.00015169624493440218,0.003914211692288433,-0.13282847046168286,-3.0010041606910536e-05,-0.0038296796435701606,0.0034048623379693273,-0.012119362790672779,0.010349578201079368
Burundi,BDI,0.0008588977416175437,0.001992370243802824,-0.6677221648543773,0.0009265435115262865,-0.00090695,0.0026853183058726787,-0.008978696382038593,0.005918970441337824
Belgium,BEL,-0.00015509131720517702,0.002294043501662304,-0.25636857846025046,-5.123240619227289e-05,-0.0018105424832709188,0.0015282188098025323,-0.00934752000667572,0.008960481223006248
Benin,BEN,-0.0016737115588503911,0.007813946059661457,-0.5917254027557529,-0.0014775275906942784,-0.006432136405573785,0.0034630144724751713,-0.04962706920298576,0.03926853895608902
Burkina Faso,BFA,-0.0013926348968433973,0.011809381903898618,-0.45715601173726866,-0.002281811366518736,-0.00958220276770234,0.007714286580693721,-0.06087024503943443,0.03947412977778435
Bangladesh,BGD,0.005483757158664395,0.008979237333194749,0.12456810338778479,0.005395661813024283,-0.001729401809117302,0.0129460300204237,-0.03453162310887813,0.04722865473388672
Bulgaria,BGR,0.004542472773210044,0.00820036480127629,1.3859438926675676,0.0041425566193062065,-0.0011235823115435242,0.009058244832856655,-0.03010203102194786,0.05284280669284821
The Bahamas,BHS,0.0001932568688647094,0.0006017278465572101,1.1487304566698318,1.262e-05,-2.9028483867952583e-05,0.0006344180320559443,-0.0017687524091866613,0.0028116489963781834
Bosnia and Herzegovina,BIH,0.0017043475734786996,0.005230691801863901,-0.5748165525388882,0.002499488217805028,-0.0031003026288437844,0.006186304490352869,-0.01648530549759865,0.019407077526168822
Belarus,BLR,0.004989994800337839,0.01402916834354472,-0.9080242688184171,0.005633482107768059,-0.005035800346206426,0.01607450924313421,-0.0609938483436203,0.03817567272137642
Belize,BLZ,-0.0005378919938002489,0.0019062422644919952,0.8829799047874207,-0.0007723160122117402,-0.002151524360962436,0.0010409458666949096,-0.005823195800837278,0.009045012663280963
Bolivia,BOL,0.013785961058832157,0.06895367555242725,-0.022602310158678248,0.016623759161834714,-0.05140642949418068,0.07372852251844406,-0.21436736309009552,0.20414071111515045
Brazil,BRA,-0.0263174316216497,0.3736789102951981,-0.21780001415481964,-0.008981554958763127,-0.4033929337056255,0.35004561110879057,-1.1196979367460633,0.9702156403045654
Brunei,BRN,0.0005308863599780975,0.0011016877499602379,1.859470728371112,0.00011209169857516888,-0.00023686,0.001309261809298098,-0.0011988444586233794,0.005473795208923817
Bhutan,BTN,0.001116415633606698,0.0022902580520554115,-0.19792248071108193,0.0010362857601514458,-0.0009657905326446026,0.0031755747776337087,-0.010908493943457604,0.00828890748663187
Botswana,BWA,0.004410370079922254,0.022212601079332785,1.1273452688107628,0.0007079584352827072,-0.01169063668792095,0.022599233107061387,-0.06539534333683014,0.11213011470964432
Central African Republic,CAF,0.027881668315522575,0.026144640940265258,-0.8429581832572729,0.028996936497097014,0.005559539706920995,0.048851855828836346,-0.12807413024074554,0.10429511189186096
Canada,CAN,0.18443164068774903,0.13177342220918545,0.012591409646101713,0.18891302748184205,0.05783374747328778,0.2999659012673187,-0.18511156463256837,0.6532624125343323
Switzerland,CHE,0.0012821317432922079,0.002316654743560009,-0.9220328406869274,0.001141680080369413,-4.3310692371670146e-05,0.0028628051357988244,-0.012145077999794484,0.010780260446658134
Chile,CHL,0.008799862176131204,0.017237348053097196,-0.092474440791608,0.00871742348915577,-0.005611262962011636,0.02420618182450066,-0.03932997897727013,0.05750129571663856
China,CHN,0.29054415580685966,0.13730508757781654,0.1376237730527,0.2914067130610657,0.17363872535541536,0.4068138762609749,-0.14313707546894072,0.8163492877845764
Ivory Coast,CIV,-0.01177720228283782,0.033066205642794146,-1.1753115657117936,-0.007334099389743805,-0.03689892996783392,0.01567288948433876,-0.214647334678421,0.08971193017534256
Cameroon,CMR,0.016584218970859117,0.016683357658683312,-0.0836321801032707,0.01794037996192932,0.0011614138156986233,0.031208525028905868,-0.042117765095839504,0.07771943712429047
Democratic Republic of the Congo,COD,0.03637244201660796,0.08466375920389804,-0.26177598397401614,0.03736873342380524,-0.03701750023166275,0.11441946332087707,-0.3287111920211792,0.2866283869415283
Republic of the Congo,COG,0.019626332147396612,0.0158614254965275,0.3628059817767517,0.01910675998734474,0.0060653146929022074,0.03340694305020142,-0.02044449981721163,0.08633447476776122
Cook Islands,COK,4.4505664204997485e-06,5.044566611956202e-06,0.9330652301570093,4.59e-06,0.0,1.082e-05,-5.501082682712877e-07,3.12241711563617e-05
Colombia,COL,0.03972709025754918,0.06630809925948024,-0.05670691802219098,0.041934946259222027,-0.02120729321254611,0.10387243564098358,-0.17590908542453765,0.26796469413734436
Comoros,COM,-2.7750935420276387e-06,6.820596178875044e-05,-0.009375780972556338,-1.5245561871165413e-06,-7.46e-06,0.0,-0.00033051751656763253,0.00037285496364347637
Cabo Verde,CPV,1.0995715439546289e-05,4.330400143082169e-05,4.000750429143653,0.0,-2.25e-06,5.286241275825887e-07,-3.476006929342635e-05,0.0002909078426709026
Costa Rica,CRI,0.0034937910852560193,0.003802674079423325,0.469214288495021,0.0030566760005009174,0.0002369092879478904,0.006439336147200871,-0.010461997110742331,0.015239180886354446
Cuba,CUB,0.0048471941667661165,0.012667855521211809,-1.7671398851983722,0.005138246459326446,-0.0014678903471760129,0.011616620746926834,-0.09022266824094773,0.06165607518523216
Cyprus,CYP,0.00016337401260161036,0.0003535435979240232,0.15714397261631896,0.00013357832551613916,-8.135793324624366e-05,0.00041423659607082606,-0.0014556371945151686,0.0018625727443814279
Czechia,CZE,0.0033732135367079037,0.007988372872737256,-0.46480354761382436,0.003460660779927671,-0.0029554199756195777,0.009707456968216495,-0.042249378587083816,0.03901272071030617
Germany,DEU,0.007335847854616472,0.028447979837636733,-0.5651615597266904,0.008618120950098038,-0.011146454448945808,0.03008790308924198,-0.13154470147743225,0.14615082247978212
Djibouti,DJI,1.0560076823710844e-05,0.0003393884580871047,-0.0097402667609337,-7.654841524617078e-06,-0.00017957842868226317,0.00016021706928946077,-0.0020017270575761795,0.0014261922895997762
Denmark,DNK,0.0005008395791101497,0.005084057064298194,-0.8805587023044907,0.0006412203851342945,-0.0018367540186586448,0.003080839582606554,-0.026160273457889557,0.020970838822484017
Dominican Republic,DOM,0.002084181878544712,0.006799207523343957,1.4674199093136187,0.001751684215863645,-0.0021277238230848314,0.005829579900909114,-0.036853740527334214,0.04996695852205277
Algeria,DZA,-0.0026520521872185764,0.02189545714196949,0.45229747362668216,-0.002359066573497355,-0.016679592612190246,0.011544648887605456,-0.10524284573072433,0.1253448145799637
Ecuador,ECU,0.010685745638076095,0.012658119506827699,-0.1340042071193863,0.010814996131362914,-0.001158025092330575,0.022585084291137696,-0.03502200349584103,0.05146613326942444
Egypt,EGY,-0.00023502900969752196,0.007527063874951963,6.027769140354396,-0.00030123974308156874,-0.0019321474365787954,0.0008042660212191615,-0.04053607548916817,0.08811025812597274
Eritrea,ERI,0.001298506965970506,0.0026421212741809955,0.9520816749921195,0.0006162870178876072,-0.0007679639446169784,0.0035922454320812224,-0.006232194132974147,0.011485029834144116
Spain,ESP,0.010781323804788781,0.02441624441700538,-0.6986007657933951,0.011638758786098958,-0.008231556456775665,0.03302948591309357,-0.09214960336177826,0.07041836347223282
Estonia,EST,0.001641442442701079,0.0031004350945733924,0.6660464751950594,0.0016465807702347637,-0.0009848697434702517,0.003912067534699583,-0.010146964230663776,0.01725238439963341
Ethiopia,ETH,0.034082829773819386,0.046263191456211814,0.1544762139763065,0.03224419518671989,-0.009316849334793098,0.07804173495975704,-0.1426596623544693,0.20961910660869598
Finland,FIN,0.0037696054868654647,0.013013371462090641,-0.9147315223255961,0.00475958493828535,-0.0077883202683794485,0.016057583043867396,-0.07919973909646988,0.04268472232334137
Fiji,FJI,0.0005633380684101075,0.0021891893703147357,-0.8587148237478869,0.0003801163462563604,-4.703e-05,0.0018012056109586358,-0.010203844842495919,0.01046053441374302
France,FRA,0.020134664008347715,0.03936925363002938,0.015539921023518751,0.02262585660703182,-0.010220137620635034,0.04964314845662575,-0.10094145235597611,0.1992808999528885
Gabon,GAB,0.016620712436752286,0.012113960450318538,0.457591996631474,0.015705520854575633,0.006572037358929635,0.02657125692952633,-0.022112824133377076,0.06397187549818038
United Kingdom,GBR,0.0012994847653444975,0.01033275198462307,-0.5949282711800351,0.0014963420769248902,-0.006801601026416763,0.008776042357190417,-0.057290329283809664,0.04003514246673584
Georgia,GEO,0.003214113470983454,0.0035321803844688255,-0.18063405335415858,0.003437476578320861,0.00018997580492440818,0.006294700753848529,-0.007770434926431179,0.01738628643838644
Ghana,GHA,0.004725485199813404,0.016029351276910676,-1.1473821348987594,0.005441641827841997,-0.007495400057169199,0.018450116996693612,-0.08555766552324295,0.05103740908685684
Guinea,GIN,0.0030810733275047015,0.009371755048731521,0.21645248775144135,0.0031319819753646847,-0.004967974563334794,0.011138835730810166,-0.028702734219470026,0.040231799264259335
