Country,iso,Fab_mf_mean,Fab_mf_std,Fab_mf_skew,Fab_mf_median,Fab_mf_q17,Fab_mf_q83,Fab_mf_min,Fab_mf_max
Afghanistan,AFG,-0.0007030284614303395,0.0009150637026789179,-1.6922563467879221,-0.0005472073348556459,-0.001288606819647131,3.3090758542759404e-05,-0.004856584370477945,0.0013241150804620982
Angola,AGO,0.01625540329988779,0.028446790759706554,-0.20233426961554102,0.016626333402364253,-0.0085614002948761,0.041885282198134234,-0.11519769382417679,0.11934415627281189
Albania,ALB,0.0005197685033506415,0.001325052438566718,-0.1957319441090698,0.0005538431156209111,-0.0005382515377094105,0.0016370181256845594,-0.005316694174690247,0.005330399575388432
United Arab Emirates,ARE,0.00010516704000000001,0.00013656116077209342,1.1621796665903528,3.597e-05,1.6930000000000002e-05,0.00033552,6.910000000000001e-06,0.00038309
Argentina,ARG,-0.012426046229506485,0.04897404600543579,-0.5415990700608762,-0.007737926124061345,-0.056902265037355425,0.0317606160058558,-0.2188425400931549,0.12225433161621094
Armenia,ARM,-0.000150462142,0.00015891314438981385,-0.9150110459103525,-7.899e-05,-0.00038546,-1.754e-05,-0.0004942,-2.19e-06
Australia,AUS,0.0020422194483435937,0.0372971000881463,0.1432273436686911,0.0005993616155305504,-0.02820813795707226,0.03220108509450465,-0.13233408438604355,0.12614315866092682
Austria,AUT,0.0035338363557463133,0.0040452305238184265,-0.2574528209728401,0.003558934814487919,0.0003932553380701777,0.006758753441227674,-0.014653423892359733,0.020168476837682723
Azerbaijan,AZE,-0.0006353220143601229,0.00113625533206855,0.5865891523924632,-0.0006492118324457202,-0.0015855851959782927,0.00022403372109146806,-0.005185902080102563,0.005111332028412819
Burundi,BDI,0.0002853111013496526,0.0015056889148180486,-0.7947040138503028,0.00035104612288907173,-0.0009904520468415115,0.0016145498488058746,-0.0088081701568532,0.0048123366764473915
Belgium,BEL,-0.00033498088425780963,0.001291337359335708,-0.6975065594584748,-0.00033886164281502363,-0.0010574346552413819,0.0005731853548475355,-0.006989089941461087,0.005917249668676853
Benin,BEN,-0.0028341573974136223,0.0025754325437626394,0.31048678567302435,-0.0029010940548263304,-0.00520325737169154,-0.0003629564308580011,-0.015043811691727638,0.011290088794310094
Burkina Faso,BFA,-0.004881427492,0.0015359797823452585,0.06817067021532722,-0.00560309,-0.0062271,-0.0030906099999999997,-0.00735097,-0.00276063
Bangladesh,BGD,0.0002721130700431804,0.003533232696848249,0.263856868500182,-0.0003618874448667468,-0.00284135,0.004268331903798283,-0.014215256071283818,0.012300942930793762
Bulgaria,BGR,0.0032427495292243662,0.00508711038102801,1.2173572765815557,0.0029208997649629413,-0.000386385005736798,0.006527303748117352,-0.011956578768427373,0.03329505365682602
The Bahamas,BHS,4.939228225039891e-06,1.0140971049884925e-05,1.0581442390869915,2.5e-06,1e-08,1.243e-05,-7.370193312898278e-05,8.22494722052291e-05
Bosnia and Herzegovina,BIH,0.001164379081411549,0.0035508869416639535,-0.8696731832957263,0.0015760709337216616,-0.0019730833645778766,0.00409591834591856,-0.012806119715356827,0.011137214323000908
