Country,iso,Fab_mean,Fab_std,Fab_skew,Fab_median,Fab_q17,Fab_q83,Fab_min,Fab_max
Afghanistan,AFG,-0.0030278464826893133,0.0007463145722856223,0.05240694863036675,-0.003034213052555263,-0.0037533352095038604,-0.002282438331375197,-0.005183967074510097,-0.0004658347091854812
Albania,ALB,-0.0009607679747802258,0.00017055569091728898,0.012912468652785973,-0.000961111302489549,-0.0011231079053513782,-0.0007944895583820397,-0.0015142132592286467,-0.0004631722157342881
Algeria,DZA,0.0023992732270349836,0.0015086999283723012,-0.0086126886181085,0.0023880303772393467,0.001020034006115984,0.003889264357665656,-0.002601568915963769,0.007427017087338447
Angola,AGO,-0.027812286202879528,0.003423798883925229,-0.00901109508699827,-0.027806527039150236,-0.03108842314166975,-0.02459870244653299,-0.038680953910060885,-0.015734896861942294
Argentina,ARG,-0.032617702157744274,0.010496027480536553,0.08055623638538592,-0.03308797919603443,-0.04239526230356088,-0.022704495217240238,-0.06385712449852753,-0.0024484749444646826
Armenia,ARM,2.0033935770650993e-05,0.00014660498495700451,-0.07913070114203127,2.080066037758068e-05,-0.00012050442479344113,0.00015660195914612068,-0.0004500802462255061,0.0005348346340191513
Australia,AUS,-0.021857657681636507,0.018358403487008776,0.04841547939700255,-0.021912487019593238,-0.03963898445952932,-0.004880639959844271,-0.07580065484545899,0.0524744941091671
Austria,AUT,-0.003832705422654974,0.0004169209048639168,-0.08817614731038792,-0.0038153134126678112,-0.004234707236334576,-0.0034455893193103674,-0.005205485870750428,-0.0026723501905892492
Azerbaijan,AZE,0.0001402263109840468,0.00028442222117886905,0.11094818919997049,0.00013966277023002498,-0.0001252235399351496,0.00040543614644995775,-0.0007970952784482242,0.0012519932739361822
Bangladesh,BGD,-0.005420866059118372,0.0007199517747890524,0.10163369517253337,-0.005448205648855568,-0.006097955382061896,-0.0047236146318666,-0.007831394967451095,-0.0023353308887979984
Belarus,BLR,-0.004911168177520086,0.0010151574984425763,0.06741584112293446,-0.0049438752028634556,-0.005905185114593141,-0.003922832555822974,-0.007943817412735938,-0.0014129431280865664
Belgium,BEL,0.0001566968465445261,0.00017521143332336687,0.016998308787877864,0.00015467929817638548,-3.1970001179291786e-06,0.00032420745430990607,-0.0003956622769345641,0.0007159523216524646
Belize,BLZ,0.0005497990057212157,0.00015687137497026035,-0.021660382202459406,0.0005480458017800751,0.00040465238192333386,0.0007007958512814286,7.79475653580428e-05,0.0010565740207037033
Benin,BEN,0.0016723110073798408,0.0006137912140183484,0.04629475734703031,0.0016783636733403206,0.0010714031252144268,0.0022776583490467226,-0.0003889016203132865,0.0035526040745231806
Bhutan,BTN,-0.0011061501300282846,0.00023058468258263949,0.024801465890048807,-0.0011080756289946734,-0.0013330859537478584,-0.0008862555666950757,-0.0018214218890047072,-0.0003796897922464012
Bolivia,BOL,-0.013954213917660167,0.004911207091891942,-0.025885876312263443,-0.01387698821853304,-0.01863942912183941,-0.009280598547064608,-0.030146888354164122,0.002399726415900711
Bosnia and Herzegovina,BIH,-0.0017272974108839647,0.00037858737351647496,0.19522077816718675,-0.0017446690127616226,-0.002097803558279759,-0.0013601383718723954,-0.0030651235467675925,-0.00020692978599447755
Botswana,BWA,-0.00431471415171511,0.0015967699124030171,-0.012843461521513494,-0.004304114395738483,-0.0058343435515619355,-0.0027899024368389894,-0.0091121907464509,0.0004722254070464371
Brazil,BRA,0.02775448379334752,0.0289998438975711,0.13018970169425736,0.026588826554588302,-0.00020828676108660074,0.05439291775196549,-0.06644353235206601,0.13572596656328584
Brunei,BRN,-0.0005201390703899968,8.185633742350238e-05,-0.08264320952122202,-0.0005187792193885744,-0.0005976035814041856,-0.00044264947233435336,-0.0007981159918826818,-0.00027470447620013354
Bulgaria,BGR,-0.004659388736316132,0.0006088425510758471,-0.14116008111738668,-0.004643928576482415,-0.005232895093149743,-0.004089870236361945,-0.006924640590717554,-0.002811330917261243
Burkina Faso,BFA,0.0012188753361283484,0.0009013234213177042,0.017630990056515517,0.001224714196449101,0.0003617695774039363,0.0020935129669871796,-0.0016217975118131642,0.004540823147499293
