Country,iso,Fab_tf_mean,Fab_tf_std,Fab_tf_skew,Fab_tf_median,Fab_tf_q17,Fab_tf_q83,Fab_tf_min,Fab_tf_max
Afghanistan,AFG,-0.000711563903743577,0.0009123606701563052,-1.6770520868553602,-0.0005622250902502984,-0.0012914776034085907,2.0052846303743136e-05,-0.004856584370477945,0.0013241150804620982
Angola,AGO,0.015855142366877174,0.028928744985857926,-0.20658549757133948,0.01635827603319168,-0.009930482074614574,0.04189470780222073,-0.11551478382417679,0.11934415627281189
Albania,ALB,0.0005254380359513517,0.0013478970904431708,-0.16048479553235145,0.0005472746426764131,-0.0005596748976134508,0.0016539674349189224,-0.005316694174690247,0.005330399575388432
United Arab Emirates,ARE,0.00010528232300000002,0.000136577516849753,1.1631822262120601,3.6139999999999996e-05,1.6930000000000002e-05,0.00033552,6.910000000000001e-06,0.00038309
Argentina,ARG,-0.0106276168865773,0.04984189799008952,-0.6276340474138365,-0.004829013014535907,-0.05509853057310906,0.03418636205033355,-0.22009748608657836,0.12376058569316864
Armenia,ARM,-0.00015149921,0.0001602573198509587,-0.9026841192437431,-6.571e-05,-0.00038546,-1.754e-05,-0.0004942,-2.19e-06
Australia,AUS,0.002242775453526948,0.03890706646906698,0.19165783103641065,0.0006480533326816557,-0.02873904150279999,0.03446592790571509,-0.131284722263031,0.13137440501312256
Austria,AUT,0.0034555689303524505,0.004134376512559886,-0.11732290858864344,0.0034229372240727396,0.00022072873745853765,0.006753479000713772,-0.014480983892359734,0.020174076837682724
Azerbaijan,AZE,-0.000630031916458771,0.0011370402666682196,0.6373259597981146,-0.0006417751648561283,-0.0015957948831605913,0.00024402540106624362,-0.004697502080102563,0.005111332028412819
Burundi,BDI,0.00029795222369926504,0.0015239925132473197,-0.8166410256559039,0.0003540399276867509,-0.0009832454279797046,0.0016110113906681956,-0.008882770156853199,0.0048123366764473915
Belgium,BEL,-0.000336958025440382,0.0012757208247594126,-0.600235072279039,-0.0003482043089976162,-0.0010578569990035496,0.0005636134655406795,-0.007110779941461086,0.005917249668676853
Benin,BEN,-0.0028613800004866213,0.0025785374789999275,0.19901467469486336,-0.00290412,-0.0052502727668681,-0.00039530163105189794,-0.015043811691727638,0.011464378794310092
Burkina Faso,BFA,-0.004865145405,0.001529635519924043,0.0551135411056805,-0.005334869999999999,-0.006223950000000001,-0.0030906099999999997,-0.00735097,-0.00276063
Bangladesh,BGD,0.00025833804732568937,0.0035120227006450147,0.3505440567930478,-0.00039085414064168964,-0.0027830808344704284,0.004159713070309162,-0.014215256071283818,0.012350832930793762
Bulgaria,BGR,0.0032045567533527616,0.005067519393183187,1.2978857329111402,0.002888776248463988,-0.0004936102595463395,0.00645936953027693,-0.011956578768427373,0.03329505365682602
Bahamas,BHS,4.829305821367155e-06,9.495749127962023e-06,0.7535695015218287,2.5e-06,1e-08,1.243e-05,-7.646193312898279e-05,8.22494722052291e-05
