Country,iso,Fabc_mean,Fabc_std,Fabc_skew,Fabc_median,Fabc_q17,Fabc_q83,Fabc_min,Fabc_max
Afghanistan,AFG,8.611937616188043e-05,0.010448733627515982,0.09746909286165313,-0.0009516800755449157,-0.007485420113364779,0.008552400633281146,-0.03798811890504445,0.03145161029329289
Angola,AGO,0.023303295220997156,0.04106673533688,-0.8018691372691815,0.027017932450049173,-0.010943280460910962,0.06070021029395858,-0.18009516894091357,0.1479953358201772
Albania,ALB,-0.0004085352415743625,0.002465813010016212,0.08741495863381978,-0.0004786605241521656,-0.0022487423094733473,0.001591038118955419,-0.007902949798249084,0.00801359559351313
United Arab Emirates,ARE,-0.05881552696122292,0.0018288959337073203,-0.13621374123733362,-0.05879490574445469,-0.06110852953150524,-0.056803649124211125,-0.06332051415710552,-0.052702937091421216
Argentina,ARG,-0.01835791667806038,0.14471547227338993,-0.5355519279906298,-0.007809772768061628,-0.12712532905022317,0.09835903468700265,-0.5794820628330098,0.5105086364129908
Armenia,ARM,-0.0016819412296210237,0.00201524304183771,-0.086212807619892,-0.0016534058645227812,-0.0034155883115023255,-9.587283521807632e-05,-0.009802657325162483,0.005642570374443479
Australia,AUS,-0.08678747489022537,0.26563734137922196,0.08167954528676183,-0.09440666952268034,-0.3401257420958038,0.1278554927231287,-0.8255670597169898,0.7197398096963359
Austria,AUT,-0.014128650329292567,0.004885734531045861,-0.15216489978154774,-0.014150141549319428,-0.017882962284809917,-0.010161871517631468,-0.03741629609074046,0.009677753973201156
Azerbaijan,AZE,-0.00985671966507233,0.003962293905281938,-0.12474945304486272,-0.009716167485304614,-0.013572084770813612,-0.006295813220977835,-0.022546289710651223,0.0012769872033610886
Burundi,BDI,0.0007268971889490967,0.0019565768914280575,-0.6100021239173725,0.0007443915745707743,-0.0009800692353935713,0.002525363738651825,-0.009118696382038593,0.005796950441337824
Belgium,BEL,-0.026802223444344547,0.002558650824842468,-0.21651811812547256,-0.026865236236713438,-0.028736910463936553,-0.024549437077033408,-0.03718772537265172,-0.016140733361702252
Benin,BEN,-0.003556274810079887,0.007957364349922133,-0.7549246082588438,-0.0032239151719801133,-0.008333700279039357,0.001471690756857094,-0.051350853015717506,0.03786242677892121
Burkina Faso,BFA,-0.0025297922097385576,0.011948893528847563,-0.5549610325707316,-0.0031998892658164687,-0.010622811744277436,0.006734338083020288,-0.061935743812397144,0.03846021463598364
Bangladesh,BGD,-0.01792255969696656,0.009993336767915296,0.06488383446811345,-0.01793874850840007,-0.02666570461180761,-0.009231004156546813,-0.06390712006878764,0.029836451744671418
Bulgaria,BGR,-0.007401935306739702,0.008226718969100268,1.2515945516427471,-0.007962435743029569,-0.01312519815912506,-0.002782977857501025,-0.042452329758301564,0.04266247890354691
The Bahamas,BHS,-0.00043732391068334247,0.0006048129935150815,1.2476112692419907,-0.0005847597681135177,-0.0006844498075342198,-2.2474120397979904e-05,-0.002453752409186661,0.0022578489963781838
Bosnia and Herzegovina,BIH,-0.003938773759159104,0.005225129836463408,-0.6163159989509893,-0.0031736447674863806,-0.008611511386849801,0.0004934513286086471,-0.022490601479709778,0.013727389373618382
Belarus,BLR,-0.011891674027297903,0.013849974996762373,-0.8961034954413408,-0.011145046798346655,-0.021795669930466076,-0.0010746484467425259,-0.0779415404120078,0.02146593003386662
