Country,iso,Fabc_mf_mean,Fabc_mf_std,Fabc_mf_skew,Fabc_mf_median,Fabc_mf_q17,Fabc_mf_q83,Fabc_mf_min,Fabc_mf_max
Afghanistan,AFG,-0.0035276972347485233,0.0009454257684770441,-1.5032322892158556,-0.0033738632772446035,-0.004131889414693911,-0.0027414043382694344,-0.00800390805114564,-0.0011506661269278418
Angola,AGO,0.011074682733159065,0.028934840439654018,-0.2167742645610651,0.011648473454605342,-0.014564740740844233,0.03698654013189009,-0.12059325308276526,0.11572523243870379
Albania,ALB,-0.0008521938165272979,0.0013495596291980135,-0.18848457692880002,-0.0008241836595139115,-0.0019213478332164064,0.00029324695850021674,-0.006950997985409577,0.004061145744353412
United Arab Emirates,ARE,-0.058887434379174076,0.001760863920931598,-0.1835008235103396,-0.058816418957854104,-0.0611028348049493,-0.0568121849490616,-0.0614394748049493,-0.0562292510083716
Argentina,ARG,-0.061865032705049824,0.04868624113197911,-0.5604271773396462,-0.056895586036635484,-0.10568676129464519,-0.018157033823272474,-0.2734557528880741,0.07714394706286264
Armenia,ARM,-0.001818104905699476,0.00026480105281724456,-0.5420126524332316,-0.00179074639553552,-0.00207717883422811,-0.00154025673096627,-0.0025430388342281103,-0.00142222639553552
Australia,AUS,-0.10790215356259505,0.03762263026723124,0.1419784229181714,-0.10901416641363454,-0.13798724298049195,-0.07784710603954764,-0.24580837543948053,0.021240826022845813
Austria,AUT,-0.014525847353852612,0.004105201108981874,-0.16199621364708394,-0.014509189363457643,-0.017796876119550484,-0.011136913307454789,-0.03347620233524283,0.00338651413467252
Azerbaijan,AZE,-0.010342814067288512,0.0012877970678045786,0.2965739982700489,-0.0103172209485248,-0.01151554280281181,-0.009269215009676611,-0.01619422528444666,-0.00384854896930546
Burundi,BDI,0.00014924002706423697,0.0015104686952789618,-0.7721278872798952,0.00020371797271944578,-0.0011218192608974875,0.0014673333784383535,-0.009101073790259472,0.004717336676447392
Belgium,BEL,-0.026941328793366543,0.0017278282380767539,-0.04077443964092256,-0.027111911187090075,-0.02828649631078816,-0.025282998749774747,-0.03507675530743709,-0.018373704916031647
Benin,BEN,-0.004713253883445725,0.0026146861207739544,0.20672150212886897,-0.0046990907168136834,-0.007211155668297409,-0.0022529632872572,-0.017435233433416467,0.010191066617142282
Burkina Faso,BFA,-0.006126306712980022,0.001564071038898751,0.059807720548819825,-0.006660490003335741,-0.00771452242095061,-0.00433494877296271,-0.00900777529307624,-0.003542245769909888
Bangladesh,BGD,-0.023159374747862792,0.005822839739290093,-0.08579429627034411,-0.022834879339874332,-0.029364039531491547,-0.017475336815962274,-0.04547202303119332,-0.004546730058421537
Bulgaria,BGR,-0.008797157529043148,0.005149829897260267,1.2025976861036831,-0.009106884605470041,-0.01260964142493454,-0.005309280238314113,-0.025112647884147875,0.02329389586752472
Bahamas,BHS,-0.0006277475728968631,4.6405886780195974e-05,0.2647354451765897,-0.0006213607731152979,-0.000676504383815839,-0.0005829899999999999,-0.0007614619331289829,-0.00047175052779477094
Bosnia and Herzegovina,BIH,-0.004510403601530912,0.003617751517201363,-0.8323508615670423,-0.004093765309650298,-0.007680905042485691,-0.0015059688178646379,-0.01885311052040489,0.006098870838958238
Belarus,BLR,-0.012765232557338498,0.011183495329874988,-0.964492956732043,-0.01206467149174329,-0.020828344290317113,-0.003922558841479689,-0.07093565489715692,0.011331982063809937
Belize,BLZ,-0.001222459580132547,0.0013074929441005538,0.6906200700080526,-0.0012651826892054897,-0.0023403373944502924,-0.00016751122499600066,-0.0058086673288905615,0.005792725250399112
Bolivia,BOL,-0.004595764392942084,0.04887465393023073,-0.15895578172093752,-0.0017111984414378595,-0.04982404892495955,0.03929900187559233,-0.17920800665336267,0.13869332062931924
Brazil,BRA,-0.32102247727449407,0.20972474681381512,-0.14019430865387866,-0.3147012010045133,-0.525205420333813,-0.1186197409999824,-0.9865725800281416,0.29015110003943434
Brunei,BRN,-0.0023173991337210246,0.0007306411329442763,0.9901323413999428,-0.0024343745282903086,-0.003017513216707278,-0.0017256209031168575,-0.003940336282648008,0.0007016173843273526
Bhutan,BTN,0.0005952672575395132,0.002216555867343493,-0.03693880977344864,0.00045234293317032855,-0.0014414354075178851,0.0024890763496245054,-0.011311806372413101,0.00804585673990698
Botswana,BWA,-0.0034381034001348195,0.002553561621690216,-1.0203477601315236,-0.0022257535112907697,-0.0076315642302291304,-0.00147682572923658,-0.008140865756832101,-0.00108130770292037
Central African Republic,CAF,0.026041470349244904,0.025243010002715394,-1.0102757844456736,0.027342750856723785,0.0051862808011095525,0.04511906866611481,-0.1338143922469597,0.09933899012863158
Canada,CAN,-0.07610176669073983,0.06286902127406639,-0.213826708488217,-0.07264711679347141,-0.13779041857362723,-0.015523376114600562,-0.2812412350738822,0.12019126476395367
Switzerland,CHE,-0.00934177202294372,0.0022126726286149207,-1.0309853427395865,-0.009441713428910078,-0.0106488515177041,-0.00791148837933427,-0.023980483049623684,0.0018231401880710839
Chile,CHL,-0.01942348726478443,0.010068518142981235,-0.7498222693042036,-0.018380717181552486,-0.027572468749283874,-0.010469443027543617,-0.06103512798266027,0.006987520128129563
China,CHN,-2.7098343235373425,0.1849253188532926,-0.46464379991193744,-2.670148935223506,-2.9291610634352763,-2.529503842451336,-3.2789946572780604,-2.2769969344920544
Ivory Coast,CIV,-0.016720293548116754,0.02461472616129411,-0.8175721271239128,-0.013922436382531943,-0.03784816870226897,0.005026872399568737,-0.1540288819963591,0.05168051711576385
Cameroon,CMR,0.010473207371100638,0.01342442023340779,-0.3276352093706585,0.011691073998888487,-0.0020381586434931845,0.022775288801686763,-0.03839590671997129,0.04726739181159876
Democratic Republic of the Congo,COD,-0.025318919698755667,0.0644587942351146,-0.20612282680888702,-0.024926035409930103,-0.08414322184153068,0.03615624739126718,-0.2956692519637619,0.1499031559290552
Congo,COG,0.010380586865416583,0.010139364100719875,0.4795840951483427,0.00992350156076794,0.0009408174165239389,0.01904809129391988,-0.02219799893948482,0.05184827179615456
Cook Islands,COK,-1.6940326669835205e-05,4.8738744621449485e-06,0.5177984339444355,-1.8e-05,-2.2e-05,-1.139e-05,-2.3e-05,-4.82e-06
Colombia,COL,-0.019045686194741146,0.03934296902925685,-0.2544452631504283,-0.01794613965820951,-0.05347680787796539,0.016970684242599777,-0.17958469341140926,0.10482478311514598
Comoros,COM,-8.30956721649898e-05,3.1184188600280275e-05,-0.5381935298598401,-8e-05,-0.00012677816098304701,-5e-05,-0.00014748922,-4.4e-05
Cape Verde,CPV,-0.0001437106675673773,8.699512261913133e-06,-0.4462153056069999,-0.00014099999999999998,-0.000153,-0.00013486,-0.000169011363968265,-0.00013263
Costa Rica,CRI,-0.00011404990202885678,0.002823633193033068,0.21582899219403404,-0.00036428095719152865,-0.0024026261252063316,0.002290690650845748,-0.012378892587190089,0.008823782843777214
Cuba,CUB,-0.005108837165089549,0.0030873201815413806,-1.1932936826793914,-0.00511015500366083,-0.00731170751328185,-0.0026558062455604168,-0.027798505815619975,0.007025114372528541
Cyprus,CYP,-0.001841914206054071,0.00017957207711403195,-0.2575330206355934,-0.0018454496102565296,-0.00198384045825213,-0.00169217282335177,-0.002839045195352753,-0.0008856342740110641
Czechia,CZE,-0.02479598758609459,0.006221588829171177,-0.31264080453780146,-0.024720324452836152,-0.030073883486384064,-0.01929285682419062,-0.0603007040724662,0.0037780918183156972
Germany,DEU,-0.19701917440966424,0.027651906033611836,-0.23085059086385987,-0.19690840292373898,-0.2203742549458669,-0.17184514216184207,-0.33662697356792065,-0.05715069244565875
Djibouti,DJI,-0.00012713939295118018,1.5817280415877118e-05,-0.9388153623861555,-0.000125489530390089,-0.000140805956493806,-0.00011206838817282,-0.00017816511290773003,-9.584838817282e-05
Denmark,DNK,-0.010068331223056243,0.0012427667984495326,-0.15082674855051514,-0.010151455338655649,-0.011174479109571847,-0.008708560757128947,-0.01519577359273135,-0.00502398054402925
Dominican Republic,DOM,-0.005586115452736235,0.0029587729682248594,0.12662010525611844,-0.005658118305820418,-0.008027811654357567,-0.002965590333024905,-0.018249940670923014,0.0052073113482652734
Algeria,DZA,-0.041006220520364164,0.0036355551416150044,0.21414824853266456,-0.04113428465423576,-0.044984689131625614,-0.03739639706736615,-0.04948736364636569,-0.03217255888624348
