Country,iso,Fabc_tf_mean,Fabc_tf_std,Fabc_tf_skew,Fabc_tf_median,Fabc_tf_q17,Fabc_tf_q83,Fabc_tf_min,Fabc_tf_max
Afghanistan,AFG,-0.0035276972347485233,0.0009454257684770441,-1.5032322892158556,-0.0033738632772446035,-0.004131889414693911,-0.0027414043382694344,-0.00800390805114564,-0.0011506661269278418
Angola,AGO,0.011074682733159065,0.028934840439654018,-0.2167742645610651,0.011648473454605342,-0.014564740740844233,0.03698654013189009,-0.12059325308276526,0.11572523243870379
Albania,ALB,-0.0008521938165272979,0.0013495596291980135,-0.18848457692880002,-0.0008241836595139115,-0.0019213478332164064,0.00029324695850021674,-0.006950997985409577,0.004061145744353412
United Arab Emirates,ARE,-0.058887434379174076,0.001760863920931598,-0.1835008235103396,-0.058816418957854104,-0.0611028348049493,-0.0568121849490616,-0.0614394748049493,-0.0562292510083716
Argentina,ARG,-0.06095871732619859,0.049899891289222696,-0.6024431603549566,-0.055513206253965774,-0.10607412039768921,-0.015824659962219583,-0.2818900634435322,0.07865020113982034
Armenia,ARM,-0.001818104905699476,0.00026480105281724456,-0.5420126524332316,-0.00179074639553552,-0.00207717883422811,-0.00154025673096627,-0.0025430388342281103,-0.00142222639553552
Australia,AUS,-0.1073899467411339,0.03875501947370266,0.1816581007206814,-0.10904996517157912,-0.13859892417604386,-0.07578740597940295,-0.2473016133521354,0.026472072375041553
Austria,AUT,-0.014525847353852612,0.004105201108981874,-0.16199621364708394,-0.014509189363457643,-0.017796876119550484,-0.011136913307454789,-0.03347620233524283,0.00338651413467252
Azerbaijan,AZE,-0.010342814067288512,0.0012877970678045786,0.2965739982700489,-0.0103172209485248,-0.01151554280281181,-0.009269215009676611,-0.01619422528444666,-0.00384854896930546
Burundi,BDI,0.00014924002706423697,0.0015104686952789618,-0.7721278872798952,0.00020371797271944578,-0.0011218192608974875,0.0014673333784383535,-0.009101073790259472,0.004717336676447392
Belgium,BEL,-0.026941328793366543,0.0017278282380767539,-0.04077443964092256,-0.027111911187090075,-0.02828649631078816,-0.025282998749774747,-0.03507675530743709,-0.018373704916031647
Benin,BEN,-0.004713253883445725,0.0026146861207739544,0.20672150212886897,-0.0046990907168136834,-0.007211155668297409,-0.0022529632872572,-0.017435233433416467,0.010191066617142282
Burkina Faso,BFA,-0.006126306712980022,0.001564071038898751,0.059807720548819825,-0.006660490003335741,-0.00771452242095061,-0.00433494877296271,-0.00900777529307624,-0.003542245769909888
Bangladesh,BGD,-0.023159374747862792,0.005822839739290093,-0.08579429627034411,-0.022834879339874332,-0.029364039531491547,-0.017475336815962274,-0.04547202303119332,-0.004546730058421537
Bulgaria,BGR,-0.008797157529043148,0.005149829897260267,1.2025976861036831,-0.009106884605470041,-0.01260964142493454,-0.005309280238314113,-0.025112647884147875,0.02329389586752472
Bahamas,BHS,-0.0006277475728968631,4.6405886780195974e-05,0.2647354451765897,-0.0006213607731152979,-0.000676504383815839,-0.0005829899999999999,-0.0007614619331289829,-0.00047175052779477094
Bosnia and Herzegovina,BIH,-0.004510403601530912,0.003617751517201363,-0.8323508615670423,-0.004093765309650298,-0.007680905042485691,-0.0015059688178646379,-0.01885311052040489,0.006098870838958238
Belarus,BLR,-0.012765232557338498,0.011183495329874988,-0.964492956732043,-0.01206467149174329,-0.020828344290317113,-0.003922558841479689,-0.07093565489715692,0.011331982063809937
Belize,BLZ,-0.0011189621950141893,0.001400073846871314,0.532686470039703,-0.0011961438615991176,-0.00234245,4.742197556645213e-05,-0.0057189818962776655,0.005792725250399112
Bolivia,BOL,0.003930651364139038,0.061459232695298266,-0.1721075358903216,0.008278651184616098,-0.05217580004336079,0.058518840897964094,-0.20794958988147394,0.1762409685823527
Brazil,BRA,-0.20490509216023498,0.31773176123123253,-0.281326177387934,-0.1901521714969605,-0.5091480451778349,0.1050708055664982,-1.2631502911334884,0.6600668834447383
Brunei,BRN,-0.0023173991337210246,0.0007306411329442763,0.9901323413999428,-0.0024343745282903086,-0.003017513216707278,-0.0017256209031168575,-0.003940336282648008,0.0007016173843273526
Bhutan,BTN,0.0007587488802531749,0.0022899242611995213,-0.10847830219778792,0.0006382233813551877,-0.0013344357731470658,0.002801211985870907,-0.011311806372413101,0.00804585673990698
Botswana,BWA,-0.0034381034001348195,0.002553561621690216,-1.0203477601315236,-0.0022257535112907697,-0.0076315642302291304,-0.00147682572923658,-0.008140865756832101,-0.00108130770292037
Central African Republic,CAF,0.02636069131253497,0.02543349474453601,-1.0002876567478756,0.027798948451781273,0.004985846486092234,0.045915058781783584,-0.1338143922469597,0.09933899012863158
Canada,CAN,-0.00850619212524609,0.09812467030141556,-0.0632833583453654,-0.00277132369725433,-0.1049115758073389,0.08420749737490063,-0.2683861150706588,0.2961747235213542
Switzerland,CHE,-0.00934177202294372,0.0022126726286149207,-1.0309853427395865,-0.009441713428910078,-0.0106488515177041,-0.00791148837933427,-0.023980483049623684,0.0018231401880710839
Chile,CHL,-0.016486725884238197,0.012239343494954228,-0.3735595254717517,-0.01589583940020252,-0.026860176522548598,-0.005370141905697656,-0.06429977309720132,0.023301547959087926
China,CHN,-2.708379268589244,0.18514744267503125,-0.46482825626812624,-2.669217548832184,-2.927245035195925,-2.5275473821983083,-3.280031278908252,-2.2758136034793286
Ivory Coast,CIV,-0.016304094663479485,0.024903829218642117,-0.856822691835049,-0.0133206671482608,-0.037645782037405984,0.0056857483448907505,-0.1563647209698813,0.05168051711576385
Cameroon,CMR,0.013095229847551293,0.015829920057595967,-0.1667033839364462,0.01434152325768965,-0.0013072137284311238,0.026372960880478375,-0.04326327044110357,0.07549150986551188
Democratic Republic of the Congo,COD,0.031779764680781926,0.08485577149007484,-0.23441860487825972,0.031732234303366094,-0.041202863708813854,0.10967085225060912,-0.33001431255069125,0.2847707197727823
Congo,COG,0.01846665254398876,0.015688865946747937,0.39364488078635396,0.01800330623863608,0.005184901067004003,0.032129333976742676,-0.021754638171226248,0.08545818364817077
Cook Islands,COK,-1.6940326669835205e-05,4.8738744621449485e-06,0.5177984339444355,-1.8e-05,-2.2e-05,-1.139e-05,-2.3e-05,-4.82e-06
Colombia,COL,0.00700697896026409,0.05451417069726509,-0.03846594485186765,0.006372007818586652,-0.04077726336469402,0.05778913903443393,-0.17438550690752208,0.19599564543223125
Comoros,COM,-8.30956721649898e-05,3.1184188600280275e-05,-0.5381935298598401,-8e-05,-0.00012677816098304701,-5e-05,-0.00014748922,-4.4e-05
Cape Verde,CPV,-0.0001437106675673773,8.699512261913133e-06,-0.4462153056069999,-0.00014099999999999998,-0.000153,-0.00013486,-0.000169011363968265,-0.00013263
Costa Rica,CRI,0.0004238738944796918,0.0031063547468898117,0.24055709922917626,0.00012108640634617075,-0.0021329092528010298,0.0031092015585177223,-0.012378892587190089,0.011071127546259437
Cuba,CUB,-0.005108837165089549,0.0030873201815413806,-1.1932936826793914,-0.00511015500366083,-0.00731170751328185,-0.0026558062455604168,-0.027798505815619975,0.007025114372528541
Cyprus,CYP,-0.001841914206054071,0.00017957207711403195,-0.2575330206355934,-0.0018454496102565296,-0.00198384045825213,-0.00169217282335177,-0.002839045195352753,-0.0008856342740110641
Czechia,CZE,-0.02479598758609459,0.006221588829171177,-0.31264080453780146,-0.024720324452836152,-0.030073883486384064,-0.01929285682419062,-0.0603007040724662,0.0037780918183156972
Germany,DEU,-0.19701917440966424,0.027651906033611836,-0.23085059086385987,-0.19690840292373898,-0.2203742549458669,-0.17184514216184207,-0.33662697356792065,-0.05715069244565875
Djibouti,DJI,-0.00012713939295118018,1.5817280415877118e-05,-0.9388153623861555,-0.000125489530390089,-0.000140805956493806,-0.00011206838817282,-0.00017816511290773003,-9.584838817282e-05
Denmark,DNK,-0.010068331223056243,0.0012427667984495326,-0.15082674855051514,-0.010151455338655649,-0.011174479109571847,-0.008708560757128947,-0.01519577359273135,-0.00502398054402925
Dominican Republic,DOM,-0.005586115452736235,0.0029587729682248594,0.12662010525611844,-0.005658118305820418,-0.008027811654357567,-0.002965590333024905,-0.018249940670923014,0.0052073113482652734
Algeria,DZA,-0.041006220520364164,0.0036355551416150044,0.21414824853266456,-0.04113428465423576,-0.044984689131625614,-0.03739639706736615,-0.04948736364636569,-0.03217255888624348
