Country,iso,Fabc_tf_mean,Fabc_tf_std,Fabc_tf_skew,Fabc_tf_median,Fabc_tf_q17,Fabc_tf_q83,Fabc_tf_min,Fabc_tf_max
Afghanistan,AFG,0.003527483636035739,0.0001569120520908004,0.15620169050055352,0.0035287733127149965,0.003374900403473051,0.0036686346394327945,0.003059440864810285,0.004119275269856702
Albania,ALB,0.0008534088660822511,0.0001019363332996803,-0.008594183211064976,0.0008528267029546965,0.0007504680084998105,0.00095034226132405,0.000505806296826928,0.0012034524289266792
Algeria,DZA,0.040977373980594166,0.0011414912850855534,-0.04019305214924765,0.04100536497876359,0.03981604278711852,0.04208301870023605,0.03747338940239622,0.044603202994243606
Angola,AGO,-0.011150124882673303,0.002777119921693753,-0.08487183775397052,-0.011115469212464894,-0.013852785315655898,-0.008415483157800642,-0.019507289010234408,-0.0020160011714124276
Argentina,ARG,0.061000759281759256,0.0045712401443238,-0.01708907555294863,0.061096655771355896,0.05655685299996821,0.06544373025491658,0.04749006342790952,0.07601789114519827
Armenia,ARM,0.0018170855515838456,7.170421308100892e-05,0.3132264380924607,0.0018117140772853121,0.0017498680238635686,0.0018857980448965534,0.0016423464726977772,0.0020686533197558643
Australia,AUS,0.10726183289486707,0.0031682529958181123,0.10733718732955394,0.10722667596986224,0.10425373662118047,0.11028505634490238,0.09758787718499538,0.11784722968900373
Austria,AUT,0.014516332266162842,0.00043954254668760915,-0.03156942172303322,0.014513243844127107,0.014089310642080358,0.014916698678515302,0.013043394329395304,0.015786473268436654
Azerbaijan,AZE,0.010341923537868562,0.00021933892883250678,0.15082177694070073,0.010332152390241121,0.01013088170944344,0.010555794708235098,0.009704758001984658,0.011193860995506299
Bangladesh,BGD,0.023074300879752572,0.0015445304648158628,0.041491993783083506,0.02310726269183075,0.021583085089331808,0.024512503140312617,0.018672642819727765,0.027848343598603123
Belarus,BLR,0.012795567721469375,0.0008308343903693,0.023060797654714936,0.012763290500574252,0.011978590508684142,0.013625592896463389,0.010082684104133665,0.015846993011789656
Belgium,BEL,0.026959423285639356,0.0003882110669445291,-0.1786981459212201,0.026976896299087366,0.02658729968887802,0.02733652506354347,0.02560185790848338,0.028052908972431585
Belize,BLZ,0.0011155670357850674,0.00012924279624380934,0.03468592715781288,0.0011109819906712527,0.000990173535514902,0.0012406186593378068,0.0007401535621890948,0.001524248745454131
Benin,BEN,0.004731431539647526,0.0003630133537632291,0.09775288036231364,0.004730234984110146,0.004377697655378662,0.005077532103239262,0.0035836612916002927,0.006024299026607461
Bhutan,BTN,-0.0007618998655948454,0.00023100244755266632,0.02286445930021087,-0.0007641890524690651,-0.000989296860343969,-0.000533903990620867,-0.00148100827300826,-1.7625295904103854e-05
Bolivia,BOL,-0.004156404766049953,0.004392507927396209,-0.01135393708652084,-0.004051485698391656,-0.008376557822120318,3.2590691727595144e-05,-0.01831343210719521,0.01079082812874267
Bosnia and Herzegovina,BIH,0.0044952040934127645,0.00028572013405537536,0.055990910719076754,0.004486000853378259,0.0042277350964929645,0.004762175442717179,0.0034249495608808756,0.005494951239195091
Botswana,BWA,0.0034514882019676596,0.0004040264845438018,0.14393356239814023,0.003452436886394139,0.0030620513832126084,0.0038289722038739923,0.002275871263221451,0.005110472981547742
Brazil,BRA,0.20423278794890495,0.026113059056530656,0.10039801810776505,0.20423296727289195,0.17855535864525424,0.22819712931600253,0.12393198223834889,0.29712544743017644
