Country,iso,Fbc_mean,Fbc_std,Fbc_skew,Fbc_median,Fbc_q17,Fbc_q83,Fbc_min,Fbc_max
Afghanistan,AFG,-0.003634029827484116,0.0009089223860298775,-1.7462631391296797,-0.0034318950198039,-0.00414587298034935,-0.00290105407723201,-0.00742167946180832,-0.00242331120738994
Angola,AGO,-0.03067349915396984,0.01221606305309203,0.02485326637110865,-0.03305575388895248,-0.04649358366208439,-0.01739249238204539,-0.04930977925858848,-0.0107437538341081
Albania,ALB,-0.00137035726394496,0.00018928379267518542,-0.593375763076753,-0.00136685168314593,-0.00152848407899203,-0.0011704773141468598,-0.00212497381071933,-0.0010347138310350201
Andorra,AND,-0.00012158945072173053,9.98454144866319e-06,0.9403456644151517,-0.00012514,-0.00012983000000000002,-0.000109984474,-0.00013505,-9.846e-05
United Arab Emirates,ARE,-0.05889061398794766,0.0017637001696787233,-0.17742896571256014,-0.058818088957854106,-0.0611108648049493,-0.0568120349490616,-0.0614394748049493,-0.0562292510083716
Argentina,ARG,-0.07118804956683011,0.01962085754325686,-0.04513671609702661,-0.07718849874840181,-0.08920757455334831,-0.0460561559584158,-0.1203536827949192,-0.038310294553348306
Armenia,ARM,-0.001816333103304877,0.00026404791785862217,-0.5503602636465811,-0.0017808055873983302,-0.00207642883422811,-0.0015397204770241802,-0.0025430388342281103,-0.00142222639553552
Antigua and Barbuda,ATG,-0.0001627789076984937,8.621821583957513e-06,0.3594257850459299,-0.00016347,-0.000173137896192552,-0.00015374,-0.00017502,-0.00014047000000000002
Australia,AUS,-0.11981057206270673,0.010434321180879091,-0.6606951825471022,-0.119253375392928,-0.130002029636507,-0.10938816193332901,-0.15671872105343698,-0.099490542638081
Austria,AUT,-0.016795711470907727,0.0017273796655865828,0.7423906690373495,-0.0173800107257912,-0.0183997307257912,-0.0145332707545516,-0.0196436984428831,-0.012730312703010203
Azerbaijan,AZE,-0.010536800291670294,0.0008106035949975073,-0.6162168184378213,-0.01043154268057891,-0.0113713952535707,-0.0097245972127596,-0.013500853204344099,-0.00903056099771828
Burundi,BDI,-0.0008262956937965825,0.0005162865334297825,-0.7020884869409028,-0.000560629424382627,-0.0014588607486778322,-0.00038519074680851064,-0.002023233633406273,-0.00021097
Belgium,BEL,-0.027050434479551813,0.0012262310065029162,0.7215491916269974,-0.0272565956221758,-0.0280932430388401,-0.025584435739782103,-0.029059985365976003,-0.0239441845847085
Benin,BEN,-0.004933187894221666,0.0021036955100465784,-0.1613892303563357,-0.00491420879464427,-0.00720703758973621,-0.0025403432761645904,-0.00941126174168883,-0.00117861217716781
Burkina Faso,BFA,-0.0061305054812953,0.0015646479379464017,0.0706048153318048,-0.0066852771890120195,-0.00771452242095061,-0.0043319922977775,-0.00900777529307624,-0.003542245769909888
Bangladesh,BGD,-0.02494125428941828,0.005395981074595554,-0.06843301714672546,-0.0246741699106151,-0.030916248819846302,-0.0195659185363768,-0.0361986569599095,-0.0135660729892153
Bulgaria,BGR,-0.011135587730918647,0.0011314595342776306,0.37437371474773923,-0.0112371575354804,-0.0122630014024352,-0.010030849127647382,-0.013664189115720501,-0.008147397789301302
Bahrain,BHR,-0.009264816478491995,0.0007405345471348318,-0.2719336947870483,-0.00886872614925414,-0.0101699336860394,-0.00846062206062553,-0.0102147398291861,-0.008409981538066392
The Bahamas,BHS,-0.0006275811119165427,4.5499227321272394e-05,0.25938709206710775,-0.0006175200000000001,-0.000675903556581957,-0.0005829899999999999,-0.0006895200000000001,-0.00054118
Bosnia and Herzegovina,BIH,-0.005733876205908038,0.000493266503744415,0.32478184701574575,-0.00576094820554442,-0.00621200550863681,-0.00527018348404267,-0.00673569080504806,-0.004050263484042671
Belarus,BLR,-0.018266991878134922,0.0014155900318692904,0.06459033827213882,-0.018444616411098097,-0.019760423552388044,-0.0167498239611922,-0.021317776411098097,-0.0153249082241854
Belize,BLZ,-0.0018210508345964933,0.0006050756941839793,-0.5010816261047797,-0.0017567700000000002,-0.0024827384154653153,-0.0012139800000000001,-0.0032133400000000003,-0.0008869
Bolivia,BOL,-0.021254507808477124,0.004882138555716815,0.22376458683863854,-0.021967368098441072,-0.02708931370742797,-0.01611722199375351,-0.02939946571307793,-0.01006021809844107
