Country,iso,Fbc_mean,Fbc_std,Fbc_skew,Fbc_median,Fbc_q17,Fbc_q83,Fbc_min,Fbc_max
Afghanistan,AFG,0.0036351874667728094,0.000903928041743296,1.7505890356343308,0.0034390425109170303,0.00290105407723201,0.00415889946180832,0.00242331120738994,0.00742167946180832
Angola,AGO,0.030760053532608644,0.012283061685912002,-0.03417543758026218,0.03308171885115374,0.017370373888952483,0.04653915925858848,0.0107437538341081,0.04930977925858848
Albania,ALB,0.0013715762880831164,0.0001882142752831398,0.6103783240872885,0.00136869140582919,0.00117394005618608,0.00152666140582919,0.0010347138310350201,0.00212497381071933
Andorra,AND,0.00012158317353908538,9.95032094609534e-06,-0.9430865676013823,0.00012511,0.000110104474,0.00012982,9.846e-05,0.00013505
United Arab Emirates,ARE,0.058887435074774085,0.0017609115426784798,0.18340121298676285,0.058816418957854104,0.0568120349490616,0.0611028348049493,0.0562292510083716,0.0614394748049493
Argentina,ARG,0.07111871967159981,0.019750760276606,0.05563747172252352,0.07717268199522599,0.0460561559584158,0.0894666048565162,0.038310294553348306,0.1203536827949192
Armenia,ARM,0.0018180194987994756,0.00026458705709875356,0.5377783221438086,0.00179074639553552,0.00154025673096627,0.00207717883422811,0.00142222639553552,0.0025430388342281103
Antigua and Barbuda,ATG,0.00016276279780915104,8.612059856838595e-06,-0.36992870213962337,0.00016368,0.00015368,0.000173130225,0.00014047000000000002,0.00017502
Australia,AUS,0.11976994792604383,0.01046747807339954,0.6934481132947432,0.118841811933329,0.10938816193332901,0.129853531933329,0.099490542638081,0.15671872105343698
Austria,AUT,0.016809929027853124,0.0017192644704781077,-0.7466452735358249,0.017393597337159,0.014538060754551599,0.0184034707257912,0.012730312703010203,0.0196436984428831
Azerbaijan,AZE,0.010530698527319837,0.0008103360651028309,0.626738816534301,0.010420204406218901,0.00972333388529207,0.01137131623645843,0.00903056099771828,0.013500853204344099
Burundi,BDI,0.0008254120311646012,0.0005157243754894486,0.706200795892189,0.00056563,0.00038531000000000004,0.0014588607486778322,0.00021097,0.002023233633406273
Belgium,BEL,0.02705143947066862,0.0012289737246803025,-0.7176554409342095,0.0272937925714529,0.0255843857397821,0.028098403038840102,0.0239441845847085,0.029059985365976003
Benin,BEN,0.004927339762679409,0.00210073818646825,0.1676342422944311,0.00489292879464427,0.0025403432761645904,0.00720703758973621,0.00117861217716781,0.00941126174168883
