,Country,iso,SLAND
0,Antarctica,ATA,0.0
1,Chile,CHL,0.010595734
2,Argentina,ARG,0.053241953
3,South Georgia and the Islands,SGS,6.0485413e-06
4,Falkland Islands,FLK,0.00023813221
5,French Southern and Antarctic Lands,ATF,3.0001209e-05
6,New Zealand,NZL,0.010642799
7,Australia,AUS,0.031349715
8,Uruguay,URY,0.009472948
9,South Africa,ZAF,0.010879052
10,Brazil,BRA,0.2816677
11,Lesotho,LSO,0.000601478
12,Namibia,NAM,0.0030943826
13,Paraguay,PRY,0.011330253
14,eSwatini,SWZ,0.00054370693
15,Botswana,BWA,0.005961492
16,Mozambique,MOZ,0.023993898
17,Madagascar,MDG,0.018404342
18,Bolivia,BOL,0.029639693
19,Zimbabwe,ZWE,0.008885835
20,New Caledonia,NCL,0.00033135113
21,Cook Islands,COK,4.77553e-07
22,France,FRA,0.008600108
23,Mauritius,MUS,9.451465e-06
24,Vanuatu,VUT,0.00032520414
25,Peru,PER,0.064911254
26,French Polynesia,PYF,6.411081e-06
27,Angola,AGO,0.05400969
28,Zambia,ZMB,0.032306556
29,Fiji,FJI,0.00049687515
30,Malawi,MWI,0.0037320834
31,Samoa,WSM,4.159193e-05
32,Democratic Republic of the Congo,COD,0.18723552
33,Comoros,COM,6.560157e-07
34,United Republic of Tanzania,TZA,0.046553742
35,Papua New Guinea,PNG,0.038835168
36,Solomon Islands,SLB,0.0010383493
37,Indonesia,IDN,0.15241714
38,East Timor,TLS,-7.804947e-06
39,Ecuador,ECU,0.016386105
40,Republic of the Congo,COG,0.023717083
41,Burundi,BDI,0.0015295867
42,Kenya,KEN,0.035783634
43,Colombia,COL,0.05712171
44,Gabon,GAB,0.018644039
45,Rwanda,RWA,0.001551985
46,Uganda,UGA,0.014837503
47,Somalia,SOM,0.007381183
48,São Tomé and Principe,STP,-3.123532e-07
49,Venezuela,VEN,0.025330782
50,Guyana,GUY,0.014588396
51,Equatorial Guinea,GNQ,0.0017893115
52,Malaysia,MYS,0.025435438
53,Kiribati,KIR,4.167019e-06
54,Suriname,SUR,0.01174629
55,Cameroon,CMR,0.023910027
56,Central African Republic,CAF,0.029495437
57,South Sudan,SSD,0.01767272
58,Ethiopia,ETH,0.05093521
59,Brunei,BRN,0.0007591546
60,Liberia,LBR,0.0069058803
61,Ivory Coast,CIV,0.011098975
62,Nigeria,NGA,0.022984678
63,Ghana,GHA,0.007330965
64,Philippines,PHL,0.018838106
65,Togo,TGO,0.0014788924
66,Benin,BEN,0.0014305541
67,Sri Lanka,LKA,0.0053568757
68,Thailand,THA,0.029014599
69,Panama,PAN,0.0063224933
70,Sierra Leone,SLE,0.0047191796
71,Guinea,GIN,0.0076468214
72,Chad,TCD,0.0066787847
73,Somaliland,SOM,0.0010054779
74,India,IND,0.13594015
75,Costa Rica,CRI,0.004470799
76,Sudan,SDN,0.0166593
77,Vietnam,VNM,0.022088995
78,Trinidad and Tobago,TTO,0.00031712238
79,Mali,MLI,0.005499561
80,Burkina Faso,BFA,0.0036377662
81,Myanmar,MMR,0.04291331
82,Cambodia,KHM,0.012854012
83,Nicaragua,NIC,0.009230069
84,Guinea-Bissau,GNB,0.00083696906
85,Djibouti,DJI,1.9066223e-05
86,Niger,NER,0.0033637579
87,Senegal,SEN,0.0017341927
88,Eritrea,ERI,0.0017517431
89,Yemen,YEM,0.0013272517
90,El Salvador,SLV,0.0013124974
91,Honduras,HND,0.006452711
92,Saint Vincent and the Grenadines,VCT,1.8003191e-05
93,Gambia,GMB,0.0001803377
94,Guatemala,GTM,0.008359709
95,Laos,LAO,0.015797503
96,Mexico,MEX,0.06282601
97,Cabo Verde,CPV,1.199812e-05
98,Mauritania,MRT,0.00096669985
99,Belize,BLZ,0.0011134241
100,Saudi Arabia,SAU,0.0008478253
101,Oman,OMN,-6.644684e-05
102,Jamaica,JAM,0.00034053024
103,United States Virgin Islands,VIR,-2.8061652e-06
104,Haiti,HTI,0.0009813664
105,Dominican Republic,DOM,0.0021373138
106,Puerto Rico,PRI,0.0005146952
107,China,CHN,0.24541116
108,United States of America,USA,0.29736257
109,Algeria,DZA,-0.0023920988
110,Cayman Islands,CYM,6.561457e-07
111,Libya,LBY,0.00013732955
112,Cuba,CUB,0.0039722635
113,Morocco,MAR,-0.0028541745
114,Western Sahara,ESH,3.0331978e-05
115,Bir Tawil,BIR,-1.0472869e-06
116,Bangladesh,BGD,0.0069338297
117,The Bahamas,BHS,0.00018482518
118,Egypt,EGY,0.0005737603
119,Hong Kong S.A.R.,HKG,0.00013916839
120,Taiwan,TWN,0.0019062569
121,United Arab Emirates,ARE,7.707182e-05
122,Pakistan,PAK,0.007669806
123,Qatar,QAT,2.058149e-05
124,Iran,IRN,0.0026517224
125,Japan,JPN,0.020361856
126,Nepal,NPL,0.006716144
127,Bhutan,BTN,0.0016420425
128,Spain,ESP,0.0076701753
129,Kuwait,KWT,2.7228912e-06
130,Jordan,JOR,0.00011776087
131,Iraq,IRQ,0.0014016506
132,Afghanistan,AFG,0.0038676523
133,Israel,ISR,0.00021858008
134,Tunisia,TUN,-0.0003339316
135,Palestine,PSE,0.000114933326
136,Portugal,PRT,0.0016855388
137,Syria,SYR,0.0011980898
138,Lebanon,LBN,0.00015124123
139,South Korea,KOR,0.0057251374
140,Cyprus,CYP,5.8190555e-05
141,Greece,GRC,0.004496734
142,Northern Cyprus,CYN,4.3281838e-05
143,Siachen Glacier,SGR,2.3802146e-05
144,Turkmenistan,TKM,0.0014455218
145,Turkey,TUR,0.017203327
146,Italy,ITA,0.0031300099
147,Tajikistan,TJK,0.0016825625
148,Uzbekistan,UZB,0.0017979814
149,North Korea,PRK,0.006247762
150,Azerbaijan,AZE,0.0006638767
151,Armenia,ARM,0.00013481289
152,Kyrgyzstan,KGZ,0.0032734885
153,Albania,ALB,0.0009591272
154,Kazakhstan,KAZ,0.022469778
155,North Macedonia,MKD,0.0011164584
156,Bulgaria,BGR,0.0037478427
157,Georgia,GEO,0.0017533173
158,Russia,RUS,0.39878747
159,Canada,CAN,0.21322088
160,Mongolia,MNG,0.014856405
161,Montenegro,MNE,0.0006181071
162,Kosovo,XKX,0.00041083654
163,Bosnia and Herzegovina,BIH,0.0017871087
164,Republic of Serbia,SRB,0.0018645937
165,Croatia,HRV,0.0017552162
166,Romania,ROU,0.0045480784
167,Ukraine,UKR,0.0071427496
168,Slovenia,SVN,0.00078131893
169,Moldova,MDA,0.00036380594
170,Baykonur Cosmodrome,BAY,1.7914024e-05
171,Switzerland,CHE,0.0009944986
172,Hungary,HUN,0.0010978762
173,Austria,AUT,0.0026434958
174,Germany,DEU,0.0018478087
175,Slovakia,SVK,0.0015250152
176,Czechia,CZE,0.0010351045
177,Poland,POL,0.0051976587
178,Belgium,BEL,0.0002905614
179,Luxembourg,LUX,9.848001e-06
180,United Kingdom,GBR,0.004495314
181,Netherlands,NLD,0.00050495577
182,Ireland,IRL,0.0015615697
183,Belarus,BLR,0.006612722
184,Lithuania,LTU,0.0025654838
185,Denmark,DNK,0.0010420129
186,Sweden,SWE,0.014514478
187,Latvia,LVA,0.0025467004
188,Estonia,EST,0.0017955372
189,Norway,NOR,0.008423435
190,Greenland,GRL,0.0005596767
191,Aland,ALA,5.9574002e-05
192,Finland,FIN,0.009680902
193,Faroe Islands,FRO,4.391406e-06
194,Iceland,ISL,0.0011376477
