country,iso,Fa_mean,Fa_std,Fa_skew,Fa_median,Fa_q17,Fa_q83,Fa_min,Fa_max,Fa_tf_mean,Fa_tf_std,Fa_tf_skew,Fa_tf_median,Fa_tf_q17,Fa_tf_q83,Fa_tf_min,Fa_tf_max,Fa_mf_mean,Fa_mf_std,Fa_mf_skew,Fa_mf_median,Fa_mf_q17,Fa_mf_q83,Fa_mf_min,Fa_mf_max
Afghanistan,AFG,0.0038676525,0.010466985,0.08437319099903107,0.003257822,-0.003786912,0.012185154,-0.031656284,0.03387492,0.000107642336,0.0002758784,0.803954005241394,2.4191888e-05,-5.192532e-05,0.0003337311,-0.00067946437,0.0012726451,0.000107642336,0.0002758784,0.803954005241394,2.4191888e-05,-5.192532e-05,0.0003337311,-0.00067946437,0.0012726451
Angola,AGO,0.054009665,0.03874484,-0.8585218787193298,0.059601873,0.022712583,0.0882696,-0.13170363,0.1595384,0.041856065,0.026212877,-0.2675412595272064,0.041269332,0.021264397,0.063725114,-0.071600564,0.12646899,0.041856065,0.026212877,-0.2675412595272064,0.041269332,0.021264397,0.063725114,-0.071600564,0.12646899
Aland,ALA,5.9574e-05,0.00022020994,4.199397087097168,0.0,0.0,3.6571742e-05,-0.00040069674,0.0014328645,3.3920703e-06,1.872927e-05,0.08147674053907394,0.0,0.0,4.0151685e-06,-0.00012336693,9.6156255e-05,3.3920703e-06,1.872927e-05,0.08147674053907394,0.0,0.0,4.0151685e-06,-0.00012336693,9.6156255e-05
Albania,ALB,0.00095912727,0.0024493304,0.07759236544370651,0.0009133331,-0.00091921055,0.0029429493,-0.006111376,0.009093029,0.0005201092,0.00133803,-0.1760479360818863,0.00053084746,-0.00059057394,0.0016185148,-0.004826024,0.0051117996,0.0005201092,0.00133803,-0.1760479360818863,0.00053084746,-0.00059057394,0.0016185148,-0.004826024,0.0051117996
United Arab Emirates,ARE,7.707184e-05,0.000519034,2.1348586082458496,2.6143684e-07,-7.111135e-05,0.00022784229,-0.0018810394,0.0037961279,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Argentina,ARG,0.053241953,0.14181808,-0.442785382270813,0.059937306,-0.054187026,0.16634497,-0.46299377,0.5489252,0.010121456,0.04603793,-0.7718446850776672,0.017473822,-0.031961348,0.04956002,-0.16153638,0.117066786,0.009215087,0.044704456,-0.7261607646942139,0.01569612,-0.030437656,0.046805717,-0.15310207,0.11556053
Armenia,ARM,0.00013481292,0.0020031503,-0.048607006669044495,0.0001692822,-0.0017106881,0.0016893966,-0.0072596185,0.007073357,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Antarctica,ATA,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
French Southern and Antarctic Lands,ATF,3.0001209e-05,0.00056291604,-4.049779415130615,0.0,0.0,1.5184698e-05,-0.0054439073,0.0028662153,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Australia,AUS,0.031349715,0.26778752,0.10489600151777267,0.022062361,-0.22279608,0.24182416,-0.67274386,0.8233858,0.012442941,0.037258346,0.2240179181098938,0.010952506,-0.016179617,0.044808783,-0.09058289,0.12596262,0.011929596,0.0360807,0.18112219870090485,0.009963507,-0.0146894045,0.042481363,-0.089089654,0.12073137
Austria,AUT,0.0026434965,0.0046033785,-0.36464354395866394,0.0027544857,-0.0005388457,0.0065176436,-0.018500283,0.022478117,0.002294601,0.0037560577,-0.3006759583950043,0.0024301894,-0.0004968321,0.0053009796,-0.014004944,0.016122427,0.002294601,0.0037560577,-0.3006759583950043,0.0024301894,-0.0004968321,0.0053009796,-0.014004944,0.016122427
Azerbaijan,AZE,0.0006638768,0.0039033287,-0.132733553647995,0.0007509503,-0.0029726576,0.003984672,-0.009626833,0.010445928,0.00018589904,0.0010010636,0.951448917388916,0.00012672794,-0.00067642657,0.0009825077,-0.002693372,0.005207682,0.00018589904,0.0010010636,0.951448917388916,0.00012672794,-0.00067642657,0.0009825077,-0.002693372,0.005207682
Baykonur Cosmodrome,BAY,1.7914026e-05,0.00020472685,2.5809688568115234,7.684274e-08,-5.5656e-05,9.6949174e-05,-0.0005041156,0.0013770751,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Burundi,BDI,0.0015295871,0.0019094521,-0.6975874900817871,0.0015976587,0.0,0.003218032,-0.0071737664,0.0060388804,0.00096892426,0.0014227594,-0.9351636171340942,0.0010118443,0.0,0.002075586,-0.00707784,0.0049283067,0.00096892426,0.0014227594,-0.9351636171340942,0.0010118443,0.0,0.002075586,-0.00707784,0.0049283067
Belgium,BEL,0.0002905615,0.002246865,-0.3374598026275635,0.000276633,-0.0014583691,0.0019347835,-0.0084555,0.008613711,0.000109339606,0.0012116713,-0.8619442582130432,0.00013419564,-0.00057690963,0.0008811044,-0.00609707,0.0055704797,0.000109339606,0.0012116713,-0.8619442582130432,0.00013419564,-0.00057690963,0.0008811044,-0.00609707,0.0055704797
Benin,BEN,0.0014305541,0.007706095,-0.741223156452179,0.0017548827,-0.002817426,0.006302587,-0.04260723,0.03922812,0.0002168439,0.0015542622,1.484413981437683,0.0,-0.00028447193,0.00080569077,-0.008023972,0.011396819,0.0002168439,0.0015542622,1.484413981437683,0.0,-0.00028447193,0.00080569077,-0.008023972,0.011396819
Burkina Faso,BFA,0.0036377665,0.01190513,-0.4993498623371124,0.0028022546,-0.004371028,0.01264502,-0.053519275,0.04223476,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Bangladesh,BGD,0.0069338297,0.0084896395,0.12203864753246307,0.006775667,0.00076766295,0.013777058,-0.029589733,0.043932915,0.0017850398,0.00221055,-0.19896739721298218,0.0017805778,2.2791968e-05,0.0033652056,-0.009273366,0.009055093,0.0017850398,0.00221055,-0.19896739721298218,0.0017805778,2.2791968e-05,0.0033652056,-0.009273366,0.009055093
