model,year,ATA,CHL,ARG,SGS,FLK,ATF,NZL,AUS,URY,ZAF,BRA,LSO,NAM,PRY,SWZ,BWA,MOZ,MDG,BOL,ZWE,NCL,COK,FRA,MUS,VUT,PER,PYF,AGO,ZMB,FJI,MWI,WSM,COD,COM,TZA,PNG,SLB,IDN,TLS,ECU,COG,BDI,KEN,COL,GAB,RWA,UGA,SOM,STP,VEN,GUY,GNQ,MYS,KIR,SUR,CMR,CAF,SSD,ETH,BRN,LBR,CIV,NGA,GHA,PHL,TGO,BEN,LKA,THA,PAN,SLE,GIN,TCD,IND,CRI,SDN,VNM,TTO,MLI,BFA,MMR,KHM,NIC,GNB,DJI,NER,SEN,ERI,YEM,SLV,HND,VCT,GMB,GTM,LAO,MEX,CPV,MRT,BLZ,SAU,OMN,JAM,VIR,HTI,DOM,PRI,CHN,USA,DZA,CYM,LBY,CUB,MAR,ESH,BIR,BGD,BHS,EGY,HKG,TWN,ARE,PAK,QAT,IRN,JPN,NPL,BTN,ESP,KWT,JOR,IRQ,AFG,ISR,TUN,PSE,PRT,SYR,LBN,KOR,CYP,GRC,CYN,SGR,TKM,TUR,ITA,TJK,UZB,PRK,AZE,ARM,KGZ,ALB,KAZ,MKD,BGR,GEO,RUS,CAN,MNG,MNE,XKX,BIH,SRB,HRV,ROU,UKR,SVN,MDA,BAY,CHE,HUN,AUT,DEU,SVK,CZE,POL,BEL,LUX,GBR,NLD,IRL,BLR,LTU,DNK,SWE,LVA,EST,NOR,GRL,ALA,FIN,FRO,ISL
1,2013.0,0.0,357.1706,514.6391,0.0,7.3408985,0.0,39.783672,-2565.0627,1889.7603,320.62552,22157.988,-6.062553,-410.28207,821.03546,48.82087,-83.01724,787.8528,976.7413,2579.7737,425.62537,0.0,0.0,1173.1652,0.0,0.0,3565.594,0.0,1655.7446,1062.7916,0.0,118.50536,0.0,6473.355,0.0,8.089098,1007.7096,0.0,4464.0776,0.0,695.45905,707.5371,22.064034,526.3794,2520.0298,509.49243,1.4726982,-60.06305,101.23173,0.0,1940.9109,593.9141,52.12289,761.34357,0.0,434.51596,556.1145,1003.9532,159.50203,1561.3751,0.0,283.86996,316.71896,-330.99533,78.85276,357.3425,-11.827901,-43.714653,150.7719,980.80554,119.61235,248.9007,431.52557,-428.64865,7842.6396,51.903145,52.70009,762.5611,0.0,-133.78677,-219.25403,1716.2133,542.5912,197.3105,31.814837,0.64923334,-48.98923,17.702126,1.5352632,-2.2598886,-0.38293883,60.468586,0.0,15.16782,115.67396,584.93427,2215.9336,0.0,7.72646,11.581546,24.914438,7.555312,0.0,0.0,-48.5403,83.12201,42.229965,4836.1753,14565.298,304.99057,0.0,24.096277,-28.282442,23.10966,-0.02208552,0.0,181.09766,0.0,7.785612,0.0,8.087325,1.2460414,388.71616,0.26425925,202.30023,617.5328,181.25876,39.947586,1389.451,0.7515913,-0.6363999,67.336815,72.027954,-22.129183,16.610346,3.4279013,150.18126,62.34245,-3.4329138,387.61697,0.0,115.43877,0.0,-0.29432327,95.198166,825.45654,45.040215,35.33793,72.4302,311.16025,48.169445,125.085815,112.9413,11.035779,3837.2017,4.9905562,26.390095,174.84995,9362.366,6387.0557,1408.6049,-15.605798,-1.0978826,117.9769,57.796963,15.098535,559.96124,1294.5746,-19.64773,39.91965,-0.024445506,24.44676,117.90113,257.9577,-684.89166,124.40448,307.55658,-40.186195,37.463493,0.0,-318.4125,4.5748634,-16.003222,252.3308,-97.794106,-276.5089,-197.77992,19.278913,-54.503857,106.64587,73.39941,0.0,-627.43866,0.0,173.54662
1,2014.0,0.0,735.747,6151.1494,0.0,44.390625,0.0,564.97314,705.92816,751.0337,375.15082,14291.317,22.749283,786.2144,1434.017,30.213312,239.96266,565.1294,995.8373,2633.2896,91.37339,0.0,0.0,2345.3435,0.0,0.0,2474.5723,0.0,2765.3042,949.05005,0.0,80.13093,0.0,6767.952,0.0,-79.552864,967.32245,0.0,3713.7378,0.0,460.03552,855.7423,56.120388,-207.31416,2253.6887,661.78864,54.373104,587.2724,-78.96311,0.0,1444.0154,602.3429,60.761463,783.632,0.0,479.50357,854.87476,999.0356,666.26935,1470.6976,0.0,322.02585,596.8033,616.6583,62.607307,357.76697,-40.7808,-42.395203,48.631367,656.25446,127.17008,239.37637,566.36017,604.63855,1365.2103,82.01245,560.18054,513.29614,0.0,136.93152,124.07615,818.03674,454.79276,208.71556,23.896158,-0.33927307,-78.79622,-209.10718,-0.006628368,1.3739828,1.7426592,179.97765,0.0,2.9039905,268.3896,426.9828,3393.766,0.0,-0.8328768,20.08473,-9.311032,5.517288,0.0,0.0,72.35883,18.651646,24.482489,10700.491,19869.89,-40.974663,0.0,15.37196,5.224149,-205.8936,-0.39479285,0.0,1.2305976,0.0,1.8997434,0.0,14.346547,1.5702659,96.43281,0.48811907,-106.47798,487.09705,68.42079,49.621666,117.112114,-0.67700076,-4.921848,1.1477293,7.4256935,-12.851418,7.665206,14.453649,226.97102,-59.681843,1.8873861,-58.410526,0.0,595.7118,0.0,-0.40734205,42.010098,215.30592,798.7828,30.946627,93.55995,-178.72742,-102.851006,80.24731,29.455393,288.33807,856.1662,122.854805,900.98804,-151.03041,10272.379,8146.0527,654.27374,188.37077,88.48469,279.2157,666.37274,286.25296,809.83765,-157.41861,25.077333,-44.37979,0.6222518,131.32248,551.57806,-178.18536,640.5552,336.97046,-289.1392,235.49768,69.82249,0.0,887.5955,-1.8843453,78.03576,-295.8602,-36.23463,-35.636066,-539.64777,-59.830826,-46.731663,-388.36053,-15.878559,0.0,-122.02087,0.0,49.290073
1,2015.0,0.0,571.2551,3904.4207,0.0,18.355867,0.0,302.57715,-1155.8938,138.10275,-1334.8107,-703.0268,-110.0916,-677.0813,885.4155,4.9986525,-295.69254,-141.0952,99.90827,840.4804,-547.523,0.0,0.0,-1719.0366,0.0,0.0,1749.136,0.0,760.4768,556.8218,0.0,-64.49949,0.0,6826.115,0.0,532.8912,1161.5302,0.0,3363.7415,0.0,434.61584,779.2557,69.03872,688.8729,1220.9956,540.5203,12.159736,512.49274,71.63563,0.0,233.93625,415.2543,41.06571,527.5881,0.0,383.1975,791.0758,985.8997,451.84833,616.55176,0.0,223.3361,-498.28357,158.18703,-28.904469,275.47394,-1.9870888,-21.364021,197.58089,-69.15097,111.59806,221.58192,239.91849,214.0963,2537.7822,78.83679,-241.06601,303.40268,0.0,244.20541,91.52379,1385.7749,151.09566,181.78903,25.547752,-0.28228718,48.725986,171.2604,-1.3925084,-0.7320362,-19.116093,13.982395,0.0,-2.9805636,-90.36648,157.35999,1325.4629,0.0,5.6605177,-3.3597589,-15.39917,-7.3935843,0.0,0.0,-26.554794,-6.946952,-3.734401,5842.418,6258.432,-50.7033,0.0,-15.322542,-182.72171,-57.05239,-0.23705989,0.0,195.91444,0.0,-6.1938543,0.0,49.81849,-1.3593749,672.20184,-0.43188167,-46.52785,-170.58789,167.47813,100.871765,-438.58087,-0.48737916,6.4349446,-38.22585,91.93373,21.989605,17.733786,9.886079,20.532866,7.0972753,12.477471,-54.01064,0.0,324.1401,0.0,-0.30802956,92.729576,976.9838,-396.3377,48.69723,119.41884,-44.732788,34.83422,23.899986,62.483185,-85.018875,1347.9708,-4.7564816,-3.4100602,5.913118,14268.761,5881.281,-1043.3558,-145.04074,-7.386482,-104.235214,-219.9414,140.54979,-835.0883,-444.6549,37.255466,-35.169895,1.375475,-239.04355,-262.23923,243.49881,-757.3942,-357.94724,-246.35654,-666.1836,-65.696465,0.0,562.52954,32.714462,171.54623,-43.901314,-40.378777,356.5642,948.72687,120.26837,50.03172,228.46645,-130.86713,0.0,1437.1687,0.0,-244.92003
1,2016.0,0.0,-463.04016,4729.6055,0.0,-14.871402,0.0,167.75185,2621.5742,810.2657,-1051.3595,11955.479,-97.495834,-568.8506,1823.4874,17.087542,-508.57834,-58.106915,486.22278,933.2758,-1142.0508,0.0,0.0,-545.0073,0.0,0.0,3244.4597,0.0,1212.2654,-1281.9357,0.0,89.25813,0.0,5415.7607,0.0,2385.9805,704.01624,0.0,4710.373,0.0,506.935,598.7854,132.74208,126.31104,1923.9691,495.88135,53.62216,-274.52417,63.66275,0.0,1381.54,472.08487,42.327286,736.0615,0.0,341.17548,929.5863,1269.0312,127.513336,1507.3167,0.0,30.999086,-1461.4855,704.2895,-344.9205,232.25156,-49.024612,-77.411575,22.53054,545.5801,110.19291,174.93513,180.55664,-123.86147,3229.8806,47.50052,241.7805,584.09033,0.0,-226.03264,-78.24326,1384.5177,213.83102,136.05968,9.29252,0.24450229,10.757098,112.788765,2.502396,3.276186,8.082463,99.09769,0.0,-18.130821,140.20569,357.5345,2038.7466,0.0,-5.6045337,16.604897,2.1139412,-4.393982,0.0,0.0,58.53799,54.81644,29.316248,5977.6387,2447.4587,-110.06719,0.0,-34.923542,188.5825,-335.18558,0.034528956,0.0,22.61385,0.0,-0.7173222,0.0,13.343494,-0.33219755,63.738506,0.4771633,208.2303,1144.0323,83.45365,4.859323,-531.53925,0.8136516,2.2927928,76.66651,16.49862,12.065913,-6.670513,-26.638922,56.44594,-25.72652,-7.525465,164.32512,0.0,-6.1248846,0.0,-0.1726057,4.1017175,40.502342,427.1921,45.084484,154.5166,404.18658,240.3815,57.017464,280.8807,212.75261,3604.4558,24.69092,-186.76111,320.51437,-1746.6572,11404.062,124.86602,174.97205,8.694451,246.49698,446.04147,188.34805,823.10077,586.1647,-3.6491613,19.601652,2.8129075,122.57197,477.51184,265.79807,212.17816,418.24536,537.9018,441.60916,55.849007,0.0,-435.2366,-8.322342,-23.610315,425.26044,300.6862,-218.7455,1219.2018,195.39511,85.99402,564.4845,-96.89657,0.0,1214.974,0.0,179.72382
1,2017.0,0.0,1148.8751,1881.3706,0.0,26.308811,0.0,471.12463,2091.4219,7.2686768,878.88794,15080.817,2.9002156,389.75522,436.69974,55.703434,1132.7977,2725.6917,183.83997,2117.2634,2425.4553,0.0,0.0,-1081.7532,0.0,0.0,3845.0479,0.0,3043.8103,2927.6558,0.0,287.32077,0.0,8031.9556,0.0,345.28525,1151.4209,0.0,5632.3525,0.0,822.5841,1177.5535,20.429703,1667.7008,3963.2922,855.84265,15.377447,838.09485,485.1274,0.0,2819.4856,751.9579,74.51315,1256.2888,0.0,540.36426,1202.3824,1384.6135,1096.7006,2599.8418,0.0,265.51184,-1804.1986,890.69464,-58.68224,665.8835,-35.778347,26.131561,154.61688,2108.266,165.23685,261.6744,239.43523,227.42545,4748.3203,91.31362,342.8634,1262.5883,0.0,-480.82147,-101.98056,2477.545,1082.4031,354.27985,23.131357,0.19240755,25.672344,-139.45528,0.024437232,0.5115982,13.049224,204.05363,0.0,3.1100664,287.4105,981.7358,1766.4473,0.0,-1.4113309,33.721546,4.6534643,-1.7075379,0.0,0.0,77.906456,75.30076,49.094173,7046.7197,8427.734,-115.45259,0.0,12.640516,174.57587,48.47659,-0.16048367,0.0,129.21552,0.0,-2.8481343,0.0,25.94283,-0.03093926,201.96884,1.1100193,90.13035,862.2573,181.94678,100.67504,-768.38763,-0.3746167,-7.3510838,4.1601915,12.671117,3.7734363,-4.101905,-18.215248,-9.131864,33.343468,13.5036,-120.80257,0.0,-4.43875,0.0,-0.31689176,-7.936061,-145.53185,507.74643,27.121939,51.255016,-98.88579,2.1699543,39.480526,219.64534,-193.79045,1817.6821,-45.838863,-58.6208,85.19956,7682.2383,6459.194,-623.5446,-111.23163,-67.59739,-315.28882,-548.5645,-304.52744,6.2120876,882.99506,68.16535,7.9705596,-1.1080687,-65.52956,-376.8025,353.50937,1662.7616,255.10054,665.2187,1647.2108,30.139921,0.0,380.87997,14.381577,7.6690674,165.87373,35.96949,305.8418,-354.0939,34.255386,12.800602,183.37439,-200.319,0.0,-558.93665,0.0,-24.341928
1,2018.0,0.0,632.9718,-2603.588,0.0,42.180954,0.0,-58.63943,-1790.6085,-1171.3538,-191.54004,22163.832,-64.4915,80.783264,1602.8555,45.704678,2.582013,1445.5992,1175.452,3605.5645,103.77765,0.0,0.0,-923.03455,0.0,0.0,3989.4116,0.0,2609.7983,1087.1896,0.0,193.1567,0.0,7781.407,0.0,1713.4404,1186.0565,0.0,4260.479,0.0,481.97818,822.6989,67.848434,758.80756,3204.3635,622.498,44.994034,285.67932,-3.7065883,0.0,2718.7026,752.0163,49.307446,799.2262,0.0,576.9218,1053.7185,1105.5872,496.4121,1683.6255,0.0,374.73837,-257.72986,1594.5432,221.206,348.91843,13.304431,46.96034,143.24507,1033.7465,174.37917,281.77618,146.10545,205.37184,3262.4363,112.354095,1189.1229,659.1695,0.0,534.16547,329.95184,2109.3938,513.50757,340.76154,22.326263,0.33957645,226.0885,28.339842,0.6159088,2.2257261,2.9887424,245.68335,0.0,14.815215,299.6632,631.39685,1917.3152,0.0,-6.7927914,37.947384,27.512316,3.4788785,0.0,0.0,56.9091,75.531364,38.47688,6767.2656,9890.692,385.4048,0.0,102.722626,165.4373,560.0072,-0.021253344,0.0,123.36824,0.0,6.442118,0.0,42.056137,-0.3693978,-83.303375,-0.77263284,-102.555786,-453.35565,183.84319,44.18445,1111.8555,0.2664508,-11.087745,27.709522,-88.30799,-4.8597608,42.59857,4.6936035,216.31612,33.679024,0.11587848,38.27763,0.0,226.66005,0.0,-0.090418994,-99.50327,422.32013,-1385.9083,27.41372,-85.1127,328.25836,5.653892,19.96575,128.39697,62.639145,2111.667,12.896197,152.34796,-26.555172,8726.904,-1643.4448,723.9577,10.910676,17.422743,90.26092,68.45622,209.96873,-211.5988,373.68805,-60.672016,17.993876,-1.070492,-347.88934,83.47572,-189.8209,-4073.6238,-182.15259,-1085.1582,-940.05817,-168.60515,0.0,-1651.0093,-18.989084,-643.175,-98.40149,-196.56813,-430.25803,-1657.4556,-113.08129,-63.593723,-976.43726,280.49722,0.0,-1959.3375,0.0,63.17127
1,2019.0,0.0,303.59622,4378.1187,0.0,20.932178,0.0,361.28436,-2716.9146,1575.3673,-1146.0481,6280.5664,-76.313286,28.018955,66.48482,6.835745,-128.7828,1589.3063,829.13336,416.32202,367.8576,0.0,0.0,-1511.9445,0.0,0.0,3070.54,0.0,2215.142,418.294,0.0,354.51337,0.0,5943.236,0.0,1865.3295,1394.8391,0.0,2645.0247,0.0,650.21606,883.46735,58.04174,1403.0688,2107.3862,626.87964,27.567644,846.5066,229.94205,0.0,1261.905,571.78156,51.288643,571.7982,0.0,360.32404,911.33215,656.5358,892.2257,2054.057,0.0,293.73373,-165.46765,637.91864,269.23422,340.91437,-3.2688165,12.568686,74.03824,-508.79565,76.32536,272.92874,564.26294,340.94772,4376.5146,35.678905,596.98303,440.77896,0.0,158.03085,-1.0942806,420.21457,78.35215,17.679235,-4.4078856,-0.028889341,-157.22466,-62.322903,-0.9636171,-5.467105,-11.060723,-50.18261,0.0,-19.853848,-12.033894,167.82285,-136.77556,0.0,19.176744,-0.75408894,18.634834,2.2581983,0.0,0.0,24.981947,6.5174174,1.6269176,-1391.5481,12021.462,-27.354792,0.0,113.24477,52.009773,-183.26956,0.16248302,0.0,29.634508,0.0,6.288664,0.0,60.664917,0.094084755,317.18164,0.5924258,634.0486,16.893576,37.61535,21.670042,-891.879,0.104472995,7.5245495,77.26688,-10.66133,-0.5011701,35.40284,30.990475,-22.41221,108.86943,4.916219,213.6911,0.0,48.462997,0.0,0.7899161,140.33084,774.008,177.85143,96.12672,74.250595,-123.531364,-55.306553,-33.399223,87.24993,-30.871271,585.77344,-57.625294,-278.4655,16.548414,15103.315,9015.391,479.97226,52.572895,-6.8184175,169.97887,-263.4101,38.43396,-467.81732,-268.76935,86.575516,-52.066723,-1.0685693,125.856224,-267.13474,15.475902,-1559.722,-221.65805,-319.72693,-859.55426,-140.34349,0.0,875.65027,-30.933472,264.4949,-188.44736,-72.4182,109.194275,812.72095,-58.76822,-37.297966,1108.8662,-248.97089,0.0,637.35376,0.0,-173.28891
1,2020.0,0.0,72.95842,-1842.7499,0.0,-60.93851,0.0,502.2302,3307.1348,-776.353,970.21954,17212.012,69.5515,163.19104,-570.4992,29.756268,213.3961,-257.71646,658.8615,-942.3322,467.783,0.0,0.0,-857.0342,0.0,0.0,2509.6096,0.0,2255.6912,1542.8268,0.0,121.23872,0.0,6410.2305,0.0,3641.0698,898.1641,0.0,5480.6255,0.0,582.9446,727.48035,191.49164,288.71716,2438.256,575.1859,75.27826,804.8547,-245.9356,0.0,1788.9303,632.1702,48.414005,1039.2174,0.0,301.37836,759.86786,922.1286,666.0141,1835.3387,0.0,265.77432,-293.6709,1036.0497,123.729996,319.6332,5.520426,-72.61736,167.82298,328.6084,180.77751,203.46875,395.10324,81.10596,7627.046,69.709984,60.214157,683.3869,0.0,162.58604,-34.516335,1849.3926,436.39865,212.98846,-23.909159,-0.011297935,434.5656,38.127907,1.3552332,-0.2977793,1.6041946,118.29898,0.0,-28.815536,141.27887,339.94443,-16.639772,0.0,-0.56406105,14.265828,-7.9489007,4.708625,0.0,0.0,-123.16897,-23.887693,30.396738,9420.913,11319.26,-158.75821,0.0,-69.660385,70.22509,-184.00368,-0.10195304,0.0,181.52989,0.0,2.93069,0.0,27.506355,1.0213082,665.1198,-0.65603167,528.01776,1478.901,244.60864,68.990585,141.52347,0.41537264,9.232589,53.124428,226.86987,12.221801,-2.7256713,19.399893,-7.8936334,36.034527,6.530045,333.8994,0.0,206.10089,0.0,-0.13796459,37.27928,58.338737,603.6327,48.959038,-59.83202,410.61105,-10.788639,-90.16912,127.7147,240.68723,173.08522,72.27935,-127.458885,175.59023,7904.125,2623.4294,906.26526,86.41113,32.425716,175.4105,252.33144,-72.351166,859.4117,839.014,20.830725,24.069458,-0.30119225,265.63098,546.6664,712.77637,132.87624,557.662,926.5503,1055.1271,-104.54001,0.0,-247.0203,-1.4264791,-24.039589,270.49356,133.73712,302.70938,524.9003,67.00494,153.4375,-224.25246,99.320915,0.0,592.8145,0.0,13.436588
1,2021.0,0.0,-278.9252,2093.928,0.0,-14.053638,0.0,262.35742,7409.394,707.72015,1632.0846,28762.209,126.61516,274.23343,581.0781,39.34165,121.65832,718.94275,632.87555,2106.2166,321.12958,0.0,0.0,5352.237,0.0,0.0,4068.1775,0.0,2992.9722,417.7917,0.0,-51.087547,0.0,7143.1396,0.0,954.5086,1111.7991,0.0,5623.263,0.0,751.682,966.7978,65.7995,1502.7921,3745.2485,701.1173,50.00675,-136.85707,313.0802,0.0,2546.163,948.67175,60.17258,1157.886,0.0,664.602,1078.0493,1281.5215,149.54985,1730.5751,0.0,319.4452,15.152244,-128.30151,231.06937,549.0293,-15.86179,-69.988556,194.4758,1375.0004,191.87346,263.1673,313.70587,-228.5366,3970.5693,113.43812,-401.75366,945.17834,0.0,-248.8129,-18.01724,1141.9113,850.0551,313.67114,20.34188,-0.2604159,-417.22903,-52.264305,0.3122868,1.7176396,16.862455,184.71338,0.0,4.2665534,274.2374,637.6238,3142.118,0.0,-8.863398,24.557652,-25.705496,-7.0090733,0.0,0.0,121.55882,24.388857,40.774,11438.638,7231.06,-315.4032,0.0,-124.18853,116.17227,-132.07056,1.1487703,0.0,41.88601,0.0,-5.7405705,0.0,25.055666,-0.89130163,-121.309395,-0.8232931,-630.9837,-730.8422,153.69336,3.583994,506.65762,0.7278461,-0.6228464,-103.96278,-279.04227,2.9312406,-52.684677,-11.758981,291.67667,-68.72985,2.6174061,162.19936,0.0,-84.676125,0.0,1.6882536,-181.23714,-8.570547,666.8392,-3.1156693,-116.88918,587.5853,-52.813904,-88.491844,-55.760094,-60.78216,-689.4041,-14.559449,216.37779,-104.15303,3952.9578,5712.7085,1749.9117,-96.23886,-1.9560478,-191.27242,-99.69635,-6.509111,618.2635,808.0016,-58.030212,103.13368,-0.5466833,312.76224,-167.9597,-379.00507,3894.0103,-137.12924,445.7605,1065.9581,273.13898,0.0,-90.26639,27.878057,220.23315,179.00984,31.835623,69.96603,245.00426,32.880825,-60.076126,353.03058,-27.227713,0.0,371.1475,0.0,84.93565
1,2022.0,0.0,836.83344,-5324.961,0.0,42.225918,0.0,42.875336,7489.921,-209.35352,1614.44,21706.791,100.950485,-9.306163,-787.0627,28.36675,769.3432,2033.0734,1485.6909,301.79138,844.4992,0.0,0.0,-2983.3896,0.0,0.0,2356.8657,0.0,2672.9194,1714.4136,0.0,190.66882,0.0,5951.738,0.0,-59.741207,1064.9103,0.0,5664.3247,0.0,768.0053,960.6116,55.145573,972.76575,3264.9707,775.21716,40.3727,240.82324,232.63124,0.0,2129.1821,733.6558,62.295757,1160.4795,0.0,530.1976,1287.6285,1280.9932,269.85416,1208.0618,0.0,424.9823,403.26086,1972.8165,420.8796,424.6413,30.284552,109.176605,156.75407,1545.0399,150.88475,336.0147,883.65,458.153,6390.1226,68.30489,1055.1403,1137.5868,0.0,840.4326,257.0092,2558.3528,807.7274,286.09744,53.84401,-0.23963448,287.2087,427.56375,0.076626256,-3.1153994,10.567046,193.06348,0.0,35.92684,271.7706,941.0114,890.5403,0.0,9.511571,31.821209,22.074018,-3.1956115,0.0,0.0,-6.347926,52.008553,34.80667,89.66259,2120.7104,-283.23068,0.0,86.083954,58.262848,-216.17412,-0.4263852,0.0,166.5538,0.0,14.67698,0.0,39.764137,-0.044756014,368.43304,1.1377743,-677.9011,418.82077,53.424862,59.98188,-1933.2533,-0.69112915,-2.8056858,-81.73525,-350.1542,3.7646346,-66.60595,0.15599531,-359.4076,-26.450315,12.545936,-227.22327,0.0,94.32263,0.0,0.32023793,-71.06712,473.58145,-728.65106,50.780994,23.390242,-142.83742,61.712875,-35.974693,43.67493,-3.2383754,1159.906,14.229074,-100.27303,206.5865,15218.066,5739.301,402.55273,-75.23484,9.195074,-222.1545,-206.81483,-469.65173,-698.3218,512.81396,-7.7552953,13.3284645,-0.22476307,-384.45514,-518.2839,-586.64014,-2833.3433,-520.5223,-1039.5708,-933.4009,-91.34879,0.0,-246.4066,-4.982481,-124.95974,126.41189,103.070206,-285.74872,317.35168,-24.282276,-47.721657,442.9131,-19.068989,0.0,309.3685,0.0,66.55316
