model,year,ATA,CHL,ARG,SGS,FLK,ATF,NZL,AUS,URY,ZAF,BRA,LSO,NAM,PRY,SWZ,BWA,MOZ,MDG,BOL,ZWE,NCL,COK,FRA,MUS,VUT,PER,PYF,AGO,ZMB,FJI,MWI,WSM,COD,COM,TZA,PNG,SLB,IDN,TLS,ECU,COG,BDI,KEN,COL,GAB,RWA,UGA,SOM,STP,VEN,GUY,GNQ,MYS,KIR,SUR,CMR,CAF,SSD,ETH,BRN,LBR,CIV,NGA,GHA,PHL,TGO,BEN,LKA,THA,PAN,SLE,GIN,TCD,IND,CRI,SDN,VNM,TTO,MLI,BFA,MMR,KHM,NIC,GNB,DJI,NER,SEN,ERI,YEM,SLV,HND,VCT,GMB,GTM,LAO,MEX,CPV,MRT,BLZ,SAU,OMN,JAM,VIR,HTI,DOM,PRI,CHN,USA,DZA,CYM,LBY,CUB,MAR,ESH,BIR,BGD,BHS,EGY,HKG,TWN,ARE,PAK,QAT,IRN,JPN,NPL,BTN,ESP,KWT,JOR,IRQ,AFG,ISR,TUN,PSE,PRT,SYR,LBN,KOR,CYP,GRC,CYN,SGR,TKM,TUR,ITA,TJK,UZB,PRK,AZE,ARM,KGZ,ALB,KAZ,MKD,BGR,GEO,RUS,CAN,MNG,MNE,XKX,BIH,SRB,HRV,ROU,UKR,SVN,MDA,BAY,CHE,HUN,AUT,DEU,SVK,CZE,POL,BEL,LUX,GBR,NLD,IRL,BLR,LTU,DNK,SWE,LVA,EST,NOR,GRL,ALA,FIN,FRO,ISL
1,2013.0,0.0,349.83792,65.876724,0.0,0.0,0.0,44.213593,243.28305,0.0,236.54768,18080.129,0.0,0.0,629.477,48.82087,0.0,561.3861,399.37094,2330.9556,0.0,0.0,0.0,755.2048,0.0,0.0,3187.0566,0.0,1212.6383,796.64545,0.0,39.77876,0.0,6437.5312,0.0,-118.91495,957.2123,0.0,3721.1797,0.0,660.66437,707.5371,10.973831,212.75479,2128.4954,512.09503,29.01729,163.1782,0.0,0.0,1738.0736,593.9141,52.12289,662.1796,0.0,434.51596,800.29626,1002.7198,173.40215,497.11902,0.0,248.40051,353.01498,241.37979,98.27971,222.00829,0.0,0.0,150.7719,447.72665,57.31253,199.06958,309.04437,19.500208,1126.8771,51.903145,0.0,635.913,0.0,0.0,0.0,1230.2512,341.47006,196.79695,23.104507,0.0,0.0,0.0,0.0,0.0,0.0,58.21851,0.0,0.0,108.684395,562.9694,936.3252,0.0,0.0,11.581546,0.0,0.0,0.0,0.0,-8.885787,54.123985,42.229965,2046.6243,9816.778,0.0,0.0,0.0,-10.133247,0.0,0.0,0.0,72.42138,0.0,0.0,0.0,7.8323483,0.0,-16.011402,0.0,-1.7072158,337.68115,126.98913,39.645245,636.7216,0.0,0.0,0.0,-8.476103,0.0,0.0,0.0,32.97498,0.0,0.0,215.74768,0.0,68.991776,0.0,0.0,0.0,64.27377,-240.12767,0.0,0.0,143.32018,29.684069,0.0,0.0,-21.617619,58.683178,1.189058,-17.92488,137.58762,8889.199,6744.4033,123.12707,-37.522392,-1.0978826,62.25534,52.00606,-72.3649,444.71497,293.16623,-19.64773,0.0,0.0,24.44676,63.34454,143.32426,-508.58643,136.40753,154.18779,-98.91447,6.2832403,0.0,-72.063225,0.0,0.0,232.2009,-61.375504,0.0,-124.556435,19.278913,-11.648624,86.41556,0.0,0.0,-591.6479,0.0,0.0
1,2014.0,0.0,622.0293,1608.3673,0.0,0.0,0.0,342.00586,46.329082,0.0,169.81001,13226.338,0.0,0.0,1212.079,30.213312,0.0,608.35645,287.34122,2276.0535,0.0,0.0,0.0,1321.8136,0.0,0.0,2340.15,0.0,1759.6572,705.27783,0.0,5.359928,0.0,6717.4653,0.0,111.16147,894.5213,0.0,3293.233,0.0,455.81464,855.7423,21.713583,8.606416,1974.6063,601.4075,21.319153,107.04173,0.0,0.0,1327.0344,602.3429,60.761463,694.46405,0.0,479.50357,840.4716,968.6671,319.67078,837.5459,0.0,271.10895,471.3205,331.61093,53.37587,207.83994,0.0,0.0,48.631367,320.83597,64.69849,178.61595,392.90662,36.977604,589.22205,82.01245,0.0,384.60397,0.0,0.0,0.0,775.2077,283.3956,197.93906,17.07999,0.0,0.0,0.0,0.0,0.0,0.0,179.03145,0.0,0.0,250.88118,401.00378,1762.5693,0.0,0.0,20.08473,0.0,0.0,0.0,0.0,32.363438,-7.355697,24.482489,4732.8467,10435.734,0.0,0.0,0.0,-4.554863,0.0,0.0,0.0,18.947742,0.0,0.0,0.0,-1.8515718,0.0,9.440884,0.0,-15.496011,282.21005,38.674225,49.076614,241.56436,0.0,0.0,0.0,12.53109,0.0,0.0,0.0,95.6277,0.0,0.0,-89.15351,0.0,240.0073,0.0,0.0,0.0,137.3601,338.61227,0.0,0.0,-37.03352,13.433864,0.0,0.0,162.0941,-13.729311,91.62642,538.67804,0.75144017,10128.917,6077.839,20.868303,109.324814,88.48469,121.59724,411.80627,165.40585,489.05508,-32.978394,25.077333,0.0,0.0,131.32248,185.92569,-69.20141,460.52643,149.52213,-215.06192,161.10197,6.907403,0.0,144.0983,0.0,0.0,-263.43283,-34.090954,0.0,-433.1486,-59.830826,-30.797237,-182.07417,0.0,0.0,-71.50817,0.0,0.0
1,2015.0,0.0,484.30603,1462.6924,0.0,0.0,0.0,186.74701,515.8006,0.0,67.53597,1663.4897,0.0,0.0,639.11084,4.9986525,0.0,-31.266085,321.0209,690.89557,0.0,0.0,0.0,-874.23883,0.0,0.0,1508.4891,0.0,1046.4283,629.40155,0.0,-0.8158771,0.0,6753.848,0.0,45.97972,1092.6426,0.0,3018.5442,0.0,397.90753,779.2557,23.568085,117.44191,1184.0669,503.38577,21.032488,125.28815,0.0,0.0,403.72073,415.2543,41.06571,461.543,0.0,383.1975,754.0903,970.87366,260.82843,454.57788,0.0,189.45891,-225.36053,301.06854,31.149286,170.14828,0.0,0.0,197.58089,27.111506,58.117622,185.49417,168.00017,12.700157,745.1707,78.83679,0.0,242.14897,0.0,0.0,0.0,1101.8802,128.374,172.90448,15.127648,0.0,0.0,0.0,0.0,0.0,0.0,35.36346,0.0,0.0,-82.81849,160.31615,456.91626,0.0,0.0,-3.3597589,0.0,0.0,0.0,0.0,-20.364225,-13.025986,-3.734401,2436.5637,1392.2914,0.0,0.0,0.0,-20.500673,0.0,0.0,0.0,63.497585,0.0,0.0,0.0,26.685093,0.0,3.6917217,0.0,-5.539859,-66.63441,131.80774,101.406425,-125.76922,0.0,0.0,0.0,-1.8243458,0.0,0.0,0.0,12.000429,0.0,0.0,-16.420696,0.0,151.59793,0.0,0.0,0.0,218.19278,-237.3954,0.0,0.0,53.732433,36.32908,0.0,0.0,-106.63272,19.1438,-7.076571,-60.550747,-190.90727,10064.191,4232.5845,-91.678375,-73.23591,-7.386482,-46.44674,-165.54727,184.2838,-590.2136,-218.28172,37.255466,0.0,0.0,-239.04355,-83.45735,181.87415,-758.75116,-310.81555,-69.70946,-323.1996,17.030102,0.0,17.304134,0.0,0.0,-19.151026,-19.989447,0.0,753.20557,120.26837,51.426865,181.0618,0.0,0.0,1246.6006,0.0,0.0
1,2016.0,0.0,-426.80927,1416.1083,0.0,0.0,0.0,109.59101,552.3512,0.0,54.361507,11550.404,0.0,0.0,1492.3871,17.087542,0.0,140.8815,399.75732,1040.1003,0.0,0.0,0.0,-216.94139,0.0,0.0,2239.9841,0.0,1251.9445,-724.8823,0.0,12.251022,0.0,5413.228,0.0,1151.7255,686.9027,0.0,3810.3955,0.0,463.24045,598.7854,78.23622,52.81392,1722.8091,418.69577,23.192738,-54.639797,0.0,0.0,1086.3265,472.08487,42.327286,625.3312,0.0,341.17548,860.31177,1200.9366,184.94388,721.2885,0.0,-8.425181,-1209.577,298.45886,-230.43471,130.91194,0.0,0.0,22.53054,224.22618,55.944805,132.66025,71.43707,-2.5807035,658.2833,47.50052,0.0,471.69824,0.0,0.0,0.0,1059.9661,145.56311,133.68878,1.2725068,0.0,0.0,0.0,0.0,0.0,0.0,93.382614,0.0,0.0,125.47199,349.04233,1003.28265,0.0,0.0,16.604897,0.0,0.0,0.0,0.0,27.450409,29.325733,29.316248,3389.974,-28.715166,0.0,0.0,0.0,22.615223,0.0,0.0,0.0,26.467674,0.0,0.0,0.0,13.664401,0.0,-0.7448795,0.0,-1.2633514,631.2937,61.016033,5.5137916,-217.92758,0.0,0.0,0.0,-4.2533956,0.0,0.0,0.0,-5.6940284,0.0,0.0,160.09209,0.0,29.131542,0.0,0.0,0.0,76.07729,247.82532,0.0,0.0,207.43102,36.782608,0.0,0.0,149.53954,34.821312,22.594002,-85.450226,138.83943,1057.0446,9191.721,6.3116074,88.5462,8.694451,113.356285,295.92407,86.49349,565.4247,149.02126,-3.6491613,0.0,0.0,122.57197,204.29039,64.11105,395.42767,308.89612,367.99286,182.16954,26.269964,0.0,40.07412,0.0,0.0,350.56757,207.6848,0.0,1031.9895,195.39511,55.31808,318.84326,0.0,0.0,1094.2754,0.0,0.0
1,2017.0,0.0,912.6301,-83.83244,0.0,0.0,0.0,262.7684,504.31775,0.0,290.01178,15062.336,0.0,0.0,299.93588,55.703434,0.0,1788.089,290.30045,1964.9034,0.0,0.0,0.0,-553.4442,0.0,0.0,3015.3167,0.0,2012.2429,1714.1044,0.0,65.27853,0.0,7927.1274,0.0,547.5132,1092.5564,0.0,4897.9404,0.0,755.49365,1177.5535,13.491202,284.48477,3105.8042,795.05707,18.728127,301.74097,0.0,0.0,2241.5764,751.9579,74.51315,1088.5133,0.0,540.36426,1180.6775,1359.2476,332.5105,779.67444,0.0,218.60866,-1314.9347,420.76428,-45.64191,389.42532,0.0,0.0,154.61688,963.4179,87.10042,196.76451,213.89421,45.23027,953.24774,91.31362,0.0,979.14813,0.0,0.0,0.0,1844.0569,670.5351,332.5248,12.328104,0.0,0.0,0.0,0.0,0.0,0.0,190.82562,0.0,0.0,265.9527,917.29065,1135.4302,0.0,0.0,33.721546,0.0,0.0,0.0,0.0,50.42527,49.09519,49.094173,4048.8628,5218.4116,0.0,0.0,0.0,18.172647,0.0,0.0,0.0,55.702248,0.0,0.0,0.0,5.9669337,0.0,-4.239845,0.0,-12.691771,657.4589,152.63701,100.490585,-198.51222,0.0,0.0,0.0,-5.049337,0.0,0.0,0.0,-13.029796,0.0,0.0,-74.50157,0.0,20.675514,0.0,0.0,0.0,-143.82816,599.1628,0.0,0.0,27.460629,32.121777,0.0,0.0,-153.03221,-7.6461387,-21.292027,15.849952,132.67831,4051.5718,5567.2007,-35.159977,-3.9397948,-67.59739,-194.21002,-366.6359,-128.47911,75.59325,229.85776,68.16535,0.0,0.0,-65.52956,-161.21922,293.5284,1145.9893,315.05005,377.24988,772.65344,6.701662,0.0,57.728596,0.0,0.0,149.15913,29.942621,0.0,-453.07562,34.255386,-11.715596,150.43571,0.0,0.0,-501.05225,0.0,0.0
1,2018.0,0.0,638.99133,652.34467,0.0,0.0,0.0,-27.358519,355.24744,0.0,154.8695,19784.854,0.0,0.0,1334.561,45.704678,0.0,1438.1224,572.5161,3047.34,0.0,0.0,0.0,-306.94424,0.0,0.0,3084.9326,0.0,2015.3821,856.4404,0.0,57.90959,0.0,7709.846,0.0,799.7411,1125.8945,0.0,3682.3794,0.0,488.71878,822.6989,21.69136,255.29208,2676.5334,546.02356,32.37597,81.01399,0.0,0.0,2292.1584,752.0163,49.307446,694.2729,0.0,576.9218,1008.3582,1048.5872,244.71391,666.1715,0.0,317.3415,-222.4729,503.85223,141.31927,210.41399,0.0,0.0,143.24507,522.936,101.52962,197.93146,137.51756,8.468645,967.2837,112.354095,0.0,553.37866,0.0,0.0,0.0,1731.4585,339.59653,329.28387,10.267068,0.0,0.0,0.0,0.0,0.0,0.0,240.60863,0.0,0.0,280.5241,582.5815,1107.6631,0.0,0.0,37.947384,0.0,0.0,0.0,0.0,41.56984,38.279873,38.47688,2562.6484,3207.418,0.0,0.0,0.0,22.093933,0.0,0.0,0.0,57.970234,0.0,0.0,0.0,18.195782,0.0,6.0479097,0.0,-16.78218,-361.081,149.41383,44.339954,392.6487,0.0,0.0,0.0,7.6567307,0.0,0.0,0.0,68.92133,0.0,0.0,-0.7102569,0.0,157.7079,0.0,0.0,0.0,84.54349,-930.27423,0.0,0.0,116.3438,36.931194,0.0,0.0,85.42659,40.093517,-2.4546092,-8.480558,11.783279,6847.498,-174.34044,77.995285,-39.009785,17.422743,65.09963,46.535378,121.61826,-217.80586,75.907265,-60.672016,0.0,0.0,-347.88934,83.56934,-166.50732,-3378.4888,-144.45415,-725.0843,-468.63828,-53.86253,0.0,-316.00037,0.0,0.0,-110.605835,-127.16542,0.0,-1323.7351,-113.08129,-26.47997,-609.7901,0.0,0.0,-1794.7847,0.0,0.0
1,2019.0,0.0,408.36044,2065.5134,0.0,0.0,0.0,208.13048,-124.97043,0.0,-70.66557,8679.209,0.0,0.0,-48.32685,6.835745,0.0,1369.1085,213.66103,147.5222,0.0,0.0,0.0,-555.4613,0.0,0.0,2398.833,0.0,1991.2623,499.6548,0.0,89.07555,0.0,5941.5312,0.0,653.2226,1301.0145,0.0,2377.3757,0.0,589.2489,883.46735,29.717077,211.48528,1899.6804,604.3361,8.532139,143.58548,0.0,0.0,1124.59,571.78156,51.288643,492.6804,0.0,360.32404,889.8174,575.98157,214.58496,732.66235,0.0,259.55084,-20.97793,355.9587,156.98477,206.60408,0.0,0.0,74.03824,-158.01591,44.03272,211.20692,424.77942,-5.5100417,429.6645,35.678905,0.0,328.82852,0.0,0.0,0.0,299.7355,78.32029,23.236105,-10.66125,0.0,0.0,0.0,0.0,0.0,0.0,-29.44719,0.0,0.0,-20.281168,165.94385,42.38959,0.0,0.0,-0.75408894,0.0,0.0,0.0,0.0,10.777494,-2.3720865,1.6269176,73.56633,5560.724,0.0,0.0,0.0,14.266379,0.0,0.0,0.0,15.050378,0.0,0.0,0.0,34.456196,0.0,-4.836117,0.0,-2.5393457,12.966432,18.287756,21.85078,-152.47789,0.0,0.0,0.0,-1.4637029,0.0,0.0,0.0,-14.060586,0.0,0.0,175.08928,0.0,19.76109,0.0,0.0,0.0,193.97098,-25.368729,0.0,0.0,7.8454614,15.59294,0.0,0.0,-47.62301,29.08869,-42.546337,-187.88914,3.9008102,12295.593,7951.2817,33.410763,27.38666,-6.8184175,51.416912,-133.15092,-55.003548,-221.59396,-79.40222,86.575516,0.0,0.0,125.856224,-71.97912,-19.707558,-1169.1044,-240.20613,-123.27949,-398.48776,-45.950745,0.0,109.040405,0.0,0.0,-153.23485,-51.95433,0.0,639.3589,-58.76822,-15.801133,588.89484,0.0,0.0,554.48157,0.0,0.0
1,2020.0,0.0,239.1739,-1171.6824,0.0,0.0,0.0,311.2619,644.06885,0.0,178.35703,13455.487,0.0,0.0,-540.9769,29.756268,0.0,-90.683205,489.18268,-953.67224,0.0,0.0,0.0,-112.86402,0.0,0.0,2047.4474,0.0,1798.0468,1047.2634,0.0,33.51627,0.0,6325.809,0.0,1735.0215,860.9579,0.0,4604.637,0.0,549.14197,727.48035,97.464226,209.52028,2099.2202,519.2217,61.010777,369.72052,0.0,0.0,1496.1604,632.1702,48.414005,917.4477,0.0,301.37836,803.31854,902.8098,370.54782,1058.1915,0.0,222.56139,-103.46169,345.34747,146.2411,187.39784,0.0,0.0,167.82298,161.39526,85.92617,167.5124,266.62054,-0.3840994,1718.9971,69.709984,0.0,548.72925,0.0,0.0,0.0,1405.5731,284.6194,201.73776,-23.662115,0.0,0.0,0.0,0.0,0.0,0.0,115.09924,0.0,0.0,127.73238,322.08328,492.48254,0.0,0.0,14.265828,0.0,0.0,0.0,0.0,-61.618378,-0.007293304,30.396738,3259.2388,6885.3813,0.0,0.0,0.0,4.6598787,0.0,0.0,0.0,72.5849,0.0,0.0,0.0,8.43618,0.0,-5.180327,0.0,-1.5166328,989.93756,170.17442,68.98717,110.29296,0.0,0.0,0.0,-3.4842608,0.0,0.0,0.0,-5.1878557,0.0,0.0,84.79863,0.0,78.916435,0.0,0.0,0.0,-80.788925,446.91583,0.0,0.0,244.51532,6.107792,0.0,0.0,143.5637,17.582838,45.91517,-36.439,119.072556,10097.352,2900.5305,102.93587,93.30426,32.425716,91.10814,156.9456,-7.886118,732.66187,296.06406,20.830725,0.0,0.0,265.63098,194.38248,511.23877,270.52203,388.80542,602.65076,455.5507,-27.409023,0.0,-111.10141,0.0,0.0,203.16016,97.09261,0.0,508.81467,67.00494,95.26193,-40.72306,0.0,0.0,566.39874,0.0,0.0
1,2021.0,0.0,-182.99063,850.5801,0.0,0.0,0.0,132.52045,1477.6896,0.0,294.40073,26229.584,0.0,0.0,508.00473,39.34165,0.0,489.408,487.82303,1843.8181,0.0,0.0,0.0,2497.9802,0.0,0.0,3313.473,0.0,2055.4885,248.91872,0.0,-14.517438,0.0,7110.4634,0.0,381.82455,1047.3962,0.0,4732.5337,0.0,707.066,966.7978,27.308752,266.64166,3163.773,639.361,26.187527,100.83861,0.0,0.0,1975.1125,948.67175,60.17258,988.9213,0.0,664.602,1093.8638,1273.0038,244.26657,938.86383,0.0,269.1314,90.27033,359.12683,157.47684,325.6734,0.0,0.0,194.4758,608.26715,107.43517,195.77028,214.89569,24.611727,581.47644,113.43812,0.0,731.7375,0.0,0.0,0.0,923.05206,516.08154,300.81696,13.624481,0.0,0.0,0.0,0.0,0.0,0.0,173.51105,0.0,0.0,244.123,588.3001,1390.0786,0.0,0.0,24.557652,0.0,0.0,0.0,0.0,54.98161,20.794271,40.774,5000.5415,6713.4478,0.0,0.0,0.0,20.226786,0.0,0.0,0.0,18.481203,0.0,0.0,0.0,24.528374,0.0,-4.170026,0.0,-5.4386406,-499.74313,124.83408,4.0478835,342.0286,0.0,0.0,0.0,5.5018086,0.0,0.0,0.0,110.18863,0.0,0.0,12.367148,0.0,-40.770466,0.0,0.0,0.0,36.5674,309.9384,0.0,0.0,260.40494,-30.92943,0.0,0.0,-44.125336,3.4306953,-3.520529,133.89651,-30.63648,4740.8535,5502.139,89.535965,-54.62609,-1.9560478,-108.87839,-71.19551,22.842964,361.0077,173.83879,-58.030212,0.0,0.0,312.76224,-70.42512,-263.32846,3058.5134,-127.72428,215.31624,444.58792,107.932526,0.0,94.20608,0.0,0.0,154.30669,19.989391,0.0,170.16986,32.880825,-64.7292,210.44113,0.0,0.0,345.0947,0.0,0.0
1,2022.0,0.0,610.04535,-2252.5037,0.0,0.0,0.0,29.152975,1594.2438,0.0,278.8765,17973.809,0.0,0.0,-752.2928,28.36675,0.0,1561.0962,667.6148,-73.20692,0.0,0.0,0.0,-1490.564,0.0,0.0,2243.0352,0.0,2207.7402,1246.4006,0.0,62.75215,0.0,5895.4077,0.0,187.81854,1018.6681,0.0,4860.878,0.0,715.7766,960.6116,37.71239,160.5403,2649.7114,708.1709,22.471407,-131.19263,0.0,0.0,1771.6638,733.6558,62.295757,1031.7377,0.0,530.1976,1179.5082,1150.4525,63.421658,368.83527,0.0,365.63147,400.716,629.18585,249.94481,264.04593,0.0,0.0,156.75407,733.0589,89.7693,259.5276,610.7908,56.345894,1231.0336,68.30489,0.0,906.9049,0.0,0.0,0.0,2032.764,499.36795,273.10123,35.765205,0.0,0.0,0.0,0.0,0.0,0.0,187.82916,0.0,0.0,250.05652,878.65265,814.2391,0.0,0.0,31.821209,0.0,0.0,0.0,0.0,10.559306,35.034264,34.80667,772.6132,2014.6223,0.0,0.0,0.0,-3.2375104,0.0,0.0,0.0,65.80577,0.0,0.0,0.0,12.316172,0.0,7.066356,0.0,-13.923637,288.55283,57.833553,60.75011,-899.58655,0.0,0.0,0.0,3.1021285,0.0,0.0,0.0,-126.02368,0.0,0.0,-52.865223,0.0,32.154766,0.0,0.0,0.0,162.58403,-267.8295,0.0,0.0,6.169192,13.937848,0.0,0.0,-11.9921465,7.4733834,7.2045226,-79.04443,115.55677,11243.191,5828.71,102.058914,-69.48875,9.195074,-100.25718,-94.615265,-361.01663,-482.666,-73.28518,-7.7552953,0.0,0.0,-384.45514,-234.8007,-444.09384,-2485.3833,-346.02087,-546.09106,-388.8765,-37.258347,0.0,-61.422226,0.0,0.0,133.4655,75.69792,0.0,287.68695,-24.282276,-20.227497,238.42819,0.0,0.0,303.304,0.0,0.0
