,SLAND_domestic,SLAND_domestic_Std,95%_CI_Lower,95%_CI_Upper
AFG,0.002264131289438857,0.022365271735422857,-0.04212685763158403,0.05895548311818474
AGO,0.14993844539711668,0.15950627106497828,-0.10429724704726089,0.506172715575825
ALB,4.834758836184012e-05,0.00028367287034885213,-0.0004960380734432647,0.0006759842477358312
ARE,0.00048709610474610595,0.004345477388471523,-0.006445143126003188,0.010364390642263788
ARG,0.17582497248890194,0.6456650708282139,-0.9304330155186346,1.6181787126470684
ARM,-8.187744873945547e-06,0.00020105866275006956,-0.0004483296643970213,0.000416923703291847
AUS,0.1295456288945805,1.3471573484716908,-2.4089289834725043,3.2418373394374935
AUT,-0.0025958536578570652,0.005505140641385941,-0.015368787317967373,0.007521582815679855
AZE,0.0001257067897558098,0.0014388911309913285,-0.002783858706958254,0.0035551236336950703
BDI,0.0009698657219314019,0.0015826461528371948,-0.0013390386120830195,0.005001300535260519
BEL,-0.0001304766176964632,0.0022137757433892936,-0.004351045496665387,0.0042693298267102225
BEN,0.001926936890558802,0.010711601222835222,-0.01580123174315375,0.022411820136735604
BFA,0.01320747531768296,0.054490063551332214,-0.07824740297693164,0.12127523525179283
BGD,0.06679178987984823,0.10273913656381728,-0.08312657895257486,0.3006839182794402
BGR,-0.00046316949298654973,0.0037337749552206175,-0.009459429333682993,0.005208452200343957
BHS,1.569072782406622e-05,5.7506319940311875e-05,-8.57063261852032e-05,0.00014647192866878666
BIH,-0.00014739154771817602,0.0007094368478074502,-0.001860932124460622,0.0010271370493905162
BLR,-0.004616023124281301,0.015350792226855111,-0.03642615456219177,0.029836758470399634
BLZ,4.72439140322613e-05,8.922386242852448e-05,-9.712101289644694e-05,0.00027496440073940183
BOL,0.03894015134913281,0.10346482479617114,-0.1225758935480045,0.29444531201192586
BRA,5.763686475975058,9.666020470047835,-10.948296058625665,29.26009589678426
BRN,0.00016717065310666598,0.00029711364935140733,-4.697029932732195e-05,0.0010783877724745065
BTN,0.00022777525091719462,0.0004241190225464957,-0.00032847057704092164,0.001240979053204635
BWA,0.002795020330644274,0.012575422757041418,-0.01674560651985395,0.032609663302689405
CAF,0.009986440001299408,0.012264322680934013,-0.00787143974504083,0.03842430542379641
CAN,-1.8403631364357764,1.832863645309758,-6.416559201582232,0.6306615198967912
CHE,-0.0009436813890372778,0.004036498001110601,-0.009644308588631639,0.0047361576742958565
CHL,-0.00527553649405678,0.0203594728961466,-0.05421493160319421,0.03629288061637143
CHN,13.35844246664451,23.066967988615012,-23.937707113854295,66.33791749718725
CIV,0.04526392675977292,0.1356555365007714,-0.2404845004773524,0.3089486316052598
CMR,0.06554179521131398,0.061072387050289945,-0.027280418130656507,0.20846352699280063
COD,1.4302952166607756,1.0718519528171122,-0.2993450638967865,4.147924945416477
COG,0.02442434327140259,0.023185431907675382,-0.006975847367382907,0.0834106919551799
COL,0.3600904187318196,0.5354865067676514,-0.5081530285390865,1.6098462578590873
COM,-8.47133425004931e-08,4.587997879878967e-06,-1.2145728560065418e-05,8.651473099411459e-06
CPV,2.6718440854200234e-07,1.2512466515751099e-06,-1.4084123074066363e-07,3.7897462038335557e-06
CRI,0.0030828481879734046,0.0036061490988260098,-0.0012185172613858753,0.013013085434680475
CUB,0.0015654022290478348,0.011318268269711801,-0.017745899554830833,0.020369312849160843
CYP,8.429456536796167e-06,5.158352478554082e-05,-0.00010072825480223704,0.0001281137756464607
CZE,-0.0012760285041452568,0.011039715088293807,-0.023233916916503176,0.019102801633524746
DEU,-0.00031448186719105266,0.2349598069071883,-0.3646721318779408,0.4885440841217833
DJI,3.982386810351835e-06,5.8628775978411954e-05,-0.00010567989088125489,0.00015666278495541405
DNK,-0.0006558775880273896,0.004111531545392289,-0.009301079180459563,0.006978032320599704
DOM,0.002878595959781367,0.009548278813705513,-0.010899463449015814,0.02493968175276549
DZA,-0.0073321799807748635,0.06815177659179374,-0.14328066359662484,0.10882076365183502
ECU,0.023084536740780984,0.028080245777587103,-0.018382499302434043,0.09884662310831105
EGY,0.003338397985427526,0.11087265606247027,-0.112955187582277,0.10777861958762686
ERI,0.0003934877810405157,0.0007288076885028434,-0.0007006537028710422,0.0022407230667346404
ESP,0.020655724833142472,0.11449953321661743,-0.2176132950677989,0.2824567288781676
EST,-0.00036094874083170115,0.0008007482524028868,-0.0018715013466736898,0.0010323879514111925
ETH,0.39900497826021875,0.4042077896498077,-0.12548646970328395,1.437288242805403
FIN,-0.017428599190890945,0.028811369937582876,-0.08070674354240859,0.029631822190440187
FJI,2.0087993312974468e-05,0.00012936586997604237,-0.0002841432899012423,0.0002561779106517796
FRA,-0.004642038960820994,0.23524208856932047,-0.4576500050479726,0.5111048188568458
GAB,0.007023587087204009,0.006860887088134349,-0.0020951625455317992,0.023903470650901513
GBR,-0.018619200396888975,0.06972521614039838,-0.16863380535302094,0.0940372684117893
GEO,-8.82030146510551e-06,0.00046781543862517406,-0.0009904698451703633,0.0009644136336613764
GHA,0.03321437041711628,0.07568224111179958,-0.11018906301147319,0.19874176350497977
GIN,0.015676241978881556,0.022760999364970513,-0.02266040891258863,0.06801747974083532
GMB,4.294244478043298e-05,0.00016161464796195457,-0.00022492302597203686,0.00042144854820944626
GNB,0.0001837277237645417,0.0004916272249194617,-0.0005975539573368294,0.0013675050950002973
GNQ,0.000586738442231676,0.0006788776814369133,-0.00016570879079566615,0.002194212620451441
GRC,0.003497967434521022,0.010908979533939944,-0.016964791218163182,0.031136255759140443
GTM,0.017874552746951145,0.021511184877053842,-0.012624616657994006,0.07139468329825653
GUY,0.0008069101992101694,0.001138053645774782,-0.001071058207580488,0.003797007845334473
HND,0.006569939042492057,0.010327465605406125,-0.00909132597215989,0.02998786154904604
HRV,4.387337613223784e-05,0.0012060225293967167,-0.0026903093947072926,0.002618194608231757
HTI,0.0005355596685392934,0.00414154947583194,-0.008297774567252395,0.006562828351960005
HUN,-9.702529045922793e-05,0.004571700374528654,-0.010068833982076532,0.01007409486304746
IDN,4.525216451028021,4.599156350888407,-2.7782646551837775,16.239930673698435
IND,24.23697108424743,24.4420504345309,-7.930239413299612,86.40151912890269
IRL,-0.0007680366200611344,0.0026800973222067333,-0.007060667090515587,0.002135345122861331
IRN,0.010830154348617116,0.15426033287373922,-0.2955981029673503,0.324023509818807
IRQ,0.00752592006226829,0.03220792542537628,-0.05775680963509869,0.08249362824270884
ISL,-0.00017334633185747068,0.0007717915910506613,-0.0019606111860896785,0.001067517325690998
ISR,0.000695511592234757,0.003154247694096051,-0.005499538011154313,0.008483174233929226
ITA,0.004011353761088093,0.09335293432689179,-0.18619879323985125,0.18181558581101087
JAM,6.353019845629957e-05,0.00031675728374075293,-0.0002791241025650761,0.0004858658696351491
JOR,8.530505941384198e-05,0.0014474126175673052,-0.0024794175618950754,0.0024655984163929083
JPN,0.09891487811772182,0.21475683095954562,-0.23749990839830634,0.6178634651136554
KAZ,-0.04459258615289623,0.16227123582246383,-0.40510128683024543,0.2192027278240318
KEN,0.11993843633788819,0.1553027222549589,-0.07233462583048896,0.5316220734791601
KGZ,-0.00068512929280947,0.00251721642183667,-0.006956783452432705,0.0031358470623642745
KHM,0.01979833695742744,0.029844953214199728,-0.023655768292322455,0.09829168275013282
KOR,-0.006993798659661564,0.04273624010306948,-0.10738937577876197,0.07713214740379556
KWT,2.264299335938644e-05,0.0008994848871584336,-0.001434820991514394,0.0017302396061010961
LAO,0.010110607942362822,0.018666335509199935,-0.023629343963330815,0.05239119029849567
LBN,2.7882690878500458e-05,0.00015187514977276233,-0.00022517880220703686,0.0004035353033563752
LBR,0.004598805821270469,0.005026020887633651,-0.002965356262814488,0.01717083090249024
LBY,0.00011722217295586909,0.016224302981045005,-0.026437079064498433,0.01910477098382751
LKA,0.016289976148161092,0.03360279003683413,-0.02412541218910854,0.0855865646324669
LSO,5.713050289486524e-06,0.00032036021511238196,-0.0007102808427883453,0.000735636343715443
LTU,-0.0006803073831719279,0.0015801941403366026,-0.004453292123961847,0.0017683535620960924
LUX,-1.1254975894825718e-07,2.1352955095358333e-05,-3.855403971984461e-05,3.963561705970341e-05
LVA,-0.0004537690084234093,0.0008606014474509778,-0.0026245777105486923,0.0010155028917643413
MAR,-0.004409722008251445,0.06025502006745586,-0.11898704931391002,0.10963879893104028
MDA,-1.2450197685611439e-05,0.0002174428442863399,-0.0005393101686839944,0.00047200515807860555
MDG,0.027226078982956616,0.054734735235179306,-0.07336015169641817,0.1413395856328113
MEX,0.9535221601888333,1.9727809554288642,-2.254239834469358,5.858687626026513
MKD,-4.9349134528256724e-05,0.00036574952406462,-0.0006925701884706965,0.0005169200004776223
MLI,0.014467568121816736,0.049658317740273204,-0.08943510241259396,0.1350238597543814
MMR,0.06717132852336469,0.0848592850306789,-0.06366548370014356,0.2791583289248108
MNE,-1.1322505492023791e-05,6.391137653822227e-05,-0.00015504614048940748,0.00012139842912957739
MNG,-0.014643534176599636,0.04696989928050419,-0.11571124993438377,0.08531397549368994
MOZ,0.07491876602969458,0.17547647677049133,-0.2633328186667754,0.44217332056863734
MRT,0.00067275170197158,0.004030834586109945,-0.006708275387299573,0.011398357363168325
MUS,2.06300616169417e-06,2.182393778745743e-05,-3.0236655516509702e-05,5.399754022186141e-05
