iso,Country,CSCC_mean,CSCC_gtc_mean,Fa_mean,Fa_tf_mean,Fa_mf_mean,Fb_mean,Fc_mean
ABW,Aruba,,,,,,,-0.0002397301059533697
AFG,Afghanistan,0.20954417977513143,0.9918649942075205,0.0038676525,0.000107642336,0.000107642336,-0.0008153955000000001,-0.002820021169116525
AGO,Angola,0.6074959349917365,2.8755461148493406,0.054009665,0.041856065,0.041856065,-0.02631082675,-0.004457126746684716
AIA,Anguilla,,,,,,,-3.685337168111426e-05
ALA,Aland,,,5.9574e-05,3.3920703e-06,3.3920703e-06,,
ALB,Albania,0.012255997102700412,0.05801303814938997,0.00095912727,0.0005201092,0.0005201092,2.9102500000000002e-06,-0.0013738480371962391
AND,Andorra,,,,,,1.7402500000000002e-06,-0.00012335746668316422
ARE,United Arab Emirates,1.6008636649111119,7.577593572047924,7.707184e-05,0.0,0.0,0.000104933,-0.05898735792730155
ARG,Argentina,0.7270111422806147,3.4412642870863643,0.053241953,0.010121456,0.009215087,-0.02068752375,-0.05048134715909393
ARM,Armenia,-0.013932371665070492,-0.06594805809305616,0.00013481292,0.0,0.0,-0.00015178825,-0.001665242057802542
ATA,Antarctica,,,0.0,0.0,0.0,,
ATF,French Southern and Antarctic Lands,,,3.0001209e-05,0.0,0.0,,
ATG,Antigua and Barbuda,,,,,,2.61025e-06,-0.0001653468121192552
AUS,Australia,0.700766926427892,3.3170388419669825,0.031349715,0.012442941,0.011929596,-0.0100118775,-0.10975505897688512
AUT,Austria,-0.196827217833416,-0.9316700062284091,0.0026434965,0.002294601,0.002294601,0.00118526125,-0.017986785492697898
AZE,Azerbaijan,0.02722169712424329,0.12885229496439024,0.0006638768,0.00018589904,0.00018589904,-0.000818989,-0.009707946937085637
BAY,Baykonur Cosmodrome,,,1.7914026e-05,0.0,0.0,,
BDI,Burundi,0.13589396370246046,0.6432460479943837,0.0015295871,0.00096892426,0.00096892426,-0.0006733195,-0.00015280523171050302
BEL,Belgium,-0.09223389368455766,-0.4365836861865827,0.0002905615,0.000109339606,0.000109339606,-0.00044618225,-0.026609250746868714
BEN,Benin,0.26599770012278456,1.2590843972599386,0.0014305541,0.0002168439,0.0002168439,-0.00308360075,-0.0018500087716997863
BES,"Bonaire, Saint Eustatius and Saba",,,,,,,-2.776293646447545e-05
BFA,Burkina Faso,0.8532109734554957,4.038623731531878,0.0036377665,0.0,0.0,-0.0048764097499999996,-0.0012476674281289878
BGD,Bangladesh,2.043659086409206,9.673539537479344,0.0069338297,0.0017850398,0.0017850398,-0.0015290295,-0.023399082531410938
BGR,Bulgaria,-0.029804131487607275,-0.14107609544220867,0.0037478432,0.0023606052,0.0023606052,0.0008913600000000001,-0.01203644662468674
BHR,Bahrain,,,,,,1.64e-07,-0.009262178056829377
BHS,The Bahamas,0.016217646404989655,0.07676527105074825,0.0001848252,2.6771642e-07,2.6771642e-07,4.626e-06,-0.0006323467940397797
BIH,Bosnia and Herzegovina,-0.015258230861091801,-0.07222393426004352,0.0017871088,0.0012239988,0.0012239988,-6.7666e-05,-0.005664257168264172
BIR,Bir Tawil,,,-1.047287e-06,0.0,0.0,,
BLR,Belarus,-0.16725856093171015,-0.7917085158257283,0.006612721,0.005500083,0.005500083,-0.0016868745,-0.01658627358677454
BLZ,Belize,0.009407807634654599,0.04453130158549782,0.0011134244,0.0007092984,0.00060504954,-0.001662854,-0.00016299665724354412
BMU,Bermuda,,,,,,,-0.0001577855836550312
BOL,Bolivia,0.2514925167315836,1.190424968705388,0.029639699,0.025496826,0.016910939,-0.015615539500000001,-0.005684400592175886
BRA,Brazil,4.682420881406831,22.16396258487226,0.2816678,0.24154212,0.1254366,-0.30940928925,-0.13617688005776302
BRB,Barbados,,,,,,1.327325e-05,-0.0004259960812013312
