iso,CSCC_median,SLAND_mean,SLAND_std,SLAND_total_forest_mean,SLAND_total_forest_std,SLAND_managed_forest_mean,SLAND_managed_forest_std,ELUC_mean,ELUC_std,EFOS_mean,F_ab_upper,F_ab_lower,F_ac,F_abc_upper,F_abc_lower
ABW,,,,,,,,,,-0.00023973010595336968,,,,,
AFG,0.8931469212365873,0.0038676527,0.002688398,0.000107642336,0.00016912787,0.000107642336,0.00016912787,-0.0008153955,0.0004977467531777581,-0.002820021169116525,0.0030522572328789237,-0.0007077531640663668,-0.003635416669116525,0.00023223606376239882,-0.003527774333182892
AGO,2.8426051337878135,0.054009672,0.017304536,0.041856065,0.013941363,0.041856065,0.013941363,-0.026310826750000002,0.013541756478809985,-0.004457126746684716,0.027698845504323957,0.0155452386424942,-0.03076795349668472,0.02324171875763924,0.011088111895809483
AIA,,,,,,,,,,-3.6853371681114266e-05,,,,,
ALA,,5.9574002e-05,0.00016649596,3.3920703e-06,9.229767e-06,3.3920703e-06,9.229767e-06,,,,,,,,
ALB,0.05531354338288403,0.00095912715,0.00067007367,0.0005201092,0.00031733245,0.0005201092,0.00031733245,2.9102499999999943e-06,0.00011982854052179446,-0.0013738480371962391,0.0009620374018729628,0.000523019448987484,-0.0013709377871962392,-0.0004118106353232764,-0.0008508285882087551
AND,,,,,,,,1.74025e-06,1.2164909576318273e-06,-0.00012335746668316422,,,-0.00012161721668316422,,
ARE,7.363350320039585,7.707185e-05,0.00014859278,0.0,0.0,0.0,0.0,0.00010493299999999997,0.00015667052218163653,-0.058987357927301545,0.00018200484704486279,0.00010493299999999997,-0.058882424927301544,-0.05880535308025668,-0.058882424927301544
ARG,3.4473495228540596,0.053241957,0.0418137,0.010121456,0.010183111,0.009215086,0.0094804745,-0.02068752375,0.01757791628080965,-0.05048134715909392,0.03255443322903633,-0.010566067402594088,-0.07116887090909392,-0.01792691393005759,-0.06104741456168801
ARM,-0.061692727816655205,0.00013481287,0.000761953,0.0,0.0,0.0,0.0,-0.00015178825,0.00017540906667629812,-0.001665242057802542,-1.6975378307297834e-05,-0.00015178825,-0.001817030307802542,-0.0016822174361098398,-0.001817030307802542
ATA,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
ATF,,3.0001205e-05,0.00022371951,0.0,0.0,0.0,0.0,,,,,,,,
ATG,,,,,,,,2.6102499999999997e-06,4.454384834070806e-06,-0.00016534681211925523,,,-0.00016273656211925522,,
AUS,3.2818605936654874,0.031349715,0.058368508,0.012442941,0.006778902,0.011929594,0.006390384,-0.0100118775,0.008572599315210701,-0.10975505897688508,0.021337837345418928,0.002431063346085548,-0.11976693647688508,-0.08841722163146615,-0.10732399563079953
AUT,-0.8572659068020151,0.0026434963,0.0018787356,0.002294601,0.0017453065,0.002294601,0.0017453065,0.00118526125,0.0018243973916011052,-0.017986785492697898,0.003828757513772249,0.0034798621912407873,-0.016801524242697898,-0.014158027978925649,-0.01450692330145711
AZE,0.11670503078310127,0.0006638768,0.0013151556,0.00018589906,0.00036409448,0.00018589906,0.00036409448,-0.000818989,0.0004508029031938459,-0.009707946937085637,-0.00015511217545339465,-0.0006330899418759495,-0.010526935937085636,-0.00986305911253903,-0.010341036878961585
BAY,,1.7914026e-05,4.6374997e-05,0.0,0.0,0.0,0.0,,,,,,,,
BDI,0.6588391191153594,0.0015295871,0.0010137074,0.00096892426,0.0007341679,0.00096892426,0.0007341679,-0.0006733195000000001,0.0004529117937748292,-0.00015280523171050302,0.0008562675834961533,0.00029560475790429107,-0.0008261247317105031,0.0007034623517856503,0.00014279952619378804
BEL,-0.40104035837032476,0.0002905615,0.00069115625,0.0001093396,0.00031137365,0.0001093396,0.00031137365,-0.00044618225,0.00043256272477285496,-0.026609250746868714,-0.00015562075348703565,-0.0003368426514337063,-0.027055432996868713,-0.02676487150035575,-0.02694609339830242
BEN,1.234323329815197,0.001430554,0.0014833816,0.00021684394,0.00032792252,0.00021684394,0.00032792252,-0.00308360075,0.002090249653374189,-0.001850008771699786,-0.0016530467837981584,-0.002866756811312184,-0.004933609521699786,-0.0035030555554979442,-0.00471676558301197
BES,,,,,,,,,,-2.7762936464475453e-05,,,,,
BFA,4.1180171017879506,0.0036377662,0.003986732,0.0,0.0,0.0,0.0,-0.0048764097499999996,0.0016406876763579703,-0.001247667428128988,-0.0012386435172859426,-0.0048764097499999996,-0.006124077178128988,-0.0024863109454149306,-0.006124077178128988
BGD,9.303332755141746,0.0069338307,0.003893357,0.0017850399,0.00096880714,0.0017850399,0.00096880714,-0.0015290295,0.003111607305786673,-0.023399082531410938,0.005404801178462982,0.0002560104017333984,-0.02492811203141094,-0.017994281352947956,-0.02314307212967754
