iso,SLAND_dor
TUV,0.0
MDV,0.0
COK,0.0
MHL,0.0
SYC,0.0
NRU,0.0
KIR,0.0
PLW,0.0
FSM,0.0
NIU,0.0
VAT,-9.1152292530831e-09
MCO,-7.970133912305796e-08
BHR,-3.728377085140633e-07
SMR,-1.730781120691563e-06
LIE,-4.344676422795959e-06
TON,-6.368975525000833e-06
MLT,-6.824683909825012e-06
KNA,-7.536573954492947e-06
SGP,-1.242237610517444e-05
MUS,-1.3370448451340057e-05
AND,-1.3603191522778792e-05
GRD,-1.627900110544559e-05
VCT,-1.682460646388337e-05
COM,-1.8153926408240675e-05
BRB,-1.8247813462848395e-05
QAT,-2.083441084980831e-05
ATG,-2.087491510173807e-05
STP,-2.1081830128695774e-05
LCA,-3.452656842821755e-05
DMA,-3.805768215230469e-05
ARE,-3.895913870734295e-05
KWT,-4.0668776439352344e-05
DJI,-4.4521385731803245e-05
WSM,-4.929931326137017e-05
OTHER,-6.0664877022270725e-05
CPV,-6.116322031011424e-05
LUX,-6.863586815844983e-05
PSE,-7.470948935142171e-05
LBN,-0.00012133451848506178
ISR,-0.00016238032879039836
GMB,-0.0001807974036304776
SWZ,-0.0002914326462304913
FJI,-0.0002989074724336983
LBY,-0.00031350942111215704
OMN,-0.00036162248085602224
TTO,-0.0003692326588371745
BHS,-0.0003880458265289968
CYP,-0.00039231233666479464
BDI,-0.0004205754989184263
RWA,-0.0004251186387019929
EGY,-0.0004369220878824389
JAM,-0.00044466779947450997
LSO,-0.00044619323017315165
BRN,-0.00046051184376794417
JOR,-0.00047560371217597906
MNE,-0.00047759251324293106
GNB,-0.0004940390596516548
SLV,-0.0005475115482462458
HTI,-0.0005842491630567968
ARM,-0.0006275432780790871
TUN,-0.0006466106068547724
SVN,-0.0006909816838817587
ALB,-0.0007465892742018168
BEL,-0.0007595054743006601
TLS,-0.0007934461145504891
ERI,-0.000798314370913685
MKD,-0.0008024386758322717
MDA,-0.0008132033418626552
NLD,-0.000874755928072189
MRT,-0.0008890922275309584
VUT,-0.0009269547796675399
CHE,-0.0009308769092449432
ISL,-0.0009510342225433919
EST,-0.0012633012256605888
SYR,-0.0013632899472065336
TJK,-0.001373466243506957
BTN,-0.0014158482400554858
BLZ,-0.0015360088097106516
DNK,-0.0015501865545343924
TGO,-0.0015558061265671676
SVK,-0.001570606574259429
IRL,-0.001634355400379597
AZE,-0.0016410369365119446
SLE,-0.0016770761293200384
BIH,-0.0017001841765315966
PRT,-0.00172875208403005
DOM,-0.0017297523069360922
GNQ,-0.0017790396153331304
LTU,-0.001842643588471627
GEO,-0.0018495274306600939
MWI,-0.001851013538786103
SEN,-0.002002708839395538
IRQ,-0.0020137022051048012
HRV,-0.0020496872470800675
URY,-0.0020547485637566767
LVA,-0.0020571499362516347
YEM,-0.0021812297400454093
SLB,-0.0022563342015045145
CZE,-0.002270661396191458
CRI,-0.0022857656979252197
AUT,-0.0022915376480021152
BFA,-0.002524854221462801
MAR,-0.0025564829968974133
DZA,-0.002564666709000688
SRB,-0.0026107492760066194
HUN,-0.0026842404461117544
TKM,-0.002771405939316098
KGZ,-0.0028356679025575496
LKA,-0.002881529634678436
