,Country,iso,SLAND_mean,SLAND_std,SLAND_total_forest_mean,SLAND_total_forest_std,SLAND_managed_forest_mean,SLAND_managed_forest_std
0,Afghanistan,AFG,0.0038676527,0.002688398,0.000107642336,0.00016912787,0.000107642336,0.00016912787
1,Angola,AGO,0.054009672,0.017304536,0.041856065,0.013941363,0.041856065,0.013941363
2,Aland,ALA,5.9574002e-05,0.00016649596,3.3920703e-06,9.229767e-06,3.3920703e-06,9.229767e-06
3,Albania,ALB,0.00095912715,0.00067007367,0.0005201092,0.00031733245,0.0005201092,0.00031733245
4,United Arab Emirates,ARE,7.707185e-05,0.00014859278,0.0,0.0,0.0,0.0
5,Argentina,ARG,0.053241957,0.0418137,0.010121456,0.010183111,0.009215086,0.0094804745
6,Armenia,ARM,0.00013481287,0.000761953,0.0,0.0,0.0,0.0
7,Antarctica,ATA,0.0,0.0,0.0,0.0,0.0,0.0
8,French Southern and Antarctic Lands,ATF,3.0001205e-05,0.00022371951,0.0,0.0,0.0,0.0
9,Australia,AUS,0.031349715,0.058368508,0.012442941,0.006778902,0.011929594,0.006390384
10,Austria,AUT,0.0026434963,0.0018787356,0.002294601,0.0017453065,0.002294601,0.0017453065
11,Azerbaijan,AZE,0.0006638768,0.0013151556,0.00018589906,0.00036409448,0.00018589906,0.00036409448
12,Baykonur Cosmodrome,BAY,1.7914026e-05,4.6374997e-05,0.0,0.0,0.0,0.0
13,Burundi,BDI,0.0015295871,0.0010137074,0.00096892426,0.0007341679,0.00096892426,0.0007341679
14,Belgium,BEL,0.0002905615,0.00069115625,0.0001093396,0.00031137365,0.0001093396,0.00031137365
15,Benin,BEN,0.001430554,0.0014833816,0.00021684394,0.00032792252,0.00021684394,0.00032792252
16,Burkina Faso,BFA,0.0036377662,0.003986732,0.0,0.0,0.0,0.0
17,Bangladesh,BGD,0.0069338307,0.003893357,0.0017850399,0.00096880714,0.0017850399,0.00096880714
18,Bulgaria,BGR,0.0037478432,0.0020938534,0.0023606052,0.0014030772,0.0023606052,0.0014030772
19,The Bahamas,BHS,0.00018482517,0.00027535178,2.6771642e-07,1.166949e-06,2.6771642e-07,1.166949e-06
20,Bosnia and Herzegovina,BIH,0.0017871091,0.0012976466,0.001223999,0.0009005793,0.001223999,0.0009005793
21,Bir Tawil,BIR,-1.047287e-06,4.555485e-06,0.0,0.0,0.0,0.0
22,Belarus,BLR,0.006612722,0.005297875,0.005500084,0.0043595806,0.005500084,0.0043595806
23,Belize,BLZ,0.0011134242,0.0009704802,0.00070929836,0.00057682995,0.00060504954,0.00053706765
24,Bolivia,BOL,0.029639704,0.024674274,0.025496827,0.021804385,0.016910939,0.016501173
25,Brazil,BRA,0.28166777,0.24710637,0.24154212,0.21559864,0.1254366,0.11401528
26,Brunei,BRN,0.00075915456,0.0010243931,0.00035711098,0.0005674742,0.00035711098,0.0005674742
27,Bhutan,BTN,0.0016420425,0.0013713593,0.0016140154,0.0013693335,0.0014503292,0.0012918267
28,Botswana,BWA,0.0059614927,0.005576051,0.0,0.0,0.0,0.0
29,Central African Republic,CAF,0.029495442,0.014058375,0.028104356,0.013623323,0.027784515,0.013374442
30,Canada,CAN,0.21322086,0.093556136,0.17261891,0.06979075,0.10519484,0.04322378
31,Switzerland,CHE,0.0009944984,0.0008748097,0.000616194,0.00073417946,0.000616194,0.00073417946
32,Chile,CHL,0.010595732,0.011309546,0.007738611,0.0074739247,0.004776759,0.0059867236
33,China,CHN,0.2454111,0.0842786,0.10857882,0.046479005,0.107122004,0.046282
34,Ivory Coast,CIV,0.011098976,0.0081311045,0.009478194,0.006127278,0.009063685,0.006046198
35,Cameroon,CMR,0.023910021,0.010325691,0.022657959,0.010174439,0.02003439,0.008870696
36,Democratic Republic of the Congo,COD,0.18723546,0.06911066,0.18516414,0.06862905,0.12804766,0.047167864
37,Republic of the Congo,COG,0.023717087,0.011032209,0.023620471,0.010904967,0.015530223,0.007029497
38,Cook Islands,COK,4.775531e-07,1.8726049e-06,0.0,0.0,0.0,0.0
39,Colombia,COL,0.05712171,0.04160126,0.05064551,0.03546283,0.024577878,0.021313703
40,Comoros,COM,6.56015e-07,1.7577986e-05,0.0,0.0,0.0,0.0
41,Cabo Verde,CPV,1.19981205e-05,3.5326088e-05,0.0,0.0,0.0,0.0
42,Costa Rica,CRI,0.0044707987,0.0026296326,0.0035538287,0.002048328,0.0030157894,0.001763444
43,Cuba,CUB,0.0039722626,0.0028530015,0.00085186644,0.0009434657,0.00085186644,0.0009434657
44,Cayman Islands,CYM,6.561457e-07,2.7448575e-06,0.0,0.0,0.0,0.0
45,Northern Cyprus,CYN,4.3281834e-05,6.4766944e-05,-1.697305e-07,7.3983796e-07,-1.697305e-07,7.3983796e-07
46,Cyprus,CYP,5.819056e-05,7.836824e-05,4.8757115e-06,1.086064e-05,4.8757115e-06,1.086064e-05
47,Czechia,CZE,0.001035104,0.0015319786,0.00080242613,0.0011300171,0.00080242613,0.0011300171
48,Germany,DEU,0.0018478096,0.008267578,0.0014431666,0.0063721295,0.0014431666,0.0063721295
49,Djibouti,DJI,1.9066223e-05,8.372714e-05,0.0,0.0,0.0,0.0
50,Denmark,DNK,0.0010420134,0.0012002657,3.3780383e-05,0.00010033181,3.3780383e-05,0.00010033181
51,Dominican Republic,DOM,0.002137314,0.0020020672,0.0011633418,0.001076165,0.0011633418,0.001076165
52,Algeria,DZA,-0.0023920988,0.005472424,2.5441606e-05,0.00013725577,2.5441606e-05,0.00013725577
53,Ecuador,ECU,0.016386107,0.00836104,0.015114172,0.007814313,0.012258665,0.0056610033
54,Egypt,EGY,0.00057376036,0.0010645335,3.1741616e-05,0.00014132212,3.1741616e-05,0.00014132212
