Variable,Min,Mean,Max,iso_min,iso_max
CSCC,-13490387861.376108,4894553163.147049,415967001293.1583,RUS,WLD
SLAND,-0.0058932174459133,0.021072862979317295,0.415634990056796,DZA,RUS
SLAND_dor,-0.0,0.015040788593697714,0.4058871529551394,COK,BRA
ELUC,-0.306115331,-0.005741366637055835,0.048726605,BRA,CHN
EFOS,-2.9043739515029405,-0.044680826821062614,-2.223329281974326e-06,CHN,NIU
F_ab,-0.0262395688050298,0.015474346404912543,0.355666597806796,BRA,RUS
F_ac,-2.8556473465029404,-0.054639248863625596,-1.924829281974326e-06,CHN,NIU
F_abc,-2.587714941758991,-0.03309545738427223,0.0972428873805685,CHN,PNG
F_ab_dor,-0.1260579775994605,0.009426643330539495,0.3172481272718506,IDN,RUS
F_abc_dor,-2.68746677697809,-0.039236691420230785,0.0448996768248453,CHN,PER
SLAND_global,-4903593235.471414,17534182185.83691,345839084400.5041,DZA,RUS
SLAND_domestic,-5607077224.6253805,274094372.25773185,18952951078.677094,RUS,IND
SLAND_out,-4893411699.175003,20287604897.46217,351446161625.12946,DZA,RUS
SLAND_in,-50964860668.5588,10111871327.464085,493331657766.8008,RUS,IND
SLAND_NWT,-383191183441.9233,10175733569.998081,402411022293.6882,IND,RUS
SLAND_dor_global,-0.0,12515049695.87656,337728162224.1457,COK,BRA
SLAND_dor_domestic,-5088797156.068117,145322432.64721322,9241291740.342388,RUS,IND
SLAND_dor_out,11123560.549286526,14592379921.15044,331934552560.515,MUS,BRA
SLAND_dor_in,-35289511146.05071,7267676673.560256,356402641360.36945,RUS,IND
SLAND_dor_NWT,-302699117754.43353,7324703247.590182,354250380801.0079,IND,RUS
ELUC_global,-254710619477.7555,-4777242119.812057,40544142967.46835,BRA,CHN
ELUC_domestic,-4369472467.789867,-33344548.42264133,2219455007.120735,BRA,IND
ELUC_out,-250341147009.96564,-5558046999.50011,38736353060.39086,BRA,CHN
ELUC_in,-140390230732.03372,-2767904820.78446,14449295898.409176,IND,RUS
ELUC_NWT,-238566088450.408,-2790142178.7156496,153288054728.5311,BRA,IND
EFOS_global,-2416654160919.404,-37177755982.339775,-1849974.572866832,CHN,NIU
EFOS_domestic,-107754232331.71654,-1337995099.1961837,6244533794.955744,CHN,RUS
EFOS_out,-2308899928587.6875,-45099285223.189545,-34437450.07082077,CHN,STP
EFOS_in,-1083624228222.108,-22204545592.736702,122746466534.63004,IND,RUS
EFOS_NWT,-2061908755978.166,-22894739630.452847,592875730992.2837,CHN,IND
F_ab_global,-21833263964.02646,12875801894.445644,295940942124.57043,BRA,RUS
F_ab_domestic,-4798080353.749739,240749823.83509055,21172406085.79783,RUS,IND
F_ab_out,-21458721881.845493,14729557897.962057,300739022478.3202,BRA,RUS
F_ab_in,-36326641822.25185,7309282397.740994,351230643878.48773,RUS,IND
F_ab_NWT,-228192345557.1128,7420275500.221064,337065664300.572,IND,RUS
F_ab_dor_global,-104889570409.89108,7843665178.329697,263973930222.95532,IDN,RUS
F_ab_dor_domestic,-4279800285.192476,111977884.22457187,11460746747.463123,RUS,IND
F_ab_dor_out,-102536550600.64786,9034332921.65033,268253730508.14783,IDN,RUS
F_ab_dor_in,-20772507442.494465,4487341468.24153,215399285680.39697,RUS,IND
F_ab_dor_NWT,-148797938077.96368,4546991453.408799,289026237950.6423,IND,RUS
F_ac_global,-2376110017951.9355,-45463900420.76439,-1601600.4726029348,CHN,NIU
F_ac_domestic,-105946442424.63904,-1379303696.3503294,7053530665.831385,CHN,RUS
F_ac_out,-2270163575527.2964,-50918706843.76,-23533374.042598367,CHN,VUT
F_ac_in,-1212686183807.979,-24873561866.17634,135944773301.33385,IND,RUS
F_ac_NWT,-1982842339454.0027,-26045144977.583668,734835510574.6521,CHN,IND
F_abc_global,-2153170420096.589,-27537870856.417957,80913281943.75934,CHN,PNG
F_abc_domestic,-96005969513.07233,-1105209324.0925977,1446453441.2060046,CHN,RUS
F_abc_out,-2057164450583.517,-30631101946.297832,80868473200.86943,CHN,PNG
F_abc_in,-721065299702.2302,-14796374455.146358,85168834532.10843,IND,RUS
F_abc_NWT,-1914964845074.408,-15834727491.151472,353355100793.7808,CHN,IND
F_abc_dor_global,-2236171332398.8213,-32647832257.393604,37359855388.64563,CHN,PER
F_abc_dor_domestic,-99706829873.06546,-1233981263.7031162,1964733509.763268,CHN,RUS
F_abc_dor_out,-2136464502525.756,-36326326922.609566,37297823037.62299,CHN,PER
F_abc_dor_in,-856896889680.5013,-17618320083.715366,100722994507.5088,IND,RUS
F_abc_dor_NWT,-1953764036037.7925,-18708006838.894196,432749740053.1102,CHN,IND
