Variable,Min,Mean,Max,iso_min,iso_max,Units
CSCC,-13.490387861376108,2.462171813265326,122.16159329361555,RUS,IND,billions USD/GtC
SLAND,-0.0058932174459133,0.021072862979317295,0.415634990056796,DZA,RUS,GtC/yr
SLAND_dor,-0.0,0.015040788593697714,0.4058871529551394,COK,BRA,GtC/yr
ELUC,-0.306115331,-0.005741366637055835,0.048726605,BRA,CHN,GtC/yr
EFOS,-2.9043739515029405,-0.044680826821062614,-2.223329281974326e-06,CHN,NIU,GtC/yr
F_ab,-0.0262395688050298,0.015474346404912543,0.355666597806796,BRA,RUS,GtC/yr
F_ac,-2.8556473465029404,-0.054639248863625596,-1.924829281974326e-06,CHN,NIU,GtC/yr
F_abc,-2.587714941758991,-0.03309545738427223,0.0972428873805685,CHN,PNG,GtC/yr
F_ab_dor,-0.1260579775994605,0.009426643330539495,0.3172481272718506,IDN,RUS,GtC/yr
F_abc_dor,-2.68746677697809,-0.039236691420230785,0.0448996768248453,CHN,PER,GtC/yr
SLAND_global,-2.452209246526333,8.768566563668687,172.94864395406705,DZA,RUS,billions USD/yr
SLAND_domestic,-5.60707722462538,0.27409437225773187,18.95295107867709,RUS,IND,billions USD/yr
SLAND_out,-2.442027710229923,10.008485493617611,178.55572117869244,DZA,RUS,billions USD/yr
SLAND_in,-50.9648606685588,10.111871327464083,493.3316577668008,RUS,IND,billions USD/yr
SLAND_BTWC,-447.7270331578361,-0.10338583384647267,229.52058184725124,IND,RUS,billions USD/yr
SLAND_dor_global,-0.0,6.258577967471788,168.8925003459789,COK,BRA,billions USD/yr
SLAND_dor_domestic,-5.088797156068117,0.1453224326472132,9.241291740342389,RUS,IND,billions USD/yr
SLAND_dor_out,0.0055618952010378,7.224768896117163,163.09889068234824,MUS,BRA,billions USD/yr
SLAND_dor_in,-35.28951114605071,7.267676673560257,356.40264136036944,RUS,IND,billions USD/yr
SLAND_dor_BTWC,-334.1662287315,-0.042907777443095006,197.3407563372616,IND,RUS,billions USD/yr
ELUC_global,-127.37674319182294,-2.389023056471357,20.275483202422148,BRA,CHN,billions USD/yr
ELUC_domestic,-4.369472467789867,-0.03334454842264132,2.219455007120735,BRA,IND,billions USD/yr
ELUC_out,-123.00727072403308,-2.7628217313538683,18.46769329534466,BRA,CHN,billions USD/yr
ELUC_in,-140.3902307320337,-2.7679048207844605,14.449295898409176,IND,RUS,billions USD/yr
ELUC_BTWC,-111.23221216447546,0.0050830894305922344,145.73068731929848,BRA,IND,billions USD/yr
EFOS_global,-1208.530437678765,-18.592006434283448,-0.0009251429585567,CHN,NIU,billions USD/yr
EFOS_domestic,-107.75423233171654,-1.3379950991961838,6.244533794955744,CHN,RUS,billions USD/yr
EFOS_out,-1100.7762053470483,-21.884552677881455,-0.0172213022034472,CHN,STP,billions USD/yr
EFOS_in,-1083.624228222108,-22.2045455927367,122.74646653463004,IND,RUS,billions USD/yr
EFOS_BTWC,-853.785032737527,0.31999291485524345,880.4255300980651,CHN,IND,billions USD/yr
F_ab_global,-10.91846921297271,6.438984423422606,147.99537397473773,BRA,RUS,billions USD/yr
F_ab_domestic,-4.798080353749739,0.24074982383509058,21.172406085797828,RUS,IND,billions USD/yr
F_ab_out,-10.543927130791744,7.245663762263743,152.79345432848748,BRA,RUS,billions USD/yr
F_ab_in,-36.32664182225184,7.309282397740994,351.23064387848774,RUS,IND,billions USD/yr
F_ab_BTWC,-300.2855626822583,-0.0636186354772502,189.12009615073933,IND,RUS,billions USD/yr
F_ab_dor_global,-52.45361147876338,3.922492619865031,132.00917805581346,IDN,RUS,billions USD/yr
F_ab_dor_domestic,-4.279800285192476,0.11197788422457186,11.460746747463125,RUS,IND,billions USD/yr
F_ab_dor_out,-50.10059166952016,4.461947164763294,136.28897834100593,IDN,RUS,billions USD/yr
F_ab_dor_in,-20.772507442494465,4.48734146824153,215.39928568039696,RUS,IND,billions USD/yr
F_ab_dor_BTWC,-187.8224164642627,-0.02539430347823558,157.0614857835004,IND,RUS,billions USD/yr
F_ac_global,-1188.2549544763428,-22.73577591805143,-0.0008009350081788,CHN,NIU,billions USD/yr
F_ac_domestic,-105.94644242463905,-1.3793036963503293,7.053530665831385,CHN,RUS,billions USD/yr
F_ac_out,-1082.3085120517037,-24.77410235978253,-0.0117684523693106,CHN,VUT,billions USD/yr
F_ac_in,-1212.686183807979,-24.873561866176342,135.94477330133384,IND,RUS,billions USD/yr
F_ac_BTWC,-794.98727597841,0.09945950639380911,1014.8279422712008,CHN,IND,billions USD/yr
F_abc_global,-1076.7663955716023,-13.77125269185673,40.46344968297596,CHN,PNG,billions USD/yr
F_abc_domestic,-96.0059695130723,-1.1052093240925973,1.4464534412060046,CHN,RUS,billions USD/yr
F_abc_out,-980.7604260585302,-14.765616866164919,40.41864094008606,CHN,PNG,billions USD/yr
F_abc_in,-721.0652997022302,-14.796374455146363,85.16883453210843,IND,RUS,billions USD/yr
F_abc_BTWC,-838.5608205494211,0.03075758898144206,568.8116827744167,CHN,IND,billions USD/yr
F_abc_dor_global,-1118.2738361042566,-16.32666338665521,18.683071460782784,CHN,PER,billions USD/yr
F_abc_dor_domestic,-99.70682987306546,-1.2339812637031162,1.964733509763268,CHN,RUS,billions USD/yr
F_abc_dor_out,-1018.5670062311912,-17.549333463665366,18.62103910976015,CHN,PER,billions USD/yr
F_abc_dor_in,-856.8968896805013,-17.618320083715368,100.72299450750882,IND,RUS,billions USD/yr
F_abc_dor_BTWC,-835.8665397432278,0.06898662004999846,681.2750607725926,CHN,IND,billions USD/yr
