iso,CSCC,SLAND,ELUC,EFOS,F_ab,F_ac,F_abc,SLAND_global,SLAND_domestic,SLAND_out,SLAND_in,SLAND_BTWC,ELUC_global,ELUC_domestic,ELUC_out,ELUC_in,ELUC_BTWC,EFOS_global,EFOS_domestic,EFOS_out,EFOS_in,EFOS_BTWC,F_ab_global,F_ab_domestic,F_ab_out,F_ab_in,F_ab_BTWC,F_ac_global,F_ac_domestic,F_ac_out,F_ac_in,F_ac_BTWC,F_abc_global,F_abc_domestic,F_abc_out,F_abc_in,F_abc_BTWC
ABW,,,,-0.00023973010595336968,,,,,,,,,,,,,,-0.15881619544436232,,,,,,,,,,,,,,,,,,,
AFG,1.121718751691772,0.0038676523,-0.0008153955,-0.002820021169116525,0.0030522567672176364,-0.003635416669116525,0.0002322355981011115,2.562239,0.0043384180731612185,2.5579005135827226,3.780567816051004,-1.2226673024682815,-0.540182513070104,-0.0009146444223950881,-0.5392678686477089,-1.3165009391746043,0.7772330705268954,-1.8682052108998115,-0.0031632706255657595,-1.8650419402742457,-10.644904844925271,8.779862904651026,2.0220564511955907,0.0034237736507661304,2.0186326775448244,2.4591687645774813,-0.4405360870326569,-2.4083877239699154,-0.004077915047960848,-2.4043098089219543,-11.85657607398725,9.452266265065296,0.1538512402957793,0.00026050302520037085,0.15359073727057893,-8.052653302594717,8.206244039865295
AGO,2.98753345888251,0.05400969,-0.026310826750000002,-0.004457126746684716,0.02769886413077545,-0.03076795349668472,0.023241737384090733,35.780293,0.16135575861021825,35.61893675237611,9.919187121387727,25.69974963098838,-17.430373990004995,-0.07860447524648598,-17.35176951475851,-3.4301388076069665,-13.921630707151543,-2.9527535129837323,-0.01331581528620074,-2.9394376976975316,-28.34625267698536,25.40681497928783,18.349919806216302,0.08275128336373228,18.26716852285257,6.476002943090431,11.79116557976214,-20.383127502988728,-0.09192029053268672,-20.29120721245604,-31.49719291902134,11.2059857065653,15.39716629323257,0.06943546807753154,15.327730825155038,-21.515803264368866,36.84353408952391
AIA,,,,-3.6853371681114266e-05,,,,,,,,,,,,,,-0.024414590134248848,,,,,,,,,,,,,,,,,,,
ALA,,5.9574002e-05,,,,,,0.039466534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,0.06326999846013706,0.0009591272,2.9102499999999943e-06,-0.0013738480371962391,0.0009620374600806237,-0.0013709377871962392,-0.00041181057711561547,0.6354018,6.068397710487661e-05,0.6353411013965828,0.2134251004155614,0.42191600098102144,0.0019279799295707017,1.8413151301861353e-07,0.001927795798057683,-0.07430836683758817,0.07623616263564585,-0.9101456720193994,-8.692336319786838e-05,-0.9100587486562016,-0.6005121593019169,-0.3095465893542847,0.637329753296322,6.086810861789523e-05,0.6372688851877041,0.13884046153988522,0.49842842364781886,-0.9082176920898287,-8.673923168484977e-05,-0.9081309528581438,-0.6689076575283678,-0.23922329532977604,-0.27281591872307737,-2.6055254579973144e-05,-0.2727898634684974,-0.454165228666451,0.1813753651979536
AND,,,1.74025e-06,-0.00012335746668316422,,-0.00012161721668316422,,,,,,,0.0011528793307913135,,,,,-0.08172174896583716,,,,,,,,,,-0.08056886963504585,,,,,,,,,
ARE,7.86445040503187,7.707182e-05,0.00010493299999999997,-0.058987357927301545,0.00018200481794103233,-0.058882424927301544,-0.05880535310936051,0.05105847,0.0006061274898228944,0.050452343713027446,26.53564250294084,-26.485190159227813,0.06951592404420334,0.000825240374351209,0.06869068366985213,-9.237320132154201,9.306010815824052,-39.07789440159465,-0.4639031509431265,-38.61399125065152,-74.19046406708951,35.576472816437985,0.12057439604002425,0.0014313678641741034,0.11914302817585014,17.263981067729386,-17.144838039553537,-39.008378477550444,-0.4630779105687753,-38.545300566981666,-82.69281560313956,44.1475150361579,-38.95732000555463,-0.4624717830789524,-38.494848222475675,-55.993430125077325,17.49858190260165
ARG,3.570091543645129,0.053241953,-0.02068752375,-0.05048134715909392,0.032554429503746034,-0.07116887090909392,-0.017926917655347888,35.271683,0.19007864707834798,35.08160409217946,11.85613307529334,23.22547101688612,-13.705053030673412,-0.07385635359883276,-13.631196677074579,-4.119079021130769,-9.51211765594381,-33.442839666841074,-0.18022303060449527,-33.26261663623658,-33.709357470882104,0.4467408346455244,21.56663059938039,0.11622229347951521,21.450408305900872,7.721464990354049,13.728943315546823,-47.147892697514486,-0.25407938420332804,-46.893813313311156,-37.494795228522,-9.399018084789155,-11.876209067460685,-0.06400073712498006,-11.812208330335705,-25.564330247352867,13.752121917017162
ARM,-0.06146518800339455,0.00013481289,-0.00015178825,-0.001665242057802542,-1.6975363755382606e-05,-0.001817030307802542,-0.0016822174215579246,0.08931072,-8.286299398305652e-06,0.08931900686233318,-0.20738771064015563,0.2967067175024888,-0.10055654996809918,9.329693322956254e-06,-0.10056587966142214,0.0721791724621994,-0.17274505212362154,-1.1031881334319462,0.00010235441615399286,-1.1032904878481002,0.5833643190331316,-1.686654806881232,-0.01124582445409833,1.0433939246506016e-06,-0.01124686784802298,-0.1349401385188565,0.12369327067083352,-1.2037446834000454,0.00011168410947694911,-1.2038563675095224,0.6497992906154794,-1.8536556581250019,-1.1144339578860445,0.00010339781007864346,-1.114537355696123,0.441131837453887,-1.5556691931500102
